title,website_url,a2z_source_url,grades_or_ages,prices_mentioned,description
**5 instruments kids can make**,https://www.bbcgoodfood.com/howto/guide/5-instruments-kids-can-make,https://homeschooling.gomilpitas.com/explore/fine-arts/music/homemade-instruments/,,,. [**Guitars Sculptures**](https://kinderart.com/art-lessons/sculpture/guitar-sculptures/) This is a motivating project that incorporates music and history as students construct guitar sculptures. [**5 instruments kids can make**](https://w
**9 D.I.Y Instruments That Really Work**,https://www.crafts-beautiful.com/blog/9-d.i.y-instruments-that-really-work,https://homeschooling.gomilpitas.com/explore/fine-arts/music/homemade-instruments/,Preschool,,"make with your child from everyday items: Plastic Egg Shakers, Paper Mache Fruit Shakers, Jingle Sticks, African Tambourine, Sand Blocks, Juice Can Shakers, Jingle Bracelets, and Quilting Hoop Drum. [**9 D.I.Y Instruments That Really Work**"
**A didactic downloadable moiré demonstration kit**,http://diwww.epfl.ch/w3lsp/books/moire/kit.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,ounter-Rotating Spirals Illusion**](http://dogfeathers.com/java/spirals.html) Stare at the spirals for 20 seconds and then at the pattern on the right. What causes this affect? An optical illusion! [**A didactic downloadable moiré demonstra
**A Modest Chemiluminescence Movie**,http://www.shsu.edu/~chm_tgc/chemilumdir/movie.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,"osci.ohio-state.edu/projects/FFiles/frfact.html) How fireflies produce light via a chemical reaction and how you can attract fireflies to your yard, if you have them in the area in the first place. [**A Modest Chemiluminescence Movie**](htt"
**AgentCubes Tutorial Book**,https://agentsheets.com/tutorial/programming_games/games/journey,https://homeschooling.gomilpitas.com/explore/computer_literacy/computer-programming-for-kids/,middle school,,"e Java to build games or creatively address real-world issues. Through hands-on experiences in analyzing, writing, and testing code, you’ll learn how to transform an idea into a functioning program. [**AgentCubes Tutorial Book**](https://ag"
**Alice**,https://www.alice.org/,https://homeschooling.gomilpitas.com/explore/computer_literacy/computer-programming-for-kids/,middle school,,"eets.com/tutorial/programming_games/games/journey) You are a traveler on a journey to find a treasure. You must avoid walls, and chasers who try to catch you. If you find all the treasure, you win. [**Alice**](https://www.alice.org/) Learn "
**AP Computer Science A**,https://apstudents.collegeboard.org/courses/ap-computer-science-a,https://homeschooling.gomilpitas.com/explore/computer_literacy/computer-programming-for-kids/,,,"text or add two numbers - [**Python**](https://www.python.org/about/gettingstarted/) is pretty easy to start with too for obvious reasons, maybe that would make sense to start with for some basics. [**AP Computer Science A**](https://apstud"
**Art & Optics: Science and Art Closer Than You Think**,http://www.webexhibits.org/hockneyoptics/post/perkowitz.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,"bers [Watch on](https://www.youtube.com/watch?v=pC_7WAj1RN0) **Optics: Light at Work – Part I**. Light in Action: Lasers, Cameras & Other Cool Stuff; Optics: Light at Work; and Careers in Optics. [**Art & Optics: Science and Art Closer Than"
**Aurora Borealis**,http://www.newtonsapple.tv/video.php?id=1031,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,3.ggpht.com/9bJu0WRWPRgja30h3i5gh3Mg4T94dVfcm6L8SEhjkM3j-AwqFKQZp1JxLhXpSVYzQjJTOXiw2vM=s68-c-k-c0x00ffffff-no-rj) CBC News4.69M subscribers [Watch on](https://www.youtube.com/watch?v=dbwHx29c4e0) [**Aurora Borealis**](http://www.newtonsapp
**Build a Pizza Box Solar Oven**,http://www1.eere.energy.gov/kids/roofus/pizza_box.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,mage](https://yt3.ggpht.com/ytc/AIdro_kN_prZAcLlmHYAfLIO-5R5sdyFsdYoJgBNJtgzKjSs6w=s68-c-k-c0x00ffffff-no-rj) Strive4impact11.8K subscribers [Watch on](https://www.youtube.com/watch?v=b6mOT-hgqfQ) [**Build a Pizza Box Solar Oven**](http://w
**Building a Rainbow**,http://www.geom.uiuc.edu/apps/rainbow/,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,ail-image](https://yt3.ggpht.com/ytc/AIdro_nqRQfH-L27PkEjfiq3nVyqWgJtFRaOSHDgLI4Yz5w=s68-c-k-c0x00ffffff-no-rj) Jonathan Quee589 subscribers [Watch on](https://www.youtube.com/watch?v=r_hFjFM91C4) [**Building a Rainbow**](http://www.geom.ui
**Chemiluminescence – Light without Heat**,http://scifun.chem.wisc.edu/HomeExpts/Chemilum.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,"doptx.html) Some fun and interesting things about OPTICS: the science of LIGHT, and one of the most important fields of PHYSICS. by Bruce Irving, Optical Research Associates. ### Chemiluminescence [**Chemiluminescence – Light without Heat**"
**Children’s Music by Nancy Stewart – Homemade Instruments**,https://nancymusic.com/PRINThomemade.htm,https://homeschooling.gomilpitas.com/explore/fine-arts/music/homemade-instruments/,,,"ube Tap to unmute This video is private If the owner of this video has granted you access, please sign in. [Visit YouTube to search for more videos](https://www.youtube.com/) **The Bullroarer** [**Children’s Music by Nancy Stewart – Homemad"
**Cool Cosmos**,http://coolcosmos.ipac.caltech.edu/,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,ndcolor/java.html) A set of interactive Java applet tutorials to help you understand how color and light work. Beautifully done. Lots of levers to slide to make changes. From Molecular Expressions. [**Cool Cosmos**](http://coolcosmos.ipac.c
**Counter-Rotating Spirals Illusion**,http://dogfeathers.com/java/spirals.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,ope!**](http://www.exploratorium.edu/science_explorer/periscope.html) Be able to look over high fences and around corners with this handy device made with a tube and mirrors. ### Optical Illusions [**Counter-Rotating Spirals Illusion**](htt
**CyberToy**,http://www.workshop3d.com/cybertoys/cybertoy.htm,https://homeschooling.gomilpitas.com/explore/computer_literacy/computer-programming-for-kids/,middle school,Free,active 3D graphics. The focus of the Alice project is now to provide the best possible first exposure to programming for students ranging from middle schoolers to college students. Appeals to girls. [**CyberToy**](http://www.workshop3d.com/
**Discovering Light**,http://library.thinkquest.org/27356/index.htm,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,"oolcosmos.ipac.caltech.edu/) Here you’ll find pictures, videos, games, educational materials, and more. A fun way to learn all about the “cool” part of the electromagnetic spectrum: infrared light. [**Discovering Light**](http://library.thi"
**Electric Candy- Or Triboluminescence**,http://www.suite101.com/pages/article_old.cfm/homeschooling_science_fun/79662,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,lLEb5cjEiqqdySOzPzkXnuIz7ys0A9WiFMh17XXbz7ZQ=s68-c-k-c0x00ffffff-no-rj) electroman49218 subscribers [Watch on](https://www.youtube.com/watch?v=eLkIoB5Iv5o) **Triboluminescence in Quartz Crystal** [**Electric Candy- Or Triboluminescence**](h
**Feng Shui and Color**,http://www.care2.com/greenliving/feng-shui-change-life-with-color.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,"s, like s’mores. It won’t get really hot, though, so you can’t bake things in it and you won’t burn yourself when playing with it. Be sure to have an adult help you with this! ### Language of Color [**Feng Shui and Color**](http://www.care2"
**Fermilab’s System of Web Pages About Light**,http://www.fnal.gov/pub/inquiring/more/light/index.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,"cated to light in all its manifestations: in physics, in technology, in nature and in culture. To help you learn about light, we’ve included a message board for posting questions. A Thinkquest site. [**Fermilab’s System of Web Pages About L"
**Firefly Files**,http://iris.biosci.ohio-state.edu/projects/FFiles/frfact.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,rom a fair. You’ll watch what happens when you put it in hot water and in your refridgerator.. From [Home Experiments](http://scifun.chem.wisc.edu/HOMEEXPTS/HOMEEXPTS.html) by Professor Shakhashiri. [**Firefly Files**](http://iris.biosci.oh
**Fundamentals of Visual Basic**,https://www.waybuilder.net/free-ed/InfoTech/informit/ITLC04.asp,https://homeschooling.gomilpitas.com/explore/computer_literacy/computer-programming-for-kids/,,Free,o girls. [**CyberToy**](http://www.workshop3d.com/cybertoys/cybertoy.htm) Windows download for teens who want to try their hand at creating fly-though scenery such as found in games. Experimental. [**Fundamentals of Visual Basic**](https://
**Gallery of Visual Illusions**,http://faculty.washington.edu/chudler/flash/nill.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,"http://diwww.epfl.ch/w3lsp/books/moire/kit.html) A _printable_ moiré demonstration kit, where each layer is given by a separate PostScript file that can be downloaded and printed on a transparency. [**Gallery of Visual Illusions**](http://f"
**Game Maker**,http://www.rupert.id.au/tutorials/gamemaker/,https://homeschooling.gomilpitas.com/explore/computer_literacy/computer-programming-for-kids/,,,"ce can expect to spend between 1 and 2 hours on each lesson, including the time for doing the hands-on examples and exercises. Typical completion time for the course is about 1 quarter, or 12 weeks. [**Game Maker**](http://www.rupert.id.au/"
**GameProgrammer.Com**,http://www.gameprogrammer.com/,https://homeschooling.gomilpitas.com/explore/computer_literacy/computer-programming-for-kids/,,,"learning how to become a programmer? Then you’ve come to the right place. _Game Maker_ is a program that allows you to make exciting computer games, without the need to write a single line of code. [**GameProgrammer.Com**](http://www.gamepr"
**Guitars Sculptures**,https://kinderart.com/art-lessons/sculpture/guitar-sculptures/,https://homeschooling.gomilpitas.com/explore/fine-arts/music/homemade-instruments/,,,mple musical instruments little children can make and play. ### Beginners Children 6-10 will find these easy to make. Scissors or box cutting knife or glue gun may be needed. Tuning not difficult. [**Guitars Sculptures**](https://kinderart.
**Holography Lasers and Holograms**,http://www.holoworld.com/holo/kids.html,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,thumbnail-image](https://yt3.ggpht.com/ytc/AIdro_mHC4MhXGVeavElFlLsYnREsOHLk1p4Pd6DasEOEqT0=s68-c-k-c0x00ffffff-no-rj) vizoo2168 subscribers [Watch on](https://www.youtube.com/watch?v=-k5nt541SE0) [**Holography Lasers and Holograms**](http:
**Illusions**,http://www.mandrgames.com/illusions.htm,https://homeschooling.gomilpitas.com/explore/physics/color-and-light-optics-for-kids/,,,a transparency. [**Gallery of Visual Illusions**](http://faculty.washington.edu/chudler/flash/nill.html) View and test various illusions by dragging seemingly different objects together or apart. [**Illusions**](http://www.mandrgames.com/il
