title,website_url,source,grades_or_ages,prices_mentioned,description
1st Grade Writing Tablet,https://www.abeka.com/abekaonline/bookdescription.aspx?sbn=302686,Abeka,1st Grade,$12.45,"Give your first grader the guides he needs to practice his handwriting consistently with this 144-page writing tablet. Whether he’s learning print or cursive, the pages in this book will aid in the placement and formation of letters, numbers, and the four major punctuation marks. The cursive formation guide is shown in"
2025 Abeka Academy Graduation Group Photo,https://www.abeka.com/abekaonline/bookdescription.aspx?sbn=437336,Abeka,12th Grade,$8.95-$15.95,
2026 Abeka Academy Graduation Group Photo,https://www.abeka.com/abekaonline/bookdescription.aspx?sbn=442623,Abeka,12th Grade,$8.95-$15.95,
2nd Grade Writing Tablet,https://www.abeka.com/abekaonline/bookdescription.aspx?sbn=309397,Abeka,2nd Grade,$18.15,"Correct practice makes perfect. This book will give your child many practices in cursive writing to strengthen his mastery of his writing skills. A cursive formation guide is included at the front of the book as an aid for correct formation, and size of letters as well as numbers. Towards the end of the book, your chil"
A Little Missionary,https://www.abeka.com/abekaonline/bookdescription.aspx?sbn=90980,Abeka,1st Grade &#8211; 3rd Grade,$10.65,A child can be a little missionary right now! Use this visualized song to help children develop a tender heart for God’s great commission to all believers. This 8-page book on sturdy card stock includes three verses with the sheet music on the last page. Gr. 1–3.
A Pal (Package of 10),https://www.abeka.com/abekaonline/bookdescription.aspx?sbn=138517,Abeka,K4,$17.15,A Pal is a one- and two-vowel story book.
ABC Writing Tablet,https://www.abeka.com/abekaonline/bookdescription.aspx?sbn=302368,Abeka,K4,$23.60,"Teach your 4-year old how to form beautiful letters through tracing examples and writing exercises with the ABC Writing Tablet . Fun writing activities at the bottom of the worksheets, keep your child excited about writing. Combined with second semester text, Writing with Phonics K4 , your child will perfect his writin"
ABC-123,https://www.abeka.com/abekaonline/bookdescription.aspx?sbn=302341,Abeka,K4,$28.55,"Introduce your child to basic phonics and numbers skills with ABC-123 . This workbook uses age-appropriate, colorful exercises to help your child count to 20 and read one-vowel and two-vowel words. Using blend ladders and coloring exercises, your child will learn to recognize all of his letters and the sounds that they"
Abeka Academy Alumni Drawstring Bag,https://www.abeka.com/abekaonline/bookdescription.aspx?sbn=419079,Abeka,Misc.,$8.95,Show off your alma mater and bring your essentials with you wherever you go with Abeka Academy Alumni Drawstring Bag . This light drawstring bag features a white Abeka Academy Alumni logo printed on the front of the bag.
Abeka Academy Picnic Blanket,https://www.abeka.com/abekaonline/bookdescription.aspx?sbn=406112,Abeka,12th Grade,$19.95,This sturdy picnic blanket is sure to be a great addition to any outdoor event. The Abeka Academy Picnic Blanket is perfect for showing off your Abeka spirit. Take it with you to your next picnic or sporting event.
