title,website_url,source,grades_or_ages,prices_mentioned,description
Accounting I,https://www.science.edu/acellus/course/accounting-i/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: Accounting I.
Accounting II,https://www.science.edu/acellus/course/accounting-ii/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: Accounting II.
Acellus Academy Basic Plan,https://www.acellusacademy.com/tuition/,Power Homeschool / Acellus,Grades K-12,$79/mo,Accredited online homeschool program from Acellus Academy.
Acellus Academy Elite Plan,https://www.acellusacademy.com/tuition/,Power Homeschool / Acellus,Grades K-12,$349/mo,Elite accredited homeschool plan from Acellus Academy.
Acellus Academy Enhanced Plan,https://www.acellusacademy.com/tuition/,Power Homeschool / Acellus,Grades K-12,$174/mo,Enhanced accredited plan with additional Acellus Academy support.
Acellus Academy High School Diploma Track,https://www.acellusacademy.com/tuition/,Power Homeschool / Acellus,Grades 9-12,$499/mo,Accredited high school diploma program from Acellus Academy.
Acellus Academy Premium Plan,https://www.acellusacademy.com/tuition/,Power Homeschool / Acellus,Grades K-12,$249/mo,Premium accredited homeschool plan from Acellus Academy.
Agriculture I,https://www.science.edu/acellus/course/agriculture-i/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: Agriculture I.
Agriculture II,https://www.science.edu/acellus/course/agriculture-ii/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: Agriculture II.
Algebra I,https://www.science.edu/acellus/course/algebra-i/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: Algebra I.
Algebra I – Spanish,https://www.science.edu/acellus/course/acellus-algebra-i-spanish/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: Algebra I – Spanish.
Algebra II,https://www.science.edu/acellus/course/acellus-algebra-ii/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: Algebra II.
American Literature-English III,https://www.science.edu/acellus/course/american-literature-english-iii/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: American Literature-English III.
American Sign Language,https://www.science.edu/acellus/course/asl/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: American Sign Language.
American Sign Language II,https://www.science.edu/acellus/course/american-sign-language-ii/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: American Sign Language II.
Ancient Civilizations,https://www.science.edu/acellus/course/ancient-civilizations/,Power Homeschool / Acellus,,$99/mo (Power Homeschool subscription),Acellus online video course: Ancient Civilizations.
AP Biology,https://www.science.edu/acellus/course/acellus-ap-biology/,Power Homeschool / Acellus,Grades 9-12,$99/mo (Power Homeschool subscription),Acellus online video course: AP Biology.
AP Calculus AB,https://www.science.edu/acellus/course/acellus-ap-calculus-ab/,Power Homeschool / Acellus,Grades 9-12,$99/mo (Power Homeschool subscription),Acellus online video course: AP Calculus AB.
AP Calculus AB Exam Prep,https://www.science.edu/acellus/course/acellus-ap-calculus-ab-exam-prep/,Power Homeschool / Acellus,Grades 9-12,$99/mo (Power Homeschool subscription),Acellus online video course: AP Calculus AB Exam Prep.
AP Calculus BC,https://www.science.edu/acellus/course/acellus-ap-calculus-bc/,Power Homeschool / Acellus,Grades 9-12,$99/mo (Power Homeschool subscription),Acellus online video course: AP Calculus BC.
