title,website_url,source,grades_or_ages,prices_mentioned,description
1st Grade Launch Pack,https://aop.com/products/lifepac-1st-grade-launch-pack-lp1,Alpha Omega Publications,Grades K-5; Grades Pre-K-2; 1St Grade; K,$30.00,"The LIFEPAC ® 1st Grade Launch Pack from AOP is a great resource to support learning as your child goes through LIFEPAC ® 's 1st Grade coursework. While the “Materials Needed” and “Activities” sections of the lesson plans in the LIFEPAC ® teacher's guides provide numerous opportunities to use your resources, the Launch"
1st Grade Science Lab Kit,https://aop.com/products/lifepac-science-lab-kit-aokit0100,Alpha Omega Publications,Grades K-5; Grades Pre-K-2; 1St Grade; Ages 12; K,$42.95,"The 1st Grade Science Lab Kit from Home Science Tools contains the 11 most commonly ordered items for completing most activities in the LIFEPAC® 1st Grade Science Curriculum. Materials help you complete activities throughout the year that teach students about their senses, energy, plants, and more. Lab Kit Contents Mag"
"20,000 Leagues Under the Sea",https://aop.com/products/lifepac-20000-leagues-under-the-sea-lr0909,Alpha Omega Publications,Grades 11-12; Grades 6-8; Grades 9-10; Grades 9-12; Grade 9; 9Th Grade,$5.95,"Awaken your child's imagination and revive their love of reading with the gripping science fiction novel, 20,000 Leagues Under the Sea . Set in the 1800s, this classic novel follows the narration of Professor Pierre Aronnax and his expedition in search of a dangerous sea monster sited by several nations. After leaving "
20th Century American History,https://aop.com/products/monarch-20th-century-american-history-montcah-1,Alpha Omega Publications,Grades 11-12; Grades 9-10; Grades 9-12,$109.95,"Monarch 20th Century American History is a semester-long, online Christian homeschool elective that examines the key events and themes that influenced the United States from the early 1900s through the end of the century. Students explore topics such as World War I and II, the Great Depression, the Cold War, the civil "
20th Century American History Monthly,https://aop.com/products/monarch-20th-century-american-history-montcah-2,Alpha Omega Publications,Grades 11-12; Grades 9-10; Grades 9-12,$10.95,"Monarch 20th Century American History is a semester-long, online Christian homeschool elective that examines the key events and themes that influenced the United States from the early 1900s through the end of the century. Students explore topics such as World War I and II, the Great Depression, the Cold War, the civil "
2nd Grade Launch Pack,https://aop.com/products/lifepac-2nd-grade-launch-pack-lp2,Alpha Omega Publications,Grades K-5; Grades Pre-K-2; 2Nd Grade; K,$30.00,"The LIFEPAC ® 2nd Grade Launch Pack from AOP is a great resource to support learning as your child goes through LIFEPAC ® 's 2nd Grade coursework. While the “Materials Needed” and “Activities” sections of the lesson plans in the LIFEPAC ® teacher's guides provide numerous opportunities to use your resources, the Launch"
2nd Grade Science Lab Kit,https://aop.com/products/lifepac-science-lab-kit-aokit0200,Alpha Omega Publications,Grades K-5; Grades Pre-K-2; 2Nd Grade; Ages 12; K,$67.95,"The 2nd Grade Science Lab Kit from Home Science Tools contains the eight most commonly ordered items for completing most activities in the LIFEPAC® 2nd Grade Science curriculum. Materials help you complete activities throughout the year that teach students about the life cycle of sea monkeys, plant growth, the gift of "
3-5th Grade PE Teacher's Guide,https://aop.com/products/horizons-3rd5th-grade-pe-teachers-guide-jpe005,Alpha Omega Publications,Grades K-5; Grades 3-5; 5Th Grade; 3Rd Grade; 4Th Grade,$51.25,Strengthen your child's mind and their muscles with Horizons 3rd-5th Grade PE! The Horizons 3rd-5th Grade Physical Education Teacher's Guide is a robust resource for parents that develops students' motor skills and teaches healthy living practices. This homeschool curriculum teaches healthy living from a Christian pers
3rd Grade Science Lab Kit,https://aop.com/products/lifepac-science-lab-kit-aokit0300,Alpha Omega Publications,Grades K-5; Grades 3-5; 3Rd Grade; Ages 12,$61.95,"The 3rd Grade Science Lab Kit from Home Science Tools contains the 17 most commonly ordered items for completing most activities in the LIFEPAC® 3rd Grade Science curriculum. These materials help you complete activities throughout the year that teach students about plant growth, the gift of sound, and more. Lab Kit Con"
4th Grade Science Lab Kit,https://aop.com/products/lifepac-science-lab-kit-aokit0400,Alpha Omega Publications,Grades K-5; Grades 3-5; 4Th Grade; Ages 12,$74.95,"The 4th Grade Science Lab Kit from Home Science Tools contains the 18 most commonly ordered items for completing most activities in the LIFEPAC® 4th Grade Science curriculum. These non-household materials help you complete activities throughout the year that teach students about electricity and magnetism, the advantage"
