title,website_url,source,grades_or_ages,prices_mentioned,description
Astronomy Build-Your-Own Set,https://www.apologia.com/shop/astronomy-course-set/,Apologia,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; Elementary,$70.50 (was $94.00),"Build the Apologia Astronomy course set that fits your student perfectly. Choose only the resources you need for a strong, successful year of Astronomy — and enjoy savings when you bundle. Select your options below to customize your course set, then add everything to your cart in one easy step."
Botany Build-Your-Own Set,https://www.apologia.com/shop/botany-course-set/,Apologia,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; Elementary,$70.50 (was $94.00),"Build the Apologia Botany course set that fits your student perfectly. Choose only the resources you need for a strong, successful year of Botany — and enjoy savings when you bundle. Select your options below to customize your course set, then add everything to your cart in one easy step."
Earth Science Build-Your-Own Set,https://www.apologia.com/shop/earth-science-course-set/,Apologia,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; Elementary,$70.50 (was $94.00),"Build the Apologia Earth Science course set that fits your student perfectly. Choose only the resources you need for a strong, successful year of science — and enjoy savings when you bundle. Select your options below to customize your course set, then add everything to your cart in one easy step."
Zoology 1 Build-Your-Own Set,https://www.apologia.com/shop/zoology-1-course-set/,Apologia,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; Elementary,$70.50 (was $94.00),"Build the Apologia Zoology 1: Flying Creatures course set that fits your student perfectly. Choose only the resources you need for a strong, successful year of Zoology — and enjoy savings when you bundle. Select your options below to customize your course set, then add everything to your cart in one easy step."
Zoology 2 Build-Your-Own Set,https://www.apologia.com/shop/zoology-2-course-set/,Apologia,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; Elementary,$70.50 (was $94.00),"Build the Apologia Zoology 2: Swimming Creatures course set that fits your student perfectly. Choose only the resources you need for a strong, successful year of Zoology — and enjoy savings when you bundle. Select your options below to customize your course set, then add everything to your cart in one easy step."
Zoology 3 Build-Your-Own Set,https://www.apologia.com/shop/zoology-3-course-set/,Apologia,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; Elementary,$70.50 (was $94.00),"Build the Apologia Zoology 3: Land Animals course set that fits your student perfectly. Choose only the resources you need for a strong, successful year of Zoology — and enjoy savings when you bundle. Select your options below to customize your course set, then add everything to your cart in one easy step."
Anatomy Build-Your-Own Set,https://www.apologia.com/shop/anatomy-course-set/,Apologia,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; Elementary,$70.50 (was $94.00),"Build the Apologia Anatomy course set that fits your student perfectly. Choose only the resources you need for a strong, successful year of Anatomy — and enjoy savings when you bundle. Select your options below to customize your course set, then add everything to your cart in one easy step."
Chemistry and Physics Build-Your-Own Set,https://www.apologia.com/shop/chemistry-and-physics-course-set/,Apologia,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; Elementary,$70.50 (was $94.00),"Build the Apologia Chemistry and Physics course set that fits your student perfectly. Choose only the resources you need for a strong, successful year of chemistry and physics exploration — and enjoy savings when you bundle. Select your options below to customize your course set, then add everything to your cart in one easy step."
General Science Build-Your-Own Set,https://www.apologia.com/shop/general-science-curriculum-course-set/,Apologia,7th Grade; 8th Grade; Middle School,$90.75 (was $121.00),"Build the Apologia General Science course set that fits your student perfectly. Choose only the resources you need for a strong, successful year of General Science— and enjoy savings when you bundle. Select your options below to customize your course set, then add everything to your cart in one easy step."
Physical Science Build-Your-Own Set,https://www.apologia.com/shop/physical-science-curriculum-course-set/,Apologia,8th Grade; 9th Grade; Middle School,$90.75 (was $121.00),"Build the Apologia Physical Science course set that fits your student perfectly. Choose only the resources you need for a strong, successful year of Physical Science— and enjoy savings when you bundle. Select your options below to customize your course set, then add everything to your cart in one easy step."
