title,website_url,source,grades_or_ages,prices_mentioned,description
Homeschool Art,https://artisticpursuits.com/4-6th-upper-elementary/,ARTistic Pursuits,Grades K-12,Contact for pricing,Store for Homeschool Art | ARTistic Pursuits
Homeschool Art,https://artisticpursuits.com/7-8th-middle-school/,ARTistic Pursuits,Grades K-12,Contact for pricing,Store for Homeschool Art | ARTistic Pursuits
Homeschool Art,https://artisticpursuits.com/9-12th-high-school/,ARTistic Pursuits,Grades K-12,Contact for pricing,Store for Homeschool Art | ARTistic Pursuits
Homeschool Art,https://artisticpursuits.com/art-supplies/,ARTistic Pursuits,Grades K-12,Contact for pricing,Art Supplies. Homeschool Art | ARTistic Pursuits
Homeschool Art,https://artisticpursuits.com/classic-4-5th/,ARTistic Pursuits,Grades K-12,$57.00-$94.00,Homeschool Art | ARTistic Pursuits photos. Upper Elementary
Homeschool Art,https://artisticpursuits.com/classic-6-8th/,ARTistic Pursuits,Grades K-12,$57.00-$97.00,Homeschool Art | ARTistic Pursuits photos. Middle Schoolers and Their Art
Homeschool Art,https://artisticpursuits.com/classic-9-12th/,ARTistic Pursuits,Grades K-12,$57.00-$122.00,Homeschool Art | ARTistic Pursuits photos. High Schoolers and Their Art
Homeschool Art,https://artisticpursuits.com/classic-books/,ARTistic Pursuits,Grades K-12,Contact for pricing,CLASSIC BOOKS. Homeschool Art | ARTistic Pursuits
Homeschool Art,https://artisticpursuits.com/classic-k-3rd/,ARTistic Pursuits,Kindergarten; K,$57.00,Homeschool Art | ARTistic Pursuits photos. Kindergarten - Elementary Children and Their Art
Homeschool Art,https://artisticpursuits.com/classic-preschool/,ARTistic Pursuits,Preschool,Contact for pricing,Homeschool Art | ARTistic Pursuits photos. Preschool Artists
Homeschool Art,https://artisticpursuits.com/classic-sculpture-6-12th/,ARTistic Pursuits,Grades K-12,$57.00-$221.00,Homeschool Art | ARTistic Pursuits photos. Sculpture
Homeschool Art,https://artisticpursuits.com/the-program,ARTistic Pursuits,Grades K-12,Contact for pricing,Homeschool Art | ARTistic Pursuits photos. Student Gallery
