title,website_url,source,grades_or_ages,prices_mentioned,description
Maps,https://www.bfbooks.com/products/maps,Beautiful Feet Books,K; 3Rd Grade,$35.00,"This book of maps is a visual feast for readers of all ages, with lavishly drawn illustrations from the incomparable Mizielinskis, the husband and wife author and illustrator team. It features not only borders, cities, rivers, and peaks, but also places of historical and cultural interest, eminent personalities, iconic"
God Bless America,https://www.bfbooks.com/products/god-bless-america,Beautiful Feet Books,,$8.99,This book tells the story behind Irving Berlin’s famous song 'God Bless America' and celebrates his journey from immigrant to influential American composer.
The Wind in the Willows OLD,https://www.bfbooks.com/products/the-wind-in-the-willows,Beautiful Feet Books,,$18.99,"Experience the timeless story of Toad, Rat, Mole, and Badger in this beautiful unabridged edition designed and illustrated by New York Times best-selling and Eisner Award–winning creator David Petersen (Mouse Guard). Painstakingly completed over three years, this exquisite and lavish edition features 20 color illustrat"
The Wind in the Willows: Illustrated Edition,https://www.bfbooks.com/products/the-wind-in-the-willows-illustrated-edition,Beautiful Feet Books,,$23.99,"Robert Ingpen brings his breathtaking illustrations to one of the most beloved stories ever told. Kenneth Grahame's The Wind in the Willows has been winning hearts for more than a century — and with Ingpen's stunning artwork, Mole, Mr. Toad, Badger, and Ratty's riverside world has never looked more magical. A true clas"
Charter School: Far Afield Natural Science (4-6),https://www.bfbooks.com/products/charter-school-far-afield-natural-science-4-6,Beautiful Feet Books,Grades 4-6,$284.95,"Learning Outcomes By the end of Far Afield, students in grades 4-6 will have established foundational understanding of multiple scientific disciplines. Through fieldwork, citizen science, and hands-on experiments spanning homeschool physics, chemistry, botany, ecology, zoology, and more, students will build both scient"
Far Afield Natural Science (4-6),https://www.bfbooks.com/products/far-afield-4-6,Beautiful Feet Books,Grades 4-6,$284.95,"Learning Outcomes By the end of Far Afield, students in grades 4-6 will have established foundational understanding of multiple scientific disciplines. Through fieldwork, citizen science, and hands-on experiments spanning homeschool physics, chemistry, botany, ecology, zoology, and more, students will build both scient"
Art Appreciation Teacher Guide (Downlaod),https://www.bfbooks.com/products/art-appreciation-teacher-guide-downlaod,Beautiful Feet Books,5Th Grade,$38.00,"Our homeschool art appreciation guide offers a comprehensive, engaging program for students from 5th grade to high school. This flexible guide introduces children to the rich world of art history and visual culture, featuring carefully curated lessons on famous artists such as Leonardo da Vinci, Vincent van Gogh, and G"
Music Appreciation Teacher Guide (Download),https://www.bfbooks.com/products/music-appreciation-teacher-guide-download,Beautiful Feet Books,,$37.95,"Jump into the world of classical music and learn about the men and woman who created the greatest music of the western tradition. Whether it's tracing the development of composition from medieval Spain or examining Bach's contract with the town of Leipzig, or showing how Scott Joplin blended traditional African music w"
Teaching Character (K-3),https://www.bfbooks.com/products/teaching-character-k-3,Beautiful Feet Books,K,$174.95,Teaching Character Through Literature is a beautifully designed Christian homeschool character education curriculum for K-3 students that helps parents and educators nurture moral and spiritual growth through the power of story. This character development study is rooted in carefully chosen picture books and structured
National Geographic Kids U.S. Atlas 7th Ed.,https://www.bfbooks.com/products/national-geographic-kids-u-s-atlas-7th-ed,Beautiful Feet Books,,$11.95,"Current, authoritative, and produced by the expert cartographers at National Geographic, this best-selling United States atlas is newly updated with all the latest info--sure to be welcome in libraries, classrooms, and homes. Kids will have fun learning about each and every U.S. state in this amazing 6th edition atlas,"
