title,website_url,source,grades_or_ages,prices_mentioned,description
The Money Mystery,https://bluestockingpress.com/the-money-mystery/,Bluestocking Press,Grades 7-12,$12.95,The Money Mystery
Title: Uncle Eric’s Model,https://bluestockingpress.com/uncle-eric-model-htm/,Bluestocking Press,Grades 7-12,Contact for pricing,Title: Uncle Eric’s Model
Title: Bluestocking Guides,https://bluestockingpress.com/uncle-eric-study-guides-htm/,Bluestocking Press,Grades 7-12,Contact for pricing,Title: Bluestocking Guides
"Uncle Eric Talks About Personal, Career, and Financial Security",https://bluestockingpress.com/uncle-eric-talks-about-personal-career-and-financial-security/,Bluestocking Press,Grades 7-12,$15.95,"Uncle Eric Talks About Personal, Career, and Financial Security"
Uncle Eric’s Model – Deluxe Package,https://bluestockingpress.com/uncle-erics-model-deluxe-package/,Bluestocking Press,Grades 7-12,Contact for pricing,Uncle Eric’s Model – Deluxe Package
Uncle Eric’s Model of How the World Works,https://bluestockingpress.com/uncle-erics-model-of-how-the-world-works/,Bluestocking Press,Grades 7-12,Contact for pricing,Uncle Eric’s Model of How the World Works
Whatever Happened to Justice?,https://bluestockingpress.com/whatever-happened-to-justice/,Bluestocking Press,Grades 7-12,$17.95,Whatever Happened to Justice?
Whatever Happened to Penny Candy?,https://bluestockingpress.com/whatever-happened-to-penny-candy/,Bluestocking Press,Grades 7-12,$16.95,Whatever Happened to Penny Candy?
World War I: The Rest of the Story and How It Affects You Today,https://bluestockingpress.com/world-war-i-the-rest-of-the-story-and-how-it-affects-you-today/,Bluestocking Press,Grades 7-12,$17.95,World War I: The Rest of the Story and How It Affects You Today
World War II: The Rest of the Story and How It Affects You Today,https://bluestockingpress.com/world-war-ii-the-rest-of-the-story-and-how-it-affects-you-today/,Bluestocking Press,Grades 7-12,$19.95,World War II: The Rest of the Story and How It Affects You Today
