title,website_url,source,grades_or_ages,prices_mentioned,description
Nifty Nouns,https://store.bravewriter.com/products/nifty-nouns,Brave Writer,Ages 8-14,$10.00,"Common versus Proper For kids ages 8-14, who can read and write comfortably. Is your child's writing a chaotic array of lower and uppercase letters? Are your kids struggling to remember the capitalization difference between the ""white house"" down the street and the famous one on Pennsylvania Ave. where the American pre"
Homophones: There,https://store.bravewriter.com/products/homophones-there,Brave Writer,Ages 8-14,$10.00,"There, Their, and They're For kids ages 8-14, who can read and write comfortably. These tricky words that sound the same yet have different meanings stump lots of emerging writers. The best way to learn to differentiate them is to use them in the context of meaningful language. Introducing Practice Pages! Give your kid"
The Boys in the Boat,https://store.bravewriter.com/products/boys-in-the-boat,Brave Writer,,$19.95,
To Kill a Mockingbird,https://store.bravewriter.com/products/to-kill-a-mockingbird,Brave Writer,,$19.95,
"20,000 Leagues Under the Sea",https://store.bravewriter.com/products/20000-leagues-under-the-sea,Brave Writer,,$19.95,
The Swans of Harlem (Adapted for Young Adults),https://store.bravewriter.com/products/swans-of-harlem,Brave Writer,,$19.95,
The House on Mango Street,https://store.bravewriter.com/products/house-on-mango-street,Brave Writer,,$19.95,
Great Speeches of the 20th Century,https://store.bravewriter.com/products/great-speeches-of-the-20th-century,Brave Writer,,$19.95,
Pride and Prejudice,https://store.bravewriter.com/products/pride-and-prejudice,Brave Writer,,$19.95,
Fahrenheit 451,https://store.bravewriter.com/products/fahrenheit-451,Brave Writer,,$19.95,
Beowulf,https://store.bravewriter.com/products/beowulf,Brave Writer,,$19.95,
Chronicles of Whetherwhy: The Age of Enchantment,https://store.bravewriter.com/products/chronicles-of-whetherwhy-the-age-of-enchantment,Brave Writer,,$19.95,Literary Device:
Fallout,https://store.bravewriter.com/products/fallout,Brave Writer,,$19.95,Literary Device:
The Girl Who Drank the Moon,https://store.bravewriter.com/products/girl-who-drank-the-moon,Brave Writer,,$19.95,Literary Device:
Elijah of Buxton,https://store.bravewriter.com/products/elijah-of-buxton,Brave Writer,,$19.95,Literary Device:
The Phantom Tollbooth,https://store.bravewriter.com/products/phantom-tollbooth,Brave Writer,,$19.95,Literary Device:
My Side of the Mountain,https://store.bravewriter.com/products/my-side-of-the-mountain,Brave Writer,,$19.95,Literary Device:
Esperanza Rising,https://store.bravewriter.com/products/esperanza-rising,Brave Writer,,$19.95,Literary Device:
The Nine Moons of Han Yu and Luli,https://store.bravewriter.com/products/nine-moons-of-han-yu-and-luli,Brave Writer,,$19.95,Literary Device:
The Penderwicks,https://store.bravewriter.com/products/penderwicks,Brave Writer,,$19.95,Literary Device:
Arrow 2026-2027,https://store.bravewriter.com/products/arrow-2026-2027,Brave Writer,,$129.00,"Where great stories and grammar skills unite! The Arrow creates a love of reading and writing through literature! Our year-long program is delivered in nine month-long lesson plans, released monthly. Each handbook is based on a novel and immerses your child in the world of: stories literary devices grammar punctuation "
Arrow & Building Confidence Bundle 2026-2027,https://store.bravewriter.com/products/arrow-building-confidence-bundle-2026-2027,Brave Writer,,$159.00,"Two for you! Make a rule: Writing will not be tedious in our household! Flip the script on writing—learn to transform the age-old writing formats into life-giving writing experiences. In this two-product bundle , we combine two interlocking programs for a year of essential language arts: Nine handbooks that pair with m"
Middle School Writers Bundle 2026-2027,https://store.bravewriter.com/products/middle-school-writers-bundle-2026-2027,Brave Writer,,$227.00,"Make a rule: Writing will not be tedious in our household! Flip the script on writing—learn to transform the age-old writing formats into life-giving writing experiences. In the Middle School Writer’s Bundle, we combine three interlocking programs for a year of essential language arts: Nine handbooks that pair with mon"
High School Writers Bundle 2026-2027,https://store.bravewriter.com/products/high-school-writers-bundle-2026-2027,Brave Writer,,$277.00,"Imagine a teenager who enjoys learning how to write essays. Thousands of our students over the last twenty-five years have told us exactly that—that they enjoy writing essays now. Our program is friendly and clear ! See for yourself. In the High School Writer’s Bundle, we combine two programs to create a complete year'"
Help for High School Year One 2026-2027,https://store.bravewriter.com/products/help-for-high-school-2026-2027,Brave Writer,,$197.00,"Essay training made simple Finally, a program written for teens, to teens! Delivered in our private, easy-to-use online classroom space! Help for High School: Year One is a self-directed academic writing program. This year-long program teaches rhetorical thinking and the essay formats most commonly assigned in high sch"
Boomerang 2026-2027,https://store.bravewriter.com/products/boomerang-2026-2027,Brave Writer,,$129.00,"Deep dives into high-quality books! Teens are ready for plot twists, adventure, moral quandaries, history, and a wide variety of literary genres. Enter the Boomerang. Our year-long program is delivered in nine month-long lesson plans, released monthly. Each handbook is based on a novel and immerses your teen in the wor"
College Prep Writers Bundle 2026-2027,https://store.bravewriter.com/products/college-prep-writers-bundle-2026-2027,Brave Writer,,$327.00,"You want your student to get to college and know what to do! You want them to know what a thesis is, how to conduct research, how to analyze literature, how to cite their sources, and how to navigate the ever-changing media landscape. Our College Prep bundle is designed to prepare your college-bound teen for academic w"
Partnership Writing Collection Three,https://store.bravewriter.com/products/partnership-writing-collection-three,Brave Writer,5Th Grade,$97.00,"Welcome to a Brand New Partnership Writing ! You've told us you want more Partnership Writing projects for your 8-10-year-olds and that you love connecting them to Darts. We've listened! Partnership Writing Three is designed for 10-year-olds (5th grade), but the program offers maximum flexibility and can be easily adap"
Partnership Writing Collection Two,https://store.bravewriter.com/products/partnership-writing-collection-two,Brave Writer,4Th Grade,$97.00,"Welcome to a Brand New Partnership Writing ! You've told us you want more Partnership Writing projects for your 8-10-year-olds and that you love connecting them to Darts. We've listened! Partnership Writing Two is designed for 9-year-olds (4th grade), but the program offers maximum flexibility and can be easily adapted"
Partnership Writing Collection One,https://store.bravewriter.com/products/partnership-writing-collection-one,Brave Writer,3Rd Grade,$97.00,"Welcome to a Brand New Partnership Writing ! You've told us you want more Partnership Writing projects for your 8-10-year-olds and that you love connecting them to Darts. We've listened! Partnership Writing One is designed for 8-year-olds (3rd grade), but the program offers maximum flexibility and can be easily adapted"
Emerging Writers Bundle Three,https://store.bravewriter.com/products/emerging-writers-bundle-three,Brave Writer,5Th Grade; Ages 5-12,$227.00,"Once your child can read, it’s tempting to think they ought to go it alone in writing. Not so! Be the partner your child needs, guilt-free. Emerging Writer’s Bundle Three is designed for 10-year-olds (5th grade), but the program offers maximum flexibility and can be easily adapted for children ages 5-12 to meet your fa"
Dart & Partnership Writing Collection Three,https://store.bravewriter.com/products/dart-partnership-writing-collection-three,Brave Writer,,$159.00,"A delightful pair! Once your child can read, it’s tempting to think they ought to go it alone in writing. Not so! Be the partner your child needs, guilt free. In this two-product bundle , we combine two interlocking programs for a year of essential language arts: Nine handbooks that pair with monthly read aloud novels."
Dart Collection Three,https://store.bravewriter.com/products/dart-collection-three,Brave Writer,5Th Grade,$129.00,"Bringing literature, grammar, and joy together Imagine your child being excited about grammar lessons! Imagine them calling out when they see literary devices ""in the wild."" Imagine them being delighted to play with punctuation! The Dart Collection Three is designed for 10-year-olds (5th grade), but the program offers "
Emerging Writers Bundle Two,https://store.bravewriter.com/products/emerging-writers-bundle-two,Brave Writer,4Th Grade; Ages 5-12,$227.00,"Once your child can read, it’s tempting to think they ought to go it alone in writing. Not so! Be the partner your child needs, guilt-free. Emerging Writer’s Bundle Two is designed for 9-year-olds (4th grade), but the program offers maximum flexibility and can be easily adapted for children ages 5-12 to meet your famil"
Dart & Partnership Writing Collection Two,https://store.bravewriter.com/products/dart-partnership-writing-collection-two,Brave Writer,,$159.00,"A delightful pair! Once your child can read, it’s tempting to think they ought to go it alone in writing. Not so! Be the partner your child needs, guilt free. In this two-product bundle , we combine two interlocking programs for a year of essential language arts: Nine handbooks that pair with monthly read aloud novels."
Dart Collection Two,https://store.bravewriter.com/products/dart-collection-two,Brave Writer,4Th Grade,$129.00,"Bringing literature, grammar, and joy together Imagine your child being excited about grammar lessons! Imagine them calling out when they see literary devices ""in the wild."" Imagine them being delighted to play with punctuation! The Dart Collection Two is designed for 9-year-olds (4th grade), but the program offers max"
Dart Collection One,https://store.bravewriter.com/products/dart-collection-one,Brave Writer,3Rd Grade,$129.00,"Bringing literature, grammar, and joy together Imagine your child being excited about grammar lessons! Imagine them calling out when they see literary devices ""in the wild."" Imagine them being delighted to play with punctuation! The Dart Collection One is designed for 8-year-olds (3rd grade), but the program offers max"
Dart & Partnership Writing Collection One,https://store.bravewriter.com/products/dart-partnership-writing-collection-one,Brave Writer,,$159.00,"A delightful pair! Once your child can read, it’s tempting to think they ought to go it alone in writing. Not so! Be the partner your child needs, guilt free. In this two-product bundle , we combine two interlocking programs for a year of essential language arts: Nine handbooks that pair with monthly read aloud novels."
Emerging Writers Bundle One,https://store.bravewriter.com/products/emerging-writers-bundle-one,Brave Writer,3Rd Grade; Ages 5-12,$227.00,"Once your child can read, it’s tempting to think they ought to go it alone in writing. Not so! Be the partner your child needs, guilt free. Emerging Writer’s Bundle One is designed for 8-year-olds (3rd grade), but the program offers maximum flexibility and can be easily adapted for children ages 5-12 to meet your famil"
Beginning Writers Bundle 2026-2027,https://store.bravewriter.com/products/beginning-writers-bundle-2026-2027,Brave Writer,,$227.00,"Kids grow naturally from fluent speakers to powerful writers when they have developmentally appropriate tools and an enthusiastic partner to guide and support them. You're that partner; we've got the tools. In the Beginning Writer’s Bundle , we combine three interlocking programs for a year of essential language arts a"
Quill & Jot It Down Bundle 2026-2027,https://store.bravewriter.com/products/quill-jot-it-down-bundle-2026-2027,Brave Writer,,$159.00,"A perfect pair! Kids grow naturally from fluent speakers to powerful writers when they have developmentally appropriate tools and an enthusiastic partner to guide and support them. You're that partner; we've got the tools. In this two-product bundle , we combine two interlocking programs for a year of essential languag"
Brave Writer Training Program Aug-Nov 2026,https://store.bravewriter.com/products/brave-writer-training-program-aug-nov-2026,Brave Writer,,$35.00,"Get Trained, Gain Confidence! We’ve heard you! You want to help your child grow their skills in writing, spelling, punctuation, grammar, and reading comprehension. You want them to find joy in literature and writing. You want to leave behind the strict and ineffective workbooks. You want something different! But you ar"
June sale!,https://store.bravewriter.com/products/june-sale,Brave Writer,,Free,https://bravewriter.com/landing/june-sale
Sentence Fragments,https://store.bravewriter.com/products/sentence-fragments,Brave Writer,Ages 8-14,$10.00,"Fragment or complete sentence? For kids ages 8-14 who can read and write comfortably. One missing piece. One deliberate choice. Completely different effect. Sentence fragments are one of many tools in a writer's toolbox. Skilled writers use them to sharpen a moment, create tension, slow time, or help a feeling land. Wh"
Practice Pages: The Big Batch!,https://store.bravewriter.com/products/practice-pages-big-batch-one,Brave Writer,Ages 8-14,$100.00,"Practice Pages target specific writing skills For kids ages 8-14 who can read and write comfortably. There are moments when you wish you had just the right lesson on hand to help with a tricky concept. The Big Batch has all twelve Practice Pages, so they are there for you when you need them. Twelve tricky grammar and p"
