title,website_url,source,grades_or_ages,prices_mentioned,description
Breaking the French Barrier Beginner “A” Online Access,https://tobreak.com/products/french-beginner-a-online-access,Breaking the Barrier,,$80.00,"PRE-ORDER: instructions will be emailed by 6/15/26. Online Access will be delivered via email. Please check your spam folder or “promotions” tab if the email does not appear. Online Access (12 months). Can be activated whenever you are ready to begin — today, tomorrow, or sometime in the future! Overview: Designed for "
"Breaking the French Barrier Beginner ""B"" Online Access",https://tobreak.com/products/french-beginner-b-online-access,Breaking the Barrier,,$80.00,"PRE-ORDER: instructions will be emailed by 6/22/26. Online Access will be delivered via email. Please check your spam folder or “promotions” tab if the email does not appear. Breaking the French Barrier Beginner “B” Online Access (12 months). Can be activated whenever you are ready to begin — today, tomorrow, or someti"
"Breaking the French Barrier Beginner ""B"" Homeschool Package",https://tobreak.com/products/french-beginner-b-homeschool-package,Breaking the Barrier,,$145.00,"PRE-ORDER: will ship by 6/29/26. Online Access will be delivered via email. Please check your spam folder or “promotions” tab if the email does not appear. Breaking the French Barrier Beginner “B” is a structured, year-long course combining print and digital materials, designed for students seeking elective credit. Stu"
"Breaking the French Barrier Beginner ""B"" Vocabulary Quizzes",https://tobreak.com/products/en-route-beginner-b-vocabulary-quizzes,Breaking the Barrier,,$15.00,"PRE-ORDER: will ship by 6/22/26. One quiz per chapter, designed to reinforce key terms and support long-term retention. Ideal for classwork, homework, or independent study. Answer key included. ISBN: 978-1-955306-74-4"
"Breaking the French Barrier Beginner ""B"" Test Program (Hard Copy)",https://tobreak.com/products/en-route-beginner-b-test-program-hard-copy,Breaking the Barrier,,$30.00,"PRE-ORDER: will ship by 6/22/26. Assess student progress with this complete set of chapter tests designed to accompany Breaking the French Barrier Beginner “B” . This packet includes ready-to-use assessments, one for each chapter of the book, along with a full answer key for quick grading. Each test mirrors the structu"
"Breaking the French Barrier Beginner ""B"" Answer Key Booklet",https://tobreak.com/products/en-route-beginner-b-answer-key-booklet,Breaking the Barrier,,$20.00,PRE-ORDER: will ship by 6/22/26. Provides answers to all exercises found in the print textbook. A quick-reference tool for teachers and self-directed students. ISBN: 978-1-955306-72-0
"Breaking the French Barrier Beginner ""B"" Teacher’s Edition Book (Includes Online Access)",https://tobreak.com/products/en-route-beginner-b-teacher-s-edition-book-includes-online-access,Breaking the Barrier,,$95.00,"PRE-ORDER: will ship by 6/22/26. Online Access will be delivered via email. Please check your spam folder or “promotions” tab if the email does not appear. Teacher’s Edition book (hardcopy) Online Access (12 months). Can be activated whenever you are ready to begin — today, tomorrow, or sometime in the future! The Teac"
"Breaking the French Barrier Beginner ""B"" Student Edition Book (Includes Online Access)",https://tobreak.com/products/en-route-beginner-b-student-edition-book-includes-online-access,Breaking the Barrier,,$95.00,"PRE-ORDER: will ship by 6/29/26. Online Access will be delivered via email. Please check your spam folder or “promotions” tab if the email does not appear. Student Edition book (hardcopy) Online Access (12 months). Can be activated whenever you are ready to begin — today, tomorrow, or sometime in the future! Breaking t"
Breaking the French Barrier Beginner “A” Teacher’s Edition Book (Includes Online Access),https://tobreak.com/products/avm-beginner-a-teacher-s-edition-book-includes-online-access,Breaking the Barrier,,$95.00,"PRE-ORDER: will ship by 6/15/26. Online Access will be delivered via email. Please check your spam folder or “promotions” tab if the email does not appear. Teacher’s Edition book (hardcopy) Online Access (12 months). Can be activated whenever you are ready to begin — today, tomorrow, or sometime in the future! The Teac"
Breaking the French Barrier Beginner “A” Test Program (Hard Copy),https://tobreak.com/products/avm-beginner-a-test-program-hard-copy,Breaking the Barrier,,$30.00,"PRE-ORDER: will ship by 6/15/26. Assess student progress with this complete set of chapter tests designed to accompany Breaking the French Barrier Beginner “A” . This packet includes ready-to-use assessments, one for each chapter of the book, along with a full answer key for quick grading. Each test mirrors the structu"
"Breaking the French Barrier Beginner ""A"" Student Edition Book (Includes Online Access)",https://tobreak.com/products/french-beginner-a-student-edition-book-includes-online-access,Breaking the Barrier,,$95.00,"PRE-ORDER: will ship by 6/29/26. Online Access will be delivered via email. Please check your spam folder or “promotions” tab if the email does not appear. Student Edition book (hardcopy) Online Access (12 months). Can be activated whenever you are ready to begin — today, tomorrow, or sometime in the future! Overview: "
Breaking the French Barrier Beginner “A” Answer Key Booklet,https://tobreak.com/products/avm-beginner-a-answer-key-booklet,Breaking the Barrier,,$20.00,PRE-ORDER: will ship by 6/15/26. Provides answers to all exercises found in the print textbook. A quick-reference tool for teachers and self-directed students. ISBN: 978-1-955306-65-2
French Two-Year Introductory/Middle School Homeschool Package,https://tobreak.com/products/french-two-year-middle-school-homeschool-package,Breaking the Barrier,,$240.00,"PRE-ORDER: will ship by 6/22/26. Online Access will be delivered via email. Please check your spam folder or “promotions” tab if the email does not appear. This package combines two complete, year-long courses — Breaking the French Barrier Beginner “A” and Breaking the French Barrier Beginner “B” — each with print and "
Breaking the French Barrier Beginner “A” Vocabulary Quizzes,https://tobreak.com/products/avm-beginner-a-vocabulary-quizzes,Breaking the Barrier,,$15.00,"PRE-ORDER: will ship by 6/15/26. One quiz per chapter, designed to reinforce key terms and support long-term retention. Ideal for classwork, homework, or independent study. Answer key included. ISBN: 978-1-955306-67-6"
Breaking the French Barrier Beginner “A” Homeschool Package,https://tobreak.com/products/avm-beginner-a-homeschool-package,Breaking the Barrier,,$145.00,"PRE-ORDER: will ship by 6/29/26. Online Access will be delivered via email. Please check your spam folder or “promotions” tab if the email does not appear. Breaking the French Barrier Beginner “A” is a structured, year-long course combining print and digital materials, designed for students seeking elective credit. Stu"
