title,website_url,source,grades_or_ages,prices_mentioned,description
Aventuras de la vida – Calico Comics Reader,https://calicospanish.com/product/calico-comics-level-c/,Calico Spanish,,$14.99,"Calico Spanish’s third installment of the Calico Comics series immerses learners into the everyday adventures of the Calico Spanish characters. In Aventuras de la vida , the Calico Spanish characters invite learners to join them as they experience everyday adventures, both at home and in various spots around their comm"
Los amigos aventureros – Calico Comics Reader,https://calicospanish.com/product/calico-comics-level-b/,Calico Spanish,,$14.99,"Introducing the second installment of Calico Comics, Los amigos aventureros . A continuation of Calico Spanish’s comic series, this beginner-novice reader invites learners to join the Calico Spanish characters as they dive into adventure and explore exciting new destinations worldwide. From amusement parks and soccer g"
Somos amigos – Calico Comic Reader,https://calicospanish.com/product/calico-comics-level-a/,Calico Spanish,,$14.99,"Introducing Calico Comics! Join Pedro el pez azul , María la mona amarilla , and other Calico Spanish characters on their adventures in Latin America. The Somos amigos reader is a beginner-novice resource for anyone who is learning Spanish. The Calico Comics can also be found in our ready-to-teach lesson plans in the C"
Exploramos México – Calico Comics Reader,https://calicospanish.com/product/calico-comics-level-d/,Calico Spanish,,$14.99,"Join familiar Calico Spanish characters like María la mona amarilla and new friends for the fourth installment of the Calico Comics series. In Exploramos México , learners will embark on a year-long journey to explore México, visit a family farm, make new friends, and experience exciting adventures! The Calico Comics c"
Student Workbooks – Level D (Classroom Set),https://calicospanish.com/product/student-workbook-level-d-classroom-set/,Calico Spanish,,$299.99,"Save 52% with the classroom set! The Student Workbook – Level D is a comprehensive workbook that supplements the Calico Spanish curriculum. This physical copy workbook features activities, games, and student assessment exercises from across Level D of the Calico Spanish curriculum. Ships as 25 copies of a perfect-bound"
Student Workbooks – Level C (Classroom Set),https://calicospanish.com/product/student-workbook-level-c-classroom-set/,Calico Spanish,,$299.99,"Save 52% with the classroom set! The Student Workbook – Level C is a comprehensive workbook that supplements the Calico Spanish curriculum. This physical copy workbook features activities, games, and student assessment exercises from across Level C of the Calico Spanish curriculum. Ships as 25 copies of a perfect-bound"
Student Workbooks – Level B (Classroom Set),https://calicospanish.com/product/student-workbook-level-b-classroom-set/,Calico Spanish,,$299.99,"Save 52% with the classroom set! The Student Workbook – Level B is a comprehensive workbook that supplements the Calico Spanish curriculum. This physical copy workbook features activities, games, and student assessment exercises from across Level B of the Calico Spanish curriculum. Ships as 25 copies of a perfect-bound"
Student Workbooks – Level A (Classroom Set),https://calicospanish.com/product/student-workbook-level-a-classroom-set/,Calico Spanish,,$299.99,"Save 52% with the classroom set! Student Workbook – Level A is a comprehensive workbook that supplements the Calico Spanish curriculum. This physical copy workbook features activities, games, and student assessment exercises from across Level A of the Calico Spanish curriculum. Ships as 25 copies of a perfect-bound boo"
Student Workbooks – Essential Bundle,https://calicospanish.com/product/student-workbooks-essential-set/,Calico Spanish,,$89.00,"Save with the Essential Bundle and buy all four Student Workbooks! For classroom bundles of 25 student workbooks, check out our Classroom Sets under the Add-Ons section of our Pricing page . The physical workbooks feature all of the activities, games, and student assessment exercises from across Level A, B, C & D of th"
Student Workbook – Level D,https://calicospanish.com/product/student-workbook-level-d/,Calico Spanish,,$24.99,"The Student Workbook – Level D is a comprehensive workbook that supplements the Calico Spanish curriculum. This physical copy workbook features activities, games, and student assessment exercises from across Level D of the Calico Spanish curriculum. Ships as a perfect-bound book with 116 perforated pages."
