title,website_url,source,grades_or_ages,prices_mentioned,description
The KEEPER Bundle,https://canonpress.com/products/the-keeper-bundle,Canon Press,,$170.00,"Preorders ship by 11/30/2026 ""Will you tread the world and tend the wilds? When the world whispers her secrets, will you keep them? Will you protect the weak and face your own end without fear?” Cyrus swallowed. “Yes,” he said. “I will,” said Antigone. And just like that, Cyrus and Antigone Smith are inducted into Asht"
The ACOLYTE Bundle,https://canonpress.com/products/the-acolyte-bundle,Canon Press,,$96.00,"Preorders ship by 11/30/2026 ""Will you tread the world and tend the wilds? When the world whispers her secrets, will you keep them? Will you protect the weak and face your own end without fear?” Cyrus swallowed. “Yes,” he said. “I will,” said Antigone. And just like that, Cyrus and Antigone Smith are inducted into Asht"
Silent Bells,https://canonpress.com/products/silent-bells,Canon Press,,$24.00,"Preorders ship by 11/30/2026 Ashtown has fallen. Rupert, the last Avengel of Ashtown is dead. Phoenix is in league with the transmortals, and has found Daniel and their mother. Radu Bey, leading his dragons, are coming to loose the evil chained under ashtown. With Cyrus missing, Antigone and the battered remnants of As"
Empire of Bones,https://canonpress.com/products/empire-of-bones,Canon Press,,$24.00,"Preorders ship by 11/30/2026 “In every herd, many stampede, while only a few turn to face the lions.” The Order of Brendan has all but fallen. And the Smiths are surrounded. Under the new regime, Ashtown leadership is hunting the Smiths. Dr. Phoenix's new race of humans are here and ready to replace the old humanity, f"
The Drowned Vault,https://canonpress.com/products/the-drowned-vault,Canon Press,,$24.00,"Preorders ship by 11/30/2026 “Run faithfully to the end and like all good men you will die of having lived.” After taking the Dragon's Tooth from the Smiths, Dr. Phoenix has been busy killing transmortals. Not only does this new weapon take out the immortal, but this resurrection stone gives Phoenix the ability to engi"
The Dragon's Tooth,https://canonpress.com/products/the-dragons-tooth,Canon Press,,$24.00,"Preorders ship by 11/30/2026 ""Will you tread the world and tend the wilds? When the world whispers her secrets, will you keep them? Will you protect the weak and face your own end without fear?” Cyrus swallowed. “Yes,” he said. “I will,” said Antigone. And just like that, Cyrus and Antigone Smith are inducted into Asht"
Loser Theology: Why the Weak will not Inherit the Earth,https://canonpress.com/products/loser-theology,Canon Press,,$24.00,"“The Bible Belt is teetering toward collapse, and I say let it fall.” This is a real quote, and it is Loser Theology. Christians in America believed the lie that you could have truth without Christ, and it has rotted out the Christian spine. You may come to the public square, but religion must stay between your ears. A"
The Fathercraft Bundle: What Dad Wants for Father's Day,https://canonpress.com/products/fathercraft-bundle,Canon Press,,$140.99,"Canon+ is not for every dad. But it is for every dad who takes on his role as husband and father with joy and who treats those roles as a craft. Good craftsmen love what they do but they're also aware of their need to improve. They're not insecure but instead, they are eager to grow in their craft. They refine their to"
Family Plan Coupon for Canon Plus,https://canonpress.com/products/canon-coupon,Canon Press,,$119.99,"Five profiles under one account, all enjoying the Canon+ premium library. FAQS I had a subscription through the Apple App Store or Google Play Store. I don't see the family plan in the mobile app. At this time, we’re only offering the family plan through our website at canonplus.com , and it looks like you’re subscribe"
Fathercraft: How to Be a Good Dad,https://canonpress.com/products/fathercraft,Canon Press,,$21.00,"This book is not for every father. It's for craftsmen. Good craftsmen love what they do but they're also aware of their need to improve. They're not insecure, they are eager to grow in their craft. They continually refine their tools and methods and even their tastes. He is not asleep at the wheel of fatherhood. His sp"
5 Views on Christian Nationalism,https://canonpress.com/products/5-views-on-christian-nationalism,Canon Press,,$25.00,"A Roman Catholic, a Baptist, another Baptist, and two Presbyterians walk into the ring . . . All five of these Christian men are representing different views of how faith relates to the political sphere. Each man wields their Bibles, history, and political philosophy to come to their distinct conclusions. In the short "
Rikki-Tikki-Tavi,https://canonpress.com/products/rikki-tikki-tavi,Canon Press,,$19.99,"""RUN AND FIND OUT"" This is the motto of every true mongoose. Rikki-Tikki-Tavi's mother entrusted it to him as a young mongoose, knowing he would one day dance with death. Here is the legend of the great war that Rikki-Tikki fought single-handed, through the bathrooms of the big bungalow, through the melon gardens, atop"
ARC Loser Theology,https://canonpress.com/products/arc-loser-theology,Canon Press,,Free,
ARC Manmade,https://canonpress.com/products/arc-manmade,Canon Press,,$3.50,
My Dear Hemlock Bundle: Book and Apron,https://canonpress.com/products/bundle-product-65,Canon Press,,$46.79,
The Hoaxrot Apron,https://canonpress.com/products/the-hoaxrot-apron,Canon Press,,$30.00,"Tilly Dillehay’s “uniform of usefulness and feminine distinction” comes to life in this beautifully crafted apron. We've also included a lost letter from Madam Hoaxrot ""on the dangers of women in aprons"". Made from high quality 100% cotton in sage green and features two deep, flat pockets, long ties at the neck and wai"
100 Cupboards Graphic Novel,https://canonpress.com/products/100-cupboards-graphic-novel,Canon Press,,$24.99,"GET YOUR AUTOGRAPHED COPIES WHILE SUPPLIES LAST! Now a graphic novel! The bestselling and highly acclaimed 100 Cupboards series starts here. What dangers lurk locked behind the cupboard doors? Henry isn’t brave, but when he hears an odd thumping and scratching on the other side of his bedroom wall, he simply can’t igno"
Drying Stones,https://canonpress.com/products/drying-stone-parent-product,Canon Press,,$50.00,"Set this stone next to your sink and place all your freshly washed dishes on it to drip dry. Unlike a dishtowel or padded cloth mat which gets soaked quickly and starts smelling bad if left wet, this drying stone will absorb a huge amount of water from your dish-doing activities and air dry like magic! And it’s so much"
Manmade: Saint Anthony's Guide to Surviving the AI Apocalypse,https://canonpress.com/products/manmade-saint-anthonys-guide-to-surviving-the-a-i-apocalypse,Canon Press,,$26.00,"Your Perilous Tour of the Future Starts Here In Manmade you will see wonders you won't believe! No eye has seen, no ear has heard! This future of marvels will be crafted by men who believe they are as gods! Crime, resolved! Poverty vanished! You will see the State swell into total and complete efficacy. At long last, h"
ARC Future Women,https://canonpress.com/products/arc-future-women,Canon Press,,$3.50,
Future Women: Raising Girls for Glory,https://canonpress.com/products/future-women,Canon Press,,$17.00,"Note: Orders containing this title will not ship until 7/14! Congratulations, It's A Girl! Now what? Who should she be? What is she for? If you don't have a clue, the World certainly does! Disney Princesses, Barbies, Instagram, Cellphones, Netflix, Facebook, and much, much worse. The World will use all of these compell"
