title,website_url,source,grades_or_ages,prices_mentioned,description
1st-8th Tuition Plans - BASIC - Full Year (1 installment),https://www.chaoa.com/tuition-fees/?id=1st-8th-tuition-plans-basic-full-year-1-installment,Christian Academy of America,Grades 1-8,$1048.00,Tuition plan listed on the Christian Academy of America tuition page.
1st-8th Tuition Plans - BASIC - Full Year (2 installments),https://www.chaoa.com/tuition-fees/?id=1st-8th-tuition-plans-basic-full-year-2-installments,Christian Academy of America,Grades 1-8,$584.00,Tuition plan listed on the Christian Academy of America tuition page.
1st-8th Tuition Plans - BASIC - Full Year (4 installments),https://www.chaoa.com/tuition-fees/?id=1st-8th-tuition-plans-basic-full-year-4-installments,Christian Academy of America,Grades 1-8,$308.00,Tuition plan listed on the Christian Academy of America tuition page.
1st-8th Tuition Plans - BASIC - Full Year (8 installments),https://www.chaoa.com/tuition-fees/?id=1st-8th-tuition-plans-basic-full-year-8-installments,Christian Academy of America,Grades 1-8,$164.00,Tuition plan listed on the Christian Academy of America tuition page.
1st-8th Tuition Plans - PREMIUM - Full Year (1 installment),https://www.chaoa.com/tuition-fees/?id=1st-8th-tuition-plans-premium-full-year-1-installment,Christian Academy of America,Grades 1-8,$1798.00,Tuition plan listed on the Christian Academy of America tuition page.
1st-8th Tuition Plans - PREMIUM - Full Year (2 installments),https://www.chaoa.com/tuition-fees/?id=1st-8th-tuition-plans-premium-full-year-2-installments,Christian Academy of America,Grades 1-8,$959.00,Tuition plan listed on the Christian Academy of America tuition page.
1st-8th Tuition Plans - PREMIUM - Full Year (4 installments),https://www.chaoa.com/tuition-fees/?id=1st-8th-tuition-plans-premium-full-year-4-installments,Christian Academy of America,Grades 1-8,$496.00,Tuition plan listed on the Christian Academy of America tuition page.
1st-8th Tuition Plans - PREMIUM - Full Year (8 installments),https://www.chaoa.com/tuition-fees/?id=1st-8th-tuition-plans-premium-full-year-8-installments,Christian Academy of America,Grades 1-8,$258.00,Tuition plan listed on the Christian Academy of America tuition page.
20th Century American History,https://www.chaoa.com/online/?id=20th-century-american-history,Christian Academy of America,Grades 9-12,,Ignitia online course offered through Christian Academy of America (High School Electives).
8 Great Smarts: Discover and Nurture Your Child’s Intelligences,https://www.chaoa.com/product/8-great-smarts-discover-and-nurture-your-childs-intelligences/,Christian Academy of America,,$12.95,"Every child is made by God with “smarts” or “intelligences!” Too many times society wants to measure how smart a child is. Instead, this book answers the question, “How am I smart?” 8 Great Smarts: Discover and Nurture Your Child’s Intelligences is an amazing resource for parents to help guide their children’s unique s"
9th-12th Tuition Plans - BASIC - Full Year (1 installment),https://www.chaoa.com/tuition-fees/?id=9th-12th-tuition-plans-basic-full-year-1-installment,Christian Academy of America,Grades 9-12,$1225.00,Tuition plan listed on the Christian Academy of America tuition page.
9th-12th Tuition Plans - BASIC - Full Year (2 installments),https://www.chaoa.com/tuition-fees/?id=9th-12th-tuition-plans-basic-full-year-2-installments,Christian Academy of America,Grades 9-12,$694.00,Tuition plan listed on the Christian Academy of America tuition page.
9th-12th Tuition Plans - BASIC - Full Year (4 installments),https://www.chaoa.com/tuition-fees/?id=9th-12th-tuition-plans-basic-full-year-4-installments,Christian Academy of America,Grades 9-12,$358.00,Tuition plan listed on the Christian Academy of America tuition page.
9th-12th Tuition Plans - BASIC - Full Year (8 installments),https://www.chaoa.com/tuition-fees/?id=9th-12th-tuition-plans-basic-full-year-8-installments,Christian Academy of America,Grades 9-12,$184.00,Tuition plan listed on the Christian Academy of America tuition page.
9th-12th Tuition Plans - PREMIUM - Full Year (1 installment),https://www.chaoa.com/tuition-fees/?id=9th-12th-tuition-plans-premium-full-year-1-installment,Christian Academy of America,Grades 9-12,$1975.00,Tuition plan listed on the Christian Academy of America tuition page.
9th-12th Tuition Plans - PREMIUM - Full Year (4 installments),https://www.chaoa.com/tuition-fees/?id=9th-12th-tuition-plans-premium-full-year-4-installments,Christian Academy of America,Grades 9-12,$546.00,Tuition plan listed on the Christian Academy of America tuition page.
9th-12th Tuition Plans - PREMIUM - Full Year (8 installments),https://www.chaoa.com/tuition-fees/?id=9th-12th-tuition-plans-premium-full-year-8-installments,Christian Academy of America,Grades 9-12,$278.00,Tuition plan listed on the Christian Academy of America tuition page.
A Dog of Flanders – Elementary Book,https://www.chaoa.com/product/a-dog-of-flanders/,Christian Academy of America,,$10.95,"Follow faithful Patrasche, a big dog who comes into the lives of Nello and his great-grandfather as a blessing and provision. Through their kindness in nursing Patrasche back to health, they gain a loyal friend who repays them by pulling their milk cart to town each day. Young Nello falls in love and discovers a God-gi"
Abacus,https://www.chaoa.com/product/abacus/,Christian Academy of America,,$16.29,This traditional abacus comes with a solid hardwood frame with ten coated wires and ten colorful wooden beads on each. Practice counting and math skills in a visual and hands-on way while sliding the beads around. Patterns and colors can also be explored. Students can even practice forming letter shapes out of beads. T
