title,website_url,source,grades_or_ages,prices_mentioned,description
FamilyEducation Homeschooling Resources,https://www.familyeducation.com/school-learning/homeschooling,FamilyEducation,Grades K-12,Free,Articles and guides for homeschool families from FamilyEducation.com.
Homeschooling - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling,FamilyEducation,Grades K-12,Free,"Resources, advice, and ideas for both new and more experienced homeschoolers. Find answers on how to begin homeschooling, toolkits on every subject, homeschooling support, and ask-the-expert homeschooling advice."
10 Tips to Becoming a Great Homeschool Parent - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/10-tips-becoming-great-homeschool-parent,FamilyEducation,Grades K-12,Free,Find helpful tips and advice for parents who wish to educate their children at home. You can become a successful homeschooler by following these guidelines.
20 Parent-Approved Educational YouTube Channels for Kids - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/20-educational-youtube-channels-for-kids,FamilyEducation,Grades K-12,Free,"Educational YouTube channels and videos are a powerful tool for remote learning, and are a great way to give kids produtive screen time."
Educating Kids Outside of School Even If You Can't Homeschool - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/7-smart-unschooling-tips-practice-now-even-if-your-child-regular-school,FamilyEducation,Grades K-12,Free,"Even if you can't homeschool your child, you can foster your child's love of learning outside the classroom, according to Clark Aldrich, author of the book ""Unschooling Rules: 55 Ways to Unlearn What We Know About Schools and Rediscover Education"
The Benefits of Homeschooling after the Coronavirus Pandemic - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/8-reasons-why-i-plan-to-homeschool-even-after-the-pandemic,FamilyEducation,Grades K-12,Free,One mom explains why she prefers homeschooling her daughter and will continue to do so even after the pandemic.
Adding Audio-Visual Equipment to Your Homeschool Classroom - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/adding-audio-visual-equipment-your-homeschool-classroom,FamilyEducation,Grades K-12,Free,This article describes the equipment your homeschool will need to add audio-visual resources to your curriculum.
Adding Field Trips to Your Homeschool - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/adding-field-trips-your-homeschool,FamilyEducation,Grades K-12,Free,Field trips are a great addition to the homeschool experience. This article offers some great tips for interesting field trips.
Art for Homeschoolers - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/art-homeschoolers,FamilyEducation,Grades K-12,Free,"Bring out the creative genius in your kids, and discover that even the most artistically challenged can produce pretty cool artwork."
Avoiding Homeschool Burnout - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/avoiding-homeschool-burnout,FamilyEducation,Grades K-12,Free,"In this article, a homeschooling mom discusses how to reduces stress from overloading."
Building the Curricula You Will Use to Homeschool - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/building-curricula-you-will-use-homeschool,FamilyEducation,Grades K-12,Free,There are many aspects of a curriculum that you can use to homeschool your child more effectively.
Can Homeschoolers Go to College? How Homeschool Students Apply - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/can-homeschoolers-go-to-college,FamilyEducation,Grades K-12,Free,Understand college options for homeschooled students and what homeschooling families should know about applying to college.
Choosing a Homeschool Curriculum - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/choosing-homeschool-curriculum,FamilyEducation,Grades K-12,Free,"The resources abound for choosing a homeschooling curriculum, and the choice is yours!"
Creating Lesson Plans for Homeschooling - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/creating-lesson-plans-homeschooling,FamilyEducation,Grades K-12,Free,"With the homeschool calendar in hand, you can begin planning what you will be doing on each of those days. With help from this article, you will be making great lesson plans in no time!"
Creating and Maintaining a Homeschool Calendar and Schedule - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/creating-maintaining-homeschool-calendar-schedule,FamilyEducation,Grades K-12,Free,"Once you know how many days of instruction (school days) you will have in a year, when the school year will start, and when the breaks will be, you are ready to create your homeschool's calendar."
Creating Storage and Archive Areas for Your Homeschool - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/creating-storage-archive-areas-your-homeschool,FamilyEducation,Grades K-12,Free,You should plan to have lots of storage in your homeschool area. This article describes ways of finding room and keeping everything organized.
Defining Your Homeschool Year - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/defining-your-homeschool-year,FamilyEducation,Grades K-12,Free,The first step in lesson planning is to determine how much time you will have in your homeschool year.
Determining the Legal Requirements for Your School System or Local Government - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/determining-legal-requirements-your-school-system-or-local,FamilyEducation,Grades K-12,Free,"If your state requires oversight of your homeschool by the local school system, this article will help you figure out what that means for your homeschool."
Determining the Legal Requirements in Your State for Homeschooling - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/determining-legal-requirements-your-state-homeschooling,FamilyEducation,Grades K-12,Free,This article discusses the importance of understanding your state's education regulations regarding homeschooling.
Developing a Curriculum for Homeschooling - FamilyEducation,https://www.familyeducation.com/school-learning/homeschooling/developing-curriculum-homeschooling,FamilyEducation,Grades K-12,Free,"Once you have selected topics and understand the types of resources that are available to you, it's time to identify the curricula you need."
