title,website_url,source,grades_or_ages,prices_mentioned,description
Freedom Homeschooling Electives Directory,https://freedomhomeschooling.com/electives/,Freedom Homeschooling,Grades K-12,Free,Curated directory of free online elective courses for homeschoolers.
Alison,https://alison.com/courses/skilled-trades,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Architecture Courses,http://www.architecturecourses.org/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
edX,https://www.edx.org/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Georgia Virtual Learning,https://gavirtual.instructure.com/courses/2696,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Khan Academy,https://www.khanacademy.org/science/electrical-engineering,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Lesson Plan of Happiness,https://lessonplanofhappiness.com/worksheets-and-printables/history-of-western-architecture/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Teach Engineering,https://www.teachengineering.org/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Alison,https://alison.com/courses/business,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Bahnsen Economics,https://www.bahnsen.com/economics-course,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Core Concepts of Marketing,https://archive.org/details/ost-business-core-concepts-of-marketing,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Federal Reserve Education,https://www.federalreserveeducation.org/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Georgia Virtual Learning,https://gavirtuallearning.org/ga-digital-curriculum/free-resources/high-school-resources/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Higher Rock Education,https://www.higherrockeducation.org/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Hillsdale College,https://online.hillsdale.edu/landing/economics-101-the-principles-of-free-market-economics,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Khan Academy,https://www.khanacademy.org/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Lessons for the Young Economist,https://mises.org/library/lessons-young-economist,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Marginal Revolution University,https://mru.org/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Modern States,https://modernstates.org/course/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
OpenLearn,https://www.open.edu/openlearn/free-courses/full-catalogue,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Parallel Alternative Strategies for Students: Economics,https://eric.ed.gov/?q=Parallel+Alternative+Strategies+for+Students+(PASS),Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Saylor Academy,https://learn.saylor.org/course/index.php?categoryid=6,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Seneca,https://app.senecalearning.com/courses?Price=Free,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
The Art of Public Speaking,http://www.gutenberg.org/ebooks/16317,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Ck-12,https://www.ck12.org/book/Journalism-101/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Georgia Virtual Learnin g,https://gavirtual.instructure.com/courses/27293,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Handbook of Independent Journalism,https://archive.org/details/HandbookOfIndependentJournalism,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Saylor Academy,https://learn.saylor.org/course/index.php?categoryid=8,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
FutureLearn,https://www.futurelearn.com/subjects/creative-arts-and-media-courses/photography-and-visual-arts,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Lesson Plan of Happiness,https://lessonplanofhappiness.com/classes/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Crash Course Film Making,https://lessonplanofhappiness.com/worksheets-and-printables/crash-course-film-making/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Crash Course Film History,https://lessonplanofhappiness.com/worksheets-and-printables/crash-course-film-history/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Intro to Screenwriting,https://lessonplanofhappiness.com/worksheets-and-printables/intro-to-screenwriting/,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Save the Cat! The Last Book on Screenwriting You’ll Ever Need,https://www.amazon.com/Save-Last-Book-Screenwriting-Youll/dp/1932907009?crid=38OZ7Y320BYL6,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
Critical Reasoning for Beginners,http://podcasts.ox.ac.uk/series/critical-reasoning-beginners,Freedom Homeschooling,Grades K-12,Free,Free homeschool elective resource listed on Freedom Homeschooling.
