title,website_url,source,grades_or_ages,prices_mentioned,description
2026 Summer Reading Program,https://www.goodandbeautiful.com/products/2026-summer-reading-program,The Good and the Beautiful,K; Grades 2–4; Grades 5–6; Grades 7–12; High School,Free,"All levels of our Summer Reading Packs are permanently out of stock. However, your children can still participate in our Summer Reading Program! Download the summer reading logs and bookmarks for free and purchase the books for your child's particular level below! Good books are powerful. They invite us to slow down an"
50 Amazing Facts About Bones: by Jessica Jung,https://www.goodandbeautiful.com/products/50-amazing-facts-about-bones-by-jessica-jung,The Good and the Beautiful,,$7.99,"50 Amazing Facts About Bones is a comprehensive text about bone anatomy and physiology. Full of illustrations, diagrams, sketches, and X-ray images, this book is thorough enough to engage a curious first-time bone explorer and enrich a student’s current skeletal study. Learn all about bone basics, growth, structure, mo"
50 Books Club,https://www.goodandbeautiful.com/products/fifty-books-club,The Good and the Beautiful,Ages 5–99,$9.99,"Ages 5–99+ Fifty Books Club is a reading log for your children to log their reading in a creative way. With space to record the details on fifty books, 50 Books Club includes boxes for setting, main character, the child's rating of the book, and more. A notes section provides space for students to record anything of th"
50 Books Club (PDF),https://www.goodandbeautiful.com/products/50-books-club-pdf,The Good and the Beautiful,Ages 5–99,$13.99,"Ages 5–99+ Fifty Books Club (PDF) is a reading log for your children to log their reading in a creative way. With space to record the details on fifty books, 50 Books Club (PDF) includes boxes for setting, main character, the child's rating of the book, and more. A notes section provides space for students to record an"
A Crown for Kate,https://www.goodandbeautiful.com/products/a-crown-for-kate-by-jenny-phillips,The Good and the Beautiful,,$8.99,"Level 1B Travel to a land long ago where a girl named Kate wants nothing more than to be a real queen one day. Although Kate, being blind, can't see the beautiful mill and land where she lives, she can feel, smell, and hear the beauty around her. When Kate unexpectedly finds a real crown in the forest, she is taken on "
A Dog Named Sniff Series,https://www.goodandbeautiful.com/products/a-dog-named-sniff-series,The Good and the Beautiful,K,$41.94,"When a cute and curious dog named Sniff becomes a part of a little girl’s family, the fun begins! While playing and exploring, the little girl and Sniff become fast friends. The books in A Dog Named Sniff series are adorably illustrated books for beginning readers that teach lessons about loyalty, responsibility, and f"
A Dog Named Sniff—Book 1,https://www.goodandbeautiful.com/products/a-dog-named-sniff-book-1-by-jenny-phillips,The Good and the Beautiful,K,$6.99,"On a beautiful spring day, Gran shows up with a big surprise—a box of adorable puppies! The girl knows just which puppy she wants, but there’s just one problem—she doesn’t know what to name her new pup! It doesn’t look like a Sally or Bess or seem like a Dash or Scout. Come along on this delightful tale as the young gi"
A Dog Named Sniff—Book 2,https://www.goodandbeautiful.com/products/a-dog-named-sniff-book-2-by-jenny-phillips,The Good and the Beautiful,K,$6.99,"Sniff is a very lovable and curious dog. When the family decides to bring her along on their camping adventure, she lets her curiosity run a bit too wild and gets into trouble. Join Sniff as she discovers how helpful family can be in times of need. 63 pages Full-color illustrations Paperback, perfect binding, 5.5”x8.5”"
A Dog Named Sniff—Book 3,https://www.goodandbeautiful.com/products/a-dog-named-sniff-book-3-by-jenny-phillips,The Good and the Beautiful,K,$6.99,"Surprise! Sniff is having puppies! The little girl is so excited about the new arrivals but feels sad when it is time to find homes for the sweet pups. One by one, the puppies are chosen and carried away—all except one. Come along with the girl and her best pal, Sniff, as they search for a home for the littlest puppy. "
A Dog Named Sniff—Book 4,https://www.goodandbeautiful.com/products/a-dog-named-sniff-book-4,The Good and the Beautiful,kindergarten,$6.99,"Sniff and Fred are going on a trip to see Gran! The little girl and her two trusty dogs spend a fun day discovering everything on her grandparents' farm. But then the day takes an unexpected turn, and Sniff must use her nose to ensure the day ends as wonderfully as it started. 62 pages Full-color illustrations Paperbac"
A Dog Named Sniff—Book 5,https://www.goodandbeautiful.com/products/a-dog-named-sniff-book-5,The Good and the Beautiful,kindergarten,$6.99,"Sniff and Fred love exploring with the family. Oh no! Something is wrong with Sniff. Embark on a heartwarming journey with the young girl as she takes Sniff to the vet and learns fun, new things along the way. 63 pages Full-color illustrations Paperback; perfect binding; 5.5""x8.5"" A Dog Named Sniff—Book 5 is part of A "
A Dog Named Sniff—Book 6,https://www.goodandbeautiful.com/products/a-dog-named-sniff-book-6,The Good and the Beautiful,K,$6.99,"When Sniff and her family go to the beach, there is so much to do and see and sniff! Along with having lots of beach fun, they also get to help out when they notice something along the shore. In the end, Sniff herself gets some help too! 63 pages Full-color illustrations Paperback; perfect binding; 5.5""x8.5"" A Dog Name"
A Girl of the Limberlost: by Gene Stratton-Porter,https://www.goodandbeautiful.com/products/a-girl-of-the-limberlost-by-gene-stratton-porter,The Good and the Beautiful,Grade 2; High School,$10.99,"Level 11/12 Spurned by her grieving mother since birth, 16-year-old Elnora Comstock finds solace in nature, cultivating a collection of rare moths and other specimens from Indiana’s Limberlost swampland. Elnora desires above all the love of her unaffectionate mother and an education at the local high school. But withou"
A Joey From Down Under,https://www.goodandbeautiful.com/products/a-joey-from-down-under-by-heather-horn,The Good and the Beautiful,,$6.99,"A young kangaroo joey named Sunny is always looking for ways to beat the summer heat. One day, when a pack of dingoes comes sniffing around, she and her friend Yindy get separated from the rest of the mob. They meet many new mates along the way, but will they find their way back home to their mothers? 64 pages Full-col"
A Mushroom Walk: by Jenny Phillips,https://www.goodandbeautiful.com/products/a-mushroom-walk-by-jenny-phillips,The Good and the Beautiful,,$7.99,"As Martha and Otto walk through the forest, their mother teaches them about what kinds of mushrooms are safe to eat. Their mother also teaches them about something else very important: sexual abuse. Join Martha and Otto as they learn what to do if anyone ever asks them to do something inappropriate with their bodies. 2"
A Panda in the Bamboo Forest,https://www.goodandbeautiful.com/products/a-panda-in-the-bamboo-forest-by-heather-horn,The Good and the Beautiful,,$6.99,"In the bamboo forests of China, there lives a giant panda named Chun and her little cub, Ming. Winter is coming, and Ming and Chun must leave their home high in the mountains for warmer parts of the forest. Come explore the world of Chun and Ming as they migrate down the mountain, meeting new friends and having adventu"
A Penny for Your Thoughts: by Tyler Mattson,https://www.goodandbeautiful.com/products/a-penny-for-your-thoughts-by-tyler-mattson,The Good and the Beautiful,,$8.99,"Perfectionism, overthinking, low self-esteem, and pressure to please others—Tilly experiences all these thoughts during her first day at choir camp. She wonders if she should even go to camp at all. However, with the help of her mom, Tilly decides to make some goals so she can work through the stress she’s experiencing"
A Puffin on the Rocky Coast,https://www.goodandbeautiful.com/products/a-puffin-on-the-rocky-coast-by-heather-horn,The Good and the Beautiful,,$6.99,"Every winter, puffins cross the harsh, frigid water and make their way to the rocky coast, where they are greeted by thousands of other puffins. Somehow in the massive colony of puffins, Poppy and Chip reunite each spring. Follow the adventures of this puffin pair as they build their nest, care for their egg, search fo"
A Pup in the Dry Plains,https://www.goodandbeautiful.com/products/a-pup-in-the-dry-plains-by-heather-horn,The Good and the Beautiful,,$6.99,"Out in the dry Kalahari Desert lives a large mob of meerkats. As big brother Gus watches over his new siblings and teaches his brother Chase how to hunt, he keeps an eye out for danger lurking nearby. One day Chase wanders too far from the burrow and encounters several hungry predators. Will he remember what Gus taught"
A Tiger in the Tall Grass,https://www.goodandbeautiful.com/products/a-tiger-in-the-tall-grass-by-heather-horn,The Good and the Beautiful,,$6.99,"Adventure is always a step away for young tiger cubs Kash, Reva, and Lata. Their curiosity keeps their mother, Tara, on her feet! What will the cubs discover as they explore the tall grass, splash in the water, and wander a little too far from their mother? Follow the tiger cubs as they escape danger and learn to hunt "
A Trickle of Water,https://www.goodandbeautiful.com/products/a-trickle-of-water,The Good and the Beautiful,Grade 5,$8.99,"Level 5 Piper and her family are cast into an adventure on a California U-pick farm that seems to have more problems than potential. Across the globe in Kenya, Joseph is just trying to survive. When Piper’s and Joseph’s worlds collide, their lives both change in unexpected ways, and the gifts they off­er each other bri"
A Wolf in the North Woods: by Heather Horn,https://www.goodandbeautiful.com/products/a-wolf-in-the-north-woods-by-heather-horn,The Good and the Beautiful,,$6.99,"Life in the North Woods is full of surprises, danger, work, and best of all: adventure! Young wolf pups, Will and Beth, discover the skills of hunting and protecting as well as the love of family and nature. Follow the wolf siblings through the North Woods as they grow from newborn pups to helpful members of the pack. "
Abraham Lincoln,https://www.goodandbeautiful.com/products/abraham-lincoln-by-wilbur-fisk-gordy,The Good and the Beautiful,Grade 8,$7.99,"Level 7/8 Written in 1917, Wilbur Gordy's biography of Abraham Lincoln brings to life one of the great men of history. The biography is not fictionalized; it sticks to factual information and stories, but it is presented in a way that makes history interesting and meaningful. As the book travels through the life of Abr"
Along the Mountainside: by Shannen Yauger and Kelley Williams,https://www.goodandbeautiful.com/products/along-the-mountainside-by-shannen-yauger-and-kelley-williams,The Good and the Beautiful,,$6.99,"Seasons transition from one to the next in the beautiful North Georgia mountains. As the weather and foliage change, mammals of the southeastern United States go about their busy lives. Wild Boar scrounges for food in the underbrush while Pygmy Shrew seeks shelter in his burrow. Red Fox is alert for trouble as Woodchuc"
Amazing Archaeological Digs: Paleontology Grades 7-8 Extension,https://www.goodandbeautiful.com/products/amazing-archaeological-digs-paleontology-grades-7-8-extension,The Good and the Beautiful,Grades 7-8,$7.99,"Level 7 Travel around the world and take a look at the past one archaeological dig at a time. From King Tut’s tomb to cities that lay under water, explorers and scientists have found more than just buried treasure! Grab a shovel and get ready to learn about some of the world’s more incredible discoveries in Amazing Arc"
Among the Leaves: by The Good and the Beautiful Team,https://www.goodandbeautiful.com/products/among-the-leaves-by-the-good-and-the-beautiful-team,The Good and the Beautiful,,$10.99,"Level 7 Among the Leaves takes you on a trip outdoors and around the world to discover deciduous and evergreen trees and their essential roles in our ecosystem. Pairing fascinating, detailed descriptions with vibrant images, this book teaches you how these majestic trees have been a valuable resource to our biosphere f"
Ancient Animals: by Molly Sanchez and The Good and the Beautiful Team,https://www.goodandbeautiful.com/products/ancient-animals-by-molly-sanchez-and-the-good-and-the-beautiful-team,The Good and the Beautiful,grades 3–8,$7.99,"Have you ever thought about the extraordinary animals that lived long ago? Paleontologists and other scientists have made many fascinating discoveries about these incredible, often spine-chilling ancient creatures. Join us for a ton of fun as we learn about them one by one in Ancient Animals ! 35 pages Full-color illus"
Animal Adventures Series,https://www.goodandbeautiful.com/products/animal-adventures-series,The Good and the Beautiful,,$41.94,"by Heather Horn With captivating illustrations and engaging writing, the Animal Adventures series gives children a glimpse into the daily lives of animals across the world. Young readers who have loved the popular book, A Wolf in the North Woods , can now enjoy reading about many other animals and their habitats such a"
Ann and Hans of the Swiss Alps Series,https://www.goodandbeautiful.com/products/ann-and-hans-of-the-swiss-alps-series,The Good and the Beautiful,K,$13.98,"*For a limited time, receive Ann and Hans of the Swiss Alps: Book 1 FREE when you request the physical version of the Levels K–1 Summer Reading Pack . The Ann and Hans of the Swiss Alps books follow Ann and Hans, charming twins who live a traditional life in the beautiful mountains of Switzerland. They love their house"
Ann and Hans of the Swiss Alps: Book 1,https://www.goodandbeautiful.com/products/ann-and-hans-of-the-swiss-alps-book-1,The Good and the Beautiful,,$6.99,"Ann and Hans are twins who live in a charming house in the Swiss Alps. On an adventure with their pet cow and goat, they go on a path, up the green hills, and across a little bridge, but the cow goes missing! Where could the cow possibly be? Join the twins and their pets in this delightful tale set in the beautiful cou"
Ann and Hans of the Swiss Alps: Book 2,https://www.goodandbeautiful.com/products/ann-and-hans-of-the-swiss-alps-book-2,The Good and the Beautiful,,$6.99,"Ann and Hans, a brother-and-sister gardening team from the Swiss Alps, set out on an afternoon adventure with some friends. They meet animals along the way, see the countryside, and face a challenge that Dad helps them overcome. In the end there's a surprise for those who have patiently waited! 61 pages Full-color illu"
Anne Marie's Reading Adventures: by Shannen Yauger,https://www.goodandbeautiful.com/products/anne-maries-reading-adventures-by-shannen-yauger,The Good and the Beautiful,,$8.49,"Anne Marie loves to read—all the time and everywhere! Books take Anne Marie on so many adventures, and she would love for you to come along. Explore with Anne Marie as she overcomes fears, meets new friends of all kinds, and even learns a tip that may save her life one day, all through the wonderful world of books! 147"
Answer Key: Language Arts Level 3,https://www.goodandbeautiful.com/products/answer-key-language-arts-level-3,The Good and the Beautiful,Grade 3,$12.99,"The Level 3 Language Arts Answer Key includes the answers for all lessons within the Level 3 Language Arts Course Book . 232 pages Full color; layflat binding; 8.5""x11"" Please note, this physical product is not included in the Level 3 Language Arts Course Set and is an optional purchase. A free PDF download can be view"
Answer Key: Level 4 Language Arts,https://www.goodandbeautiful.com/products/answer-key-level-4-language-arts,The Good and the Beautiful,Grade 4,$13.99,"The non-consumable Level 4 Answer Key provides all the answers for the lessons in the Language Arts 4 Part 1 and Part 2 course books. Organized with two course book pages per answer key page, this key only includes pages for which the child has to write information on the course book page. 232 pages Non-consumable; ful"
Answer Key: Level 5 Language Arts,https://www.goodandbeautiful.com/products/answer-key-level-5-language-arts,The Good and the Beautiful,Grade 5,$13.99,"The non-consumable Level 5 Answer Key provides all the answers for the lessons in the Level 5 Course Books . Organized with two course book pages per answer key page, this key includes only pages for which the child has to write information on the course book page. 215 pages Non-consumable; full-color pages Paperback; "
Answer Key: Math 2,https://www.goodandbeautiful.com/products/answer-key-math-2,The Good and the Beautiful,Grade 2,$11.99,"The Math 2 Answer Key includes the answers for all lessons within the Math 2 Course Book . 169 pages Full color Layflat binding; 8.5""x11"" Please note, this product is not included in the Math 2 Course Set and is an optional purchase. A free PDF download can be located on the Math 2 FAQs, Helps, and Extras page."
Answer Key: Math 3,https://www.goodandbeautiful.com/products/answer-key-math-3-simply-good-and-beautiful-math,The Good and the Beautiful,Grade 3,$11.99,"The Math 3 Answer Key includes the answers for all lessons within the Math 3 Course Book. 196 pages Full color Layflat binding Please note, this product is not included in the Math 3 Course Set and is an optional purchase. A free PDF download can be located by clicking on the blue FAQs, Helps, and Extras button on the "
Answer Key: Math 4,https://www.goodandbeautiful.com/products/answer-key-math-4,The Good and the Beautiful,Grade 4,$11.99,The Math 4 Answer Key includes the answers for all lessons within the Math 4 Course Book. 137 pages Full color Layflat binding
Answer Key: Math 5,https://www.goodandbeautiful.com/products/answer-key-math-5,The Good and the Beautiful,Grade 5,$10.79,"Save 10% on Math 5! You asked; we answered! An updated Math 5 course is coming your way this summer. With a more balanced number of problems, a physical Answers & Solutions Manual , and an optional Extra Practice Worksheets PDF , this updated course makes a fantastic math program even better! (Note: No changes are bein"
Answer Key: Math 6,https://www.goodandbeautiful.com/products/answer-key-math-6,The Good and the Beautiful,Grade 6,$11.99,"The Math 6 Answer Key includes answers for both the Math 6 Course Book 1 and Course Book 2. 192 pages Includes answer key for all pages requiring answers for the whole Math 6 course Full color Layflat binding; 8.5""x11"""
Answers & Solutions Manual: Math 7,https://www.goodandbeautiful.com/products/answers-solutions-manual-math-7,The Good and the Beautiful,Grade 7,$15.99,"The Math 7 Answers & Solutions Manual includes answers and complete solutions for all four Math 7 Course Books. 322 pages Includes answer key and solutions for all pages requiring answers for the whole Math 7 course Full color Layflat binding; 8.5""x11"""
Answers & Solutions Manual: Pre-Algebra,https://www.goodandbeautiful.com/products/answers-solutions-manual-math-8-pre-algebra,The Good and the Beautiful,Grade 7,$17.99,The Pre-Algebra Answers & Solutions Manual includes answers and complete solutions for all four Pre-Algebra Course Books. 342 pages Includes answer key and solutions for all pages requiring answers for the whole Pre-Algebra course Full color Layflat binding; 8.5″x11″
Anteater Addition,https://www.goodandbeautiful.com/products/anteater-addition,The Good and the Beautiful,Kindergarten; K; Grade 1,$14.99,This one-of-a-kind original game offers great math fact practice for children in grades K and higher. Two games offered in both single-player or two-player options help children practice facts independently or with a parent or partner. Addition facts 1–9 are practiced along with odd and even. This game is recommended t
Archimedes: Motion and Simple Machines Grades 7-8 Extension,https://www.goodandbeautiful.com/products/archimedes-motion-and-simple-machines-grades-7-8-extension,The Good and the Beautiful,Grades 7-8,$6.99,Level 7 By Jeanne Bendick Archimedes is one of the greatest thinkers the world has ever known. He invented screws and levers and discovered the law of buoyancy. But what was his life like? Step into the world of Ancient Greece and learn about how Archimedes lived and what led him to make such remarkable discoveries. 10
Arthropods (PDF): Science Activity Book,https://www.goodandbeautiful.com/products/arthropods-pdf-science-activity-book,The Good and the Beautiful,K,$9.99,"Print-at-home PDF The Arthropods: Science Activity Book is an engaging science resource for your students in grades K–2. Now your younger children can join in with their older siblings and learn about incredible insects, spectacular spiders, and cool crustaceans! With fun activities—including mazes, coloring, cut-and-p"
Arthropods Read-Aloud Book Pack,https://www.goodandbeautiful.com/products/arthropods-read-aloud-book-pack,The Good and the Beautiful,K,$23.97,"Picture Books for All Ages Three full-color, interactive books included in the optional Arthropods Read-Aloud Book Pack expand learning and provide a fun, engaging addition to your Arthropods study. With vibrant illustrations, The Boy who Loved Bugs tells the inspiring story of one of the greatest naturalists in histor"
Arthropods: Course Book (PDF),https://www.goodandbeautiful.com/products/arthropods-course-book-pdf,The Good and the Beautiful,,$19.99,"Print-at-home PDF The full-color Course Book guides the parent through each lesson in the Arthropods science course. Hands-on activities, engaging videos, vocabulary words, beautiful illustrations and images, along with engaging information is found throughout the course. Once you gather any simple lesson supplies, the"
