title,website_url,source,grades_or_ages,prices_mentioned,description
Homeschool World,https://www.home-school.com/world,Homeschool World,Grades K-12,$15.00-$500.00,"The latest homeschooling news, articles, organizations, events, forum, curriculum, and much, much more!"
Homeschool World: New in the Home Life Catalog!,https://www.home-school.com/catalog/,Homeschool World,Grades K-12,$4.95-$17.99,"#1 homeschool magazine. Freshest, most cutting-edge homeschool help. Bonuses for subscribers. 20th year of publication. Join us today!"
Homeschooling Books,https://www.home-school.com/catalog/pages/homeschooling.php,Homeschool World,Grades K-12,$2.00-$22.00,Home Life's carefully-chosen selection of homeschooling and family life books will help you find out the truth about issues that you'll never see in the mass me
Family Life Books,https://www.home-school.com/catalog/pages/familylife.php,Homeschool World,Grades K-12,$4.95-$25.00,Books that advocate a biblical family life
Home Life Gift Certificates,https://www.home-school.com/catalog/pages/gift.php,Homeschool World,Grades K-12,$5.00-$100.00,Home Life gift certificates let the recipient decide what he wants
Practical Homeschooling Magazine,https://www.home-school.com/catalog/pages/phs.php,Homeschool World,Grades K-12,Contact for pricing,How a Practical Homeschooling Magazine Subscription Can Help You
USA Individual Subscription to Practical Homeschooling Magazine,https://www.home-school.com/catalog/pages/phs-subscribe.php,Homeschool World,Grades K-12,Contact for pricing,"#1 homeschool magazine. Freshest, most cutting-edge homeschool help. Bonuses for subscribers. 20th year of publication. Join us today!"
Practical Homeschooling Magazine Renewals,https://www.home-school.com/catalog/pages/phs-renewals.php,Homeschool World,Grades K-12,$19.99-$97.00,Renew Your Practical Homeschooling Magazine Subscription
Schoolproof,https://www.home-school.com/catalog/detail.php?idn=144,Homeschool World,Grades K-12,$12.99,"#1 homeschool magazine. Freshest, most cutting-edge homeschool help. Bonuses for subscribers. 20th year of publication. Join us today!"
$5 Home Life Gift Certificate,https://www.home-school.com/catalog/detail.php?idn=411,Homeschool World,Grades K-12,$5,"#1 homeschool magazine. Freshest, most cutting-edge homeschool help. Bonuses for subscribers. 20th year of publication. Join us today!"
$10 Home Life Gift Certificate,https://www.home-school.com/catalog/detail.php?idn=412,Homeschool World,Grades K-12,$10,"#1 homeschool magazine. Freshest, most cutting-edge homeschool help. Bonuses for subscribers. 20th year of publication. Join us today!"
$20 Home Life Gift Certificate,https://www.home-school.com/catalog/detail.php?idn=413,Homeschool World,Grades K-12,$20,"#1 homeschool magazine. Freshest, most cutting-edge homeschool help. Bonuses for subscribers. 20th year of publication. Join us today!"
$50 Home Life Gift Certificate,https://www.home-school.com/catalog/detail.php?idn=414,Homeschool World,Grades K-12,$50,"#1 homeschool magazine. Freshest, most cutting-edge homeschool help. Bonuses for subscribers. 20th year of publication. Join us today!"
$100 Home Life Gift Certificate,https://www.home-school.com/catalog/detail.php?idn=415,Homeschool World,Grades K-12,$100,"#1 homeschool magazine. Freshest, most cutting-edge homeschool help. Bonuses for subscribers. 20th year of publication. Join us today!"
