title,website_url,homeschool_com_url,grades_or_ages,prices_mentioned,description
"Low-Prep, High-Impact K-8 Learning Resources for Home",https://vaieducation.org/lp-vai-educators-studio-for-homeschool/,https://www.homeschool.com/resource-guide/low-prep-high-impact-k-8-learning-resources-for-home/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$9.99 a year with Promo Code,"VAI Educator's Studio Inside the VAI Educator’s Studio, you’ll find 600+ creativity-sparking, easy-to-implement resources aligned to 7 Essential Skills for Success and designed to save you time, engage your"
Ivy Kids,https://ivy-kids.com/,https://www.homeschool.com/resource-guide/ivy-kids/,Preschool; Kindergarten; 1st Grade; 2nd Grade; 3rd Grade,varies by subscription plan,"Read, play, create, & learn with Ivy Kids’ fun and engaging book-inspired, activity-packed STEM kits. Every kit includes a book & 12-15 hands-on activities connected to the featured book of the month."
Learn How to Sign Homeschool Curriculum,https://learnhowtosign.com/homeschool-20/,https://www.homeschool.com/resource-guide/learn-how-to-sign-homeschool-curriculum/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,varies by payment option,"Learn How to Sign at Home: ASL Curriculum for Homeschool Families (K–8, 2-Year Program) Learn How to Sign at Home is a structured, video-based American Sign Language (ASL) curriculum designed specifically for"
Easy Grammar,https://www.easygrammar.com/store/c1/Featured_Products.html,https://www.homeschool.com/resource-guide/easy-grammar/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade,$29.95-$34.95,Easy Grammar teaching texts (prepositional approach) use a building-block-escalator-style to promote mastery. Daily GRAMS provide (180) 10-minute daily review lessons. Easy Grammar Ultimate texts (8th-12th) teach in
American School,http://www.americanschool.org/,https://www.homeschool.com/resource-guide/american-school-2/,6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,"$225 - $4,400","American School offers accredited middle school and high school courses at an affordable cost. Students may complete full years of middle school or high school and ultimately earn an accredited high school diploma, or"
Windermere Press Books,http://www.windermerepressbooks.com/,https://www.homeschool.com/resource-guide/windermere-press-books/,1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade,$12.95-$19.95,"Windermere Press is a Charlotte Mason-inspired publisher sharing the best literature of the past with readers of the present, specializing in works that explore nature, history, and the imagination. We offer a full"
Time4Learning Curriculum Listing,https://www.time4learning.com/homeschool-curriculum/how-it-works/?utm_source=homeschoolcom&utm_medium=article&utm_campaign=curriculum_finder_tool,https://www.homeschool.com/resource-guide/time4learning/,Pre-K - 12th Grade,$39.95/Month,"Time4Learning is a comprehensive online homeschool curriculum for PreK–12 students, combining core academic subjects with engaging multimedia lessons and flexible learning tools. Designed for ease of use and"
Time4MathFacts,https://www.time4mathfacts.com/?utm_source=homeschool.com&utm_medium=referral&utm_campaign=rf+bnr+home+260x90-static,https://www.homeschool.com/resource-guide/time4mathfacts/,2nd Grade; 3rd Grade; 4th Grade; 5th Grade,$54.95/yr,"Teach math facts accurately quickly and effortlessly with fun games, practice and reporting. Time4MathFacts boosts skills in addition, subtraction, multiplication and division. Perfect as a homeschool supplement to math"
Brightspire Virtual School,https://brightspire.time4learning.com/,https://www.homeschool.com/resource-guide/brightspire-virtual-school/,6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,"Full-time, yearlong enrollment starts at $3,990",Brightspire Virtual School is a fully accredited online school serving students in grades 6-12. The unique aspect that sets Brightspire apart is its framework for learning. Graduates leave with a set of life skills
Apologia Homeschool Curriculum,https://glnk.io/4x177/homeschool,https://www.homeschool.com/resource-guide/apologia-homeschool-curriculum/,Kindergarten; 1st Grade; 2nd Grade; 3rd Grade; 4th Grade; 5th Grade; 6th Grade; 7th Grade; 8th Grade; 9th Grade; 10th Grade; 11th Grade; 12th Grade,Varies per product ($15 – $315),"For homeschool families seeking faith-based education for their children, Apologia provides a Christ-centered, award-winning K-12 curriculum. Through this exciting and challenging curriculum, students develop a"
