title,website_url,source,grades_or_ages,prices_mentioned,description
Swim Lessons In a Box,https://homeschoollanguages.com/products/swim-lessons-in-a-box,Homeschool Languages,Ages 3,$199.00,"Best for ages 3+. Teach your child to swim with confidence, on your schedule, and in a way that fits your family. Swim Lessons in a Box is a ONE-OF-A-KIND, parent-led system designed to help families make real progress in the water. Whether traditional swim lessons haven’t worked for your child, or you simply want a mo"
Level 1 Workbook,https://homeschoollanguages.com/products/bilingual-storybook-series-with-audiobook-copy,Homeschool Languages,,$19.99,"The Level 1 Workbook helps children strengthen the vocabulary and phrases introduced throughout the Homeschool Languages curriculum . While the lessons focus on conversation and real-life language use, the workbook provides a simple way for students to review, practice, and retain what they are learning. These short ac"
Bilingual Portuguese Storybook Set — Homeschool Fairytales (with Audio),https://homeschoollanguages.com/products/bilingual-portuguese-storybooks,Homeschool Languages,,$19.99-$24.99,"The Bilingual Brazilian Portuguese Storybook Series helps homeschool families reinforce everyday language learning through familiar stories children already know and love. Designed to align with the first four units of the Homeschool Languages Brazilian Portuguese Level 1 curriculum, these storybooks gently introduce B"
Level 1 Workbook - Brazilian Portuguese,https://homeschoollanguages.com/products/level-1-workbook-portuguese,Homeschool Languages,,$19.99,"Give your child extra practice and confidence with the Homeschool Languages Portuguese Level 1 Workbook ! ✏️ The Portuguese Level 1 Workbook helps children strengthen the vocabulary and phrases introduced throughout the Homeschool Languages curriculum. While the lessons focus on conversation and real-life language use,"
Bilingual German Storybook Set — Homeschool Fairytales (with Audio),https://homeschoollanguages.com/products/bilingual-german-storybooks,Homeschool Languages,,$19.99-$24.99,"The Bilingual German Storybook Series helps homeschool families reinforce everyday language learning through familiar stories children already know and love. Designed to align with the first four units of the Homeschool Languages German Level 1 curriculum, these storybooks gently introduce German through natural storyt"
Bilingual French Storybook Set — Homeschool Fairytales (with Audio),https://homeschoollanguages.com/products/bilingual-french-storybooks,Homeschool Languages,,$19.99-$24.99,🎧 Audio Included With Every Story Each story includes French audio support so children can listen while following along with the text. Listening to the stories helps children: ✔ Hear French words and phrases in context ✔ Strengthen listening comprehension ✔ Build familiarity with sentence rhythm and flow ✔ Follow the s
American Sign Language Level 1 - International Shipping (SHIPS IN SEPTEMBER),https://homeschoollanguages.com/products/american-sign-language-level-1-international-shipping,Homeschool Languages,Ages 4–10,$249.00,"ASL Level 1 Curriculum Bring American Sign Language into your home with a simple, family-style curriculum made for parents and kids to learn together. ASL Level 1 is an open-and-go curriculum designed for children ages 4–10, with scripted lessons, Deaf-led signing videos, storybooks, games, cards, and hands-on activiti"
French Level 2 - International Shipping,https://homeschoollanguages.com/products/french-level-2-international-shipping,Homeschool Languages,,$249.00,"Homeschool French Curriculum for Kids — Level 2 picks up where Level 1 left off. Now that your kids are speaking French at home, Level 2 helps them talk to and about other people — building real conversations through present-tense conjugation, reflexive pronouns, and everyday routines. A continuation French curriculum "
Brazilian Portuguese Level 1 - International Shipping,https://homeschoollanguages.com/products/brazilian-portuguese-level-1-international-shipping,Homeschool Languages,Ages 4–10,$199.00,Homeschool Brazilian Portuguese Curriculum for Kids — Homeschool Languages helps families teach kids Brazilian Portuguese and learn Portuguese at home with fully scripted Portuguese lessons for kids ages 4–10. Build real bilingual speaking habits through natural Portuguese conversation — even if the parent isn't fluent
test,https://homeschoollanguages.com/products/test,Homeschool Languages,,Free,
