title,website_url,source,grades_or_ages,prices_mentioned,description
A Classical Approach in a Modern World [Andrew Pudewa],https://iew.com/a-classical-approach-in-a-modern-world-andrew-pudewa,IEW,Grades K-12,$3.00,"What is a classical education? Studying Latin? Learning logic? Reading The Iliad? Although Andrew Pudewa does not claim to be the expert extraordinaire on the subject, he has been exploring this idea of classical education for the past twenty years and has witnessed the frenzy, the skeptics, and various views of what actually defines a classical education. In this talk, Andrew shares his personal journey, some observations, and his conclusions that have enriched his own teaching at home and in many communities across North America."
A Word Write Now,https://iew.com/a-word-write-now,IEW,K-2; 3-5; 6-8; 9-12,$35.00,"This thematic thesaurus contains a treasure trove of fascinating words to spice up your student's—and your own—writing! From character qualities to behavior traits to the five senses, you'll find a host of descriptive words to add interest and flair to any composition."
"Advanced Creative Writing with Power Paragraphs [James B. Webster, Ph.D.]",https://iew.com/advanced-creative-writing-with-power-paragraphs-james-b-webster-phd,IEW,6-8; 9-12,$3.00,Recorded at the 2004 Tacoma Teacher's Conference
"Advanced Decorations, Metaphorical, & Allegorical Writing [James B. Webster, Ph.D.]",https://iew.com/advanced-decorations-metaphorical-allegorical-writing-james-b-webster-phd,IEW,6-8; 9-12,$3.00,Recorded at the 2008 Writing Educator's Symposium
"Advanced Essay Models [James B. Webster, Ph.D.]",https://iew.com/advanced-essay-models-james-b-webster-phd,IEW,6-8; 9-12,$3.00,Recorded at the 2004 Tacoma Teacher's Conference
Advanced Spelling & Vocabulary [Audio Download],https://iew.com/advanced-spelling-vocabulary-audio-download,IEW,9-12; Col,$19.00,Advanced spellers will work independently to learn the spelling and definitions of hundreds of new words across nine different disciplines.
Advanced U.S. History-Based Writing Lessons [Student Book only],https://iew.com/advanced-us-history-based-writing-lessons-student-book-only,IEW,9-12,$35.00,EXTRA STUDENT BOOK ONLY – Purchase this Student Book for each of your students if you already own the Advanced U.S. History-Based Writing Lessons Teacher's Manual. † Contains distinctly Christian content
Advanced U.S. History-Based Writing Lessons [Teacher's Manual only],https://iew.com/advanced-us-history-based-writing-lessons-teachers-manual-only,IEW,9-12,$29.00,TEACHER'S MANUAL ONLY – Purchase this Teacher's Manual if you already own the Advanced U.S. History-Based Writing Lessons Student Book. † Contains distinctly Christian content
Advanced U.S. History-Based Writing Lessons [Teacher/Student Combo],https://iew.com/advanced-us-history-based-writing-lessons-teacherstudent-combo,IEW,9-12,$55.00,"Students write about Jamestown, the California Gold Rush, and more. This course is designed for students with at least one year of experience with IEW at the high school level. † Contains distinctly Christian content"
Adventures in Writing [Student Book only],https://iew.com/adventures-in-writing-student-book-only,IEW,3-5,$35.00,EXTRA STUDENT BOOK ONLY – Purchase this Student Book for each of your students if you already own the Adventures in Writing Teacher's Manual. This course was written in collaboration with Hillsdale College K-12 Education.
Adventures in Writing [Teacher's Manual only],https://iew.com/adventures-in-writing-teachers-manual-only,IEW,3-5,$29.00,TEACHER'S MANUAL ONLY – Purchase this Teacher's Manual if you already own the Adventures in Writing Student Book. This course was written in collaboration with Hillsdale College K-12 Education.
Adventures in Writing [Teacher/Student Combo],https://iew.com/adventures-in-writing-teacherstudent-combo,IEW,3-5,$55.00,"Explore a wide variety of fascinating subjects in Adventures in Writing! Students write about adventurous topics such as Roman hoplites, tornadoes, Leif Eriksson, and other interesting subjects while they learn to write with the Structure and Style® writing method. This course was written in collaboration with Hillsdale College K-12 Education."
Adventures Writing Companion,https://iew.com/adventures-writing-companion,IEW,Grades K-12,$10.00,COMPANION PRODUCT ONLY – Purchase this online word processor for each of your students if they are working through Adventures in Writing.
All About Spelling Level 1 [Teacher's Manual & Student Packet] [CLEARANCE],https://iew.com/all-about-spelling-level-1-teachers-manual-student-packet-clearance,IEW,K-2; 3-5,$26.00,"Give your students a thorough grounding in spelling with this multi-sensory, phonics-based program."
Ancient History-Based Writing Companion,https://iew.com/ancient-history-based-writing-companion,IEW,Grades K-12,$10.00,COMPANION PRODUCT ONLY – Purchase this online word processor for each of your students if they are working through Ancient History-Based Writing Lessons.
Ancient History-Based Writing Lessons [Student Book only],https://iew.com/ancient-history-based-writing-lessons-student-book-only,IEW,6-8,$35.00,EXTRA STUDENT BOOK ONLY – Purchase this Student Book for each of your students if you already own the Ancient History-Based Writing Lessons Teacher's Manual.
Ancient History-Based Writing Lessons [Teacher's Manual only],https://iew.com/ancient-history-based-writing-lessons-teachers-manual-only,IEW,6-8,$29.00,TEACHER'S MANUAL ONLY – Purchase this Teacher's Manual if you already own the Ancient History-Based Writing Lessons Student Book.
Ancient History-Based Writing Lessons [Teacher/Student Combo],https://iew.com/ancient-history-based-writing-lessons-teacherstudent-combo,IEW,6-8,$55.00,"Experience the adventures of the ancient world! Students write about King Tut, Pompeii, and more while they learn to write with the Structure and Style®️ writing method."
Bible Heroes,https://iew.com/bible-heroes,IEW,K-2,$35.00,Students learn about heroes of the Bible as they learn to write with Structure and Style. The Student Book includes a downloadable Teacher's Manual. † Contains distinctly Christian content
Bible Heroes [Teacher's Manual],https://iew.com/bible-heroes-teachers-manual,IEW,K-2,$19.00,Let us print out the Teacher Book for you!
Bible-Based Writing Companion,https://iew.com/bible-based-writing-companion,IEW,Grades K-12,$10.00,COMPANION PRODUCT ONLY – Purchase this online word processor for each of your students if they are working through Bible-Based Writing Lessons.
Bible-Based Writing Lessons [Student Book only],https://iew.com/bible-based-writing-lessons-student-book-only,IEW,9-12,$35.00,EXTRA STUDENT BOOK ONLY - Purchase this Student Book for each of your students if you already own the Bible-Based Writing Lessons Teacher's Manual. † Contains distinctly Christian content
Bible-Based Writing Lessons [Teacher's Manual only],https://iew.com/bible-based-writing-lessons-teachers-manual-only,IEW,9-12,$29.00,TEACHER'S MANUAL ONLY - Purchase this Teacher's Manual if you already own the Bible-Based Writing Lessons Student Book. † Contains distinctly Christian content
Bible-Based Writing Lessons [Teacher/Student Combo],https://iew.com/bible-based-writing-lessons-teacherstudent-combo,IEW,9-12,$55.00,Students delve into Bible stories and themes as they learn to write with the Structure and Style® writing method. † Contains distinctly Christian content
Blended Structure and Style in Composition,https://iew.com/blended-structure-and-style-in-composition,IEW,Grades K-12,$35.00,"Experienced IEW instructors will find abundant student samples, charts, and explanations in this definitive reference."
But . . . but . . . but . . . What about Grammar? [Andrew Pudewa],https://iew.com/but-but-but-what-about-grammar-andrew-pudewa,IEW,Grades K-12,,"Knowing how to teach grammar is especially challenging for the parent who doesn’t feel confident in his or her own grammar proficiency. Grammar programs often consist of piles of workbooks, wasted dollars, and way too much time spent trying to fulfill that subject. Often what is taught in those workbook pages doesn’t translate into success in writing. The results are poor mechanics and a less than stellar understanding of ""What is a verb?"" or perhaps more importantly, “How do verb choices enhance writing?” If you are asking, “But what about grammar?” Andrew Pudewa has answers to your dilemma."
By Heart: The Goodness of Memory [Andrew Pudewa],https://iew.com/by-heart-the-goodness-of-memory-andrew-pudewa,IEW,Grades K-12,,"Join Andrew Pudewa in a contemplation of the fundamental human faculty of memory, examining some of the history and biology of memory and its impacts on language, imagination, joy, and virtue."
Canadian History-Based Writing Companion,https://iew.com/canadian-history-based-writing-companion,IEW,Grades K-12,$10.00,COMPANION PRODUCT ONLY – Purchase this online word processor for each of your students if they are working through Canadian History-Based Writing Lessons.
Canadian History-Based Writing Lessons [Student Book only],https://iew.com/canadian-history-based-writing-lessons-student-book-only,IEW,6-8,$35.00,EXTRA STUDENT BOOK ONLY - Purchase this Student Book for each of your students if you already own the Canadian History-Based Writing Lessons Teacher's Manual.
Canadian History-Based Writing Lessons [Teacher's Manual only],https://iew.com/canadian-history-based-writing-lessons-teachers-manual-only,IEW,6-8,$29.00,Purchase this Teacher's Manual if you already own the accompanying Student Book and need to complete the set.
Canadian History-Based Writing Lessons [Teacher/Student Combo],https://iew.com/canadian-history-based-writing-lessons-teacherstudent-combo,IEW,6-8,$55.00,"Explore the history of the Great White North! Students write about J. Armand Bombardier, insulin, hockey, and more while they learn to write with the Structure and Style® writing method."
Canadian History-Based Writing Lessons [Teacher/Student Combo] [CLEARANCE],https://iew.com/canadian-history-based-writing-lessons-teacherstudent-combo-clearance,IEW,6-8,$39.00,"Explore the history of the Great White North! Students write about J. Armand Bombardier, insulin, hockey, and more while they learn to write with the Structure and Style® writing method."
Caution and Craziness [Andrew Pudewa],https://iew.com/caution-and-craziness-andrew-pudewa,IEW,Grades K-12,$3.00,Young people asking themselves the big questions—Who am I? Why am I here? What am I supposed to do with this life?—will be inspired to begin finding their life mission and taking ownership of their own education.
Classical Rhetoric through Structure and Style®,https://iew.com/classical-rhetoric-through-structure-and-style,IEW,9-12; Col,$35.00,Compose essays and arguments based on the Progymnasmata while learning to write with structure and style.
Classroom Posters,https://iew.com/classroom-posters,IEW,Grades K-12,$109.00,"Internalize ideas through frequency, intensity, and duration."
Classroom Posters [CLEARANCE],https://iew.com/classroom-posters-clearance,IEW,Grades K-12,$55.00,"Internalize ideas through frequency, intensity, and duration."
Classroom Supplement and Lesson Plans Grade 1,https://iew.com/classroom-supplement-and-lesson-plans-grade-1,IEW,K-2,$79.00,"This product is intended for use by five-day-a-week schools. Incorporating poetry, phonics, grammar, and printing practice into daily lesson plans, this manual makes it easy for you to implement the Structure and Style® methodology."
Classroom Supplement and Lesson Plans Grade 2,https://iew.com/classroom-supplement-and-lesson-plans-grade-2,IEW,K-2,$79.00,"This product is intended for use by five-day-a-week schools. Incorporating poetry, phonics, grammar, and printing practice into daily lesson plans, this manual makes it easy for you to implement the Structure and Style® methodology."
Classroom Supplement and Lesson Plans Kindergarten,https://iew.com/classroom-supplement-and-lesson-plans-kindergarten,IEW,K-2,$79.00,"This product is intended for use by five-day-a-week schools. Incorporating poetry, letter formation, phonics, and grammar into daily lesson plans, this manual makes it easy for you to implement the Structure and Style® methodology."
College Application Personal Essays [Gail Kruschke],https://iew.com/college-application-personal-essays-gail-kruschke,IEW,9-12,$3.00,Recorded at the 2004 Tacoma Teacher's Conference
Conquering Corrupt Culture [Andrew Pudewa],https://iew.com/conquering-corrupt-culture-andrew-pudewa,IEW,Grades K-12,$3.00,Be inspired to rethink your educational perspective in light of the heroic decisions that may soon be required of your children in this volatile era.
"Creative Writing Review [James B. Webster, Ph.D.]",https://iew.com/creative-writing-review-james-b-webster-phd,IEW,3-5; 6-8; 9-12,$3.00,Recorded at the 2004 Tacoma Teacher's Conference
Cultivating Attentiveness and Contemplation [Andrew Pudewa],https://iew.com/cultivating-attentiveness-and-contemplation-andrew-pudewa,IEW,3-5; 6-8; 9-12,,"Blaise Pascal observed that many of humanity’s problems “stem from man’s inability to sit quietly in a room alone.” If true in 1654, how much more is it so today in a world where all of us—young and old—suffer from screen-induced attention deficiencies and fractured concentration? Indeed, as we increasingly depend on external stimulation for diversion, our ability to reflect, remember, compare, and contemplate seems to wane. Andrew Pudewa addresses this dependence as well as practical ways we can help our students develop essential thinking skills."
Cultivating Language Arts [Andrew Pudewa],https://iew.com/cultivating-language-arts-andrew-pudewa,IEW,Grades K-12,,"Listening and reading well, speaking and writing clearly, thinking and debating effectively are abilities that most parents hope to cultivate in their children. With that goal in mind, Andrew will explore various environments and activities which will accelerate the development of these language skills, beginning with the youngest students and continuing into the high school years."
