title,website_url,source,grades_or_ages,prices_mentioned,description
Algebra 1: Legacy Edition DVDs,https://store.demmelearning.com/products/algebra-1-le-dvds,Demme Learning Store,8th Grade; 9th Grade; High School,$52.00,"The Algebra 1: Legacy Edition DVDs feature the videos instructors need to teach this level. In this level, you and your student will confidently explore general algebra concepts including basic properties, coin problems, and exponents while"
Algebra 1: Legacy Edition Instruction Manual,https://store.demmelearning.com/products/algebra-1-le-instruction-manual,Demme Learning Store,8th Grade; 9th Grade; High School,$42.30,"The Algebra 1: Legacy Edition Instruction Manual includes the resources instructors need to teach this level. In this level, you and your student will confidently explore general algebra concepts including basic properties, coin problems, a"
Algebra 1: Legacy Edition Set,https://store.demmelearning.com/products/algebra-1-legacy-edition-set,Demme Learning Store,8th Grade; 9th Grade; High School,$252.52,Empower your student with this comprehensive set designed to provide everything you need to get started in the Algebra 1: Legacy Edition level of Math-U-See. The Algebra 1: Legacy Edition Set comes complete with every component necessary fo
Algebra 1: Legacy Edition Student Workbook and Tests,https://store.demmelearning.com/products/algebra-1-legacy-edition-student-workbook-and-tests,Demme Learning Store,8th Grade; 9th Grade; High School,$48.00,"Equip your student with the Algebra 1: Legacy Edition materials they need to take their learning to the next level. The Algebra 1: Legacy Edition Student Workbook and Tests features just the student resources, including the Student Workbook"
Algebra 1: Principles of Secondary Mathematics Instructor Handbooks,https://store.demmelearning.com/products/algebra-1-principles-of-secondary-mathematics-instructor-handbooks,Demme Learning Store,8th Grade; 9th Grade; High School,$115.00,"The Algebra 1: Principles of Secondary Mathematics Instructor Handbooks features just the printed version of the handbooks instructors need to teach this level. In this level, you and your student will prepare for more advanced math studies"
Algebra 1: Principles of Secondary Mathematics Set,https://store.demmelearning.com/products/algebra-1-principles-of-secondary-mathematics-set,Demme Learning Store,8th Grade; 9th Grade; High School,$272.50,Empower your student with this comprehensive set designed to provide everything you need to get started in the Algebra 1: Principles of Secondary Mathematics level of Math-U-See. The Algebra 1: Principles of Secondary Mathematics Set comes 
Algebra 1: Principles of Secondary Mathematics Student Worktexts and Tests,https://store.demmelearning.com/products/algebra-1-principles-of-secondary-mathematics-student-worktexts-and-tests,Demme Learning Store,8th Grade; 9th Grade; High School,$110.00,Equip your student with the Algebra 1: Principles of Secondary Mathematics materials they need to take their learning to the next level. The Algebra 1: Principles of Secondary Mathematics Student Worktexts and Tests features just the studen
Algebra 2: Legacy Edition DVDs,https://store.demmelearning.com/products/algebra-2-dvds,Demme Learning Store,10th Grade; 11th Grade; High School,$52.00,"The Algebra 2: Legacy Edition DVDs feature the videos instructors need to teach this level. In this level, you and your student will confidently explore advanced factoring, conjugate numbers, the binomial theorem, and more to review and exp"
Algebra 2: Legacy Edition Instruction Manual,https://store.demmelearning.com/products/algebra-2-instruction-manual,Demme Learning Store,10th Grade; 11th Grade; High School,$52.20,"The Algebra 2: Legacy Edition Instruction Manual includes the resources instructors need to teach this level. In this level, you and your student will confidently explore advanced factoring, conjugate numbers, the binomial theorem, and more"
Algebra 2: Legacy Edition Set,https://store.demmelearning.com/products/algebra-2-legacy-edition-set,Demme Learning Store,10th Grade; 11th Grade; High School,$160.18,Empower your student with this comprehensive set designed to provide everything you need to get started in the Algebra 2: Legacy Edition level of Math-U-See. The Algebra 2: Legacy Edition Set comes with every component necessary for success
Algebra 2: Legacy Edition Student Workbook and Tests,https://store.demmelearning.com/products/algebra-2-student-workbook-and-tests,Demme Learning Store,10th Grade; 11th Grade; High School,$48.00,"Equip your student with the Algebra 2: Legacy Edition materials they need to take their learning to the next level. The Algebra 2: Legacy Edition Student Workbook and Tests features just the student resources, including the Student Workbook"
Algebra/Decimal Insert Kit,https://store.demmelearning.com/products/algebra-decimal-insert-kit,Demme Learning Store,6th Grade; Ages 11-12,$30.60,Experience the joy of math with the Algebra/Decimal Insert Kit. This 58-piece set is used together with the Integer Block Kit and helps students visualize abstract concepts to create mental images that serve as a bridge to mastery. Deepen u
Alpha DVD,https://store.demmelearning.com/products/alpha-dvd,Demme Learning Store,1st Grade; Ages 6-7,$34.00,"The Alpha DVD features the videos instructors need to teach this level. In this level, you’ll use systematic teaching strategies to help your student confidently explore single-digit addition and subtraction. The Math-U-See Alpha DVD is ide"
Alpha Instruction Manual,https://store.demmelearning.com/products/alpha-instructor-manual,Demme Learning Store,1st Grade; Ages 6-7,$36.90,"The Alpha Instruction Manual features just the resources instructors need to teach this level. In this level, you’ll use systematic teaching strategies to help your student confidently explore single-digit addition and subtraction. The Math"
Alpha Set,https://store.demmelearning.com/products/alpha-set,Demme Learning Store,1st Grade; Ages 6-7,$220.12,"Empower your student with this comprehensive set designed to provide everything you need to get started in the Alpha level of Math-U-See. The Alpha Set comes complete with every component necessary for success, including Instruction Manual,"
Alpha Student Workbook and Tests,https://store.demmelearning.com/products/alpha-student-workbooks-and-tests,Demme Learning Store,1st Grade; Ages 6-7,$48.00,"Equip your student with the Alpha student materials they need to take their learning to the next level. The Alpha Student Workbook and Tests features just the student resources, including the Alpha Student Workbook and Tests booklet. In thi"
Beta DVD,https://store.demmelearning.com/products/beta-dvd,Demme Learning Store,2nd Grade; Ages 7-8,$34.00,"The Beta DVD features the videos instructors need to teach this level. In this level, you and your student will confidently explore multiple digit addition and subtraction while mastering place value. The Math-U-See Beta DVD is ideal for in"
Beta Instruction Manual,https://store.demmelearning.com/products/beta-instruction-manual,Demme Learning Store,2nd Grade; Ages 7-8,$36.90,"TheBeta Instruction Manual includes the resources instructors need to teach this level. In this level, you and your student will confidently explore multiple digit addition and subtraction while mastering place value. The Math-U-See Beta In"
Beta Set,https://store.demmelearning.com/products/beta-set,Demme Learning Store,2nd Grade; Ages 7-8,$220.12,"Empower your student with this comprehensive set designed to provide everything you need to get started in the Beta level of Math-U-See. The Beta Set comes complete with every component necessary for success, including Instruction Manual, o"
Beta Student Workbook and Tests,https://store.demmelearning.com/products/beta-student-workbook-and-tests,Demme Learning Store,2nd Grade; Ages 7-8,$48.00,"Equip your student with the Beta resources they need to take their learning to the next level. The Beta Student Workbook and Tests features just the student resources, including the Student Workbook and Tests booklet. In this level, you and"
Calculus DVDs,https://store.demmelearning.com/products/calculus-dvds,Demme Learning Store,12th Grade; High School; Ages 16-18,$59.71,"The Calculus DVDs feature the videos instructors need to teach this level. In this level, you and your student will discover high-level math techniques such as derivatives, integrals, and differential equations to achieve a solid understand"
Calculus Instruction Manual with DVDs,https://store.demmelearning.com/products/calculus-instruction-manual-with-dvds,Demme Learning Store,12th Grade; High School; Ages 16-18,$103.00,"The Calculus Instruction Manual with DVDs features the resources instructors need to teach this level including the Instruction Manual and Instructional lesson videos on a DVD. In this level, you and your student will discover high-level ma"
Calculus Student Workbook and Tests,https://store.demmelearning.com/products/calculus-student-workbook-and-tests,Demme Learning Store,12th Grade; High School; Ages 16-18,$48.00,"Equip your student with the Calculus learning materials they need to take their education to the next level. The Calculus Student Workbook and Tests features just the student resources, including the Student Workbook and Tests booklet. In t"
