title,website_url,source,grades_or_ages,prices_mentioned,description
Soul Explorer: Books of History (Old Testament),https://payhip.com/b/NxKpH,Maybee Creations,All Ages; families and students,$7.77,"Walk through Israel's rise, fall, exile, and return across the historic chronicles. Covers Joshua – Esther."
Soul Explorer: Books of Poetry (Old Testament),https://payhip.com/b/tZGs3,Maybee Creations,All Ages; families and students,$7.77,"Wander the wisdom highlands of suffering, praise, proverbs, and love. Covers Job – Song of Solomon."
Soul Explorer: Books of the Law (Old Testament),https://payhip.com/b/EUVix,Maybee Creations,All Ages; families and students,$7.77,"Trace the foundation of Scripture — creation, covenant, and the giving of the Law. Covers Genesis – Deuteronomy."
Soul Explorer: Church History (New Testament),https://payhip.com/b/4pVkg,Maybee Creations,All Ages; families and students,$7.77,Follow the Spirit-led birth of the Church from Jerusalem to Rome. Covers Acts.
Soul Explorer: Church Letters (New Testament),https://payhip.com/b/iSlVa,Maybee Creations,All Ages; families and students,$7.77,"General epistles offering encouragement, warning, and persevering faith. Covers Hebrews – Jude."
Soul Explorer: Major Prophets (Old Testament),https://payhip.com/b/s16iB,Maybee Creations,All Ages; families and students,$7.77,Stand atop the watchtowers of prophecy where kingdoms rise and fall. Covers Isaiah – Daniel.
Soul Explorer: Minor Prophets (Old Testament),https://payhip.com/b/Qko4f,Maybee Creations,All Ages; families and students,$7.77,"Twelve smaller voices, one mighty call to repentance and hope. Covers Hosea – Malachi."
Soul Explorer: Paul's Letters (New Testament),https://payhip.com/b/jASU4,Maybee Creations,All Ages; families and students,$7.77,Map the apostle's missionary epistles and the doctrines that shaped the Church. Covers Romans – Philemon.
Soul Explorer: Prophecy (New Testament),https://payhip.com/b/gIEc5,Maybee Creations,All Ages; families and students,$7.77,"Unveil the apocalyptic vision of thrones, beasts, and the New Jerusalem. Covers Revelation."
Soul Explorer: The Gospels (New Testament),https://payhip.com/b/PUY0k,Maybee Creations,All Ages; families and students,$7.77,"Four perspectives, one Savior — journey through the life of Jesus. Covers Matthew – John."
