title,website_url,source,grades_or_ages,prices_mentioned,description
Liberty Explorer: Alexander Hamilton (Founding Era),https://payhip.com/b/JGXBn,Maybee Creations,Middle School; High School,$7.77,"Chart the rise of a founding visionary — finance, federalism, and the fight to shape a new nation. The World of Alexander Hamilton."
Liberty Explorer: America 250 (American History),https://payhip.com/b/gF6jh,Maybee Creations,Middle School; High School,$7.77,"Celebrate 250 years of American history — the people, inventions, victories, and milestones that shaped a nation. Liberty Explorer U.S. History 250th Anniversary Map."
Liberty Explorer: Benjamin Franklin (Founding Era),https://payhip.com/b/cgm8z,Maybee Creations,Middle School; High School,$7.77,"Follow the polymath patriot — invention, diplomacy, virtue, and the spirit of American ingenuity. The World of Benjamin Franklin."
Liberty Explorer: Civil War (American History),https://payhip.com/b/nseRl,Maybee Creations,Middle School; High School,$7.77,"Follow the River of Time from Fort Sumter to Appomattox — secession, emancipation, turning points, and the fight to preserve the Union. Liberty Explorer Civil War Discovery Map."
Liberty Explorer: Cold War (World History),https://payhip.com/b/bIOul,Maybee Creations,Middle School; High School,$7.77,Trace the decades-long struggle between freedom and communism — from the Iron Curtain and Berlin to the Space Race and the fall of the Soviet Union. Liberty Explorer Cold War Discovery Map.
Liberty Explorer: George Washington (Founding Era),https://payhip.com/b/1Qs9u,Maybee Creations,Middle School; High School,$7.77,Trace the life of the indispensable man — from Mount Vernon and Valley Forge to Yorktown and the presidency. The World of George Washington.
Liberty Explorer: Gulf War (World History),https://payhip.com/b/FatCv,Maybee Creations,Middle School; High School,$7.77,"Relive Operation Desert Storm — coalition buildup, air campaign, the hundred-hour ground war, and Kuwait’s liberation. Liberty Explorer Gulf War Discovery Map."
Liberty Explorer: James Madison (Founding Era),https://payhip.com/b/5IvEx,Maybee Creations,Middle School; High School,$7.77,"Walk the story of the Constitution’s architect — public service, republican government, and civic principle. The World of James Madison."
Liberty Explorer: Korean War (World History),https://payhip.com/b/6Csro,Maybee Creations,Middle School; High School,$7.77,"Follow the Forgotten War from the 38th parallel through Inchon, Chosin, and the armistice that still divides a peninsula today. Liberty Explorer Korean War Discovery Map."
Liberty Explorer: Revolutionary War (American History),https://payhip.com/b/7LFgy,Maybee Creations,Middle School; High School,$7.77,"Follow the fight for independence from Lexington and Concord through Valley Forge, Yorktown, and the Treaty of Paris. Liberty Explorer Revolutionary War Map."
Liberty Explorer: Thomas Jefferson (Founding Era),https://payhip.com/b/s4zBU,Maybee Creations,Middle School; High School,$7.77,"Explore liberty, learning, and the early republic — from Monticello to the Declaration and beyond. The World of Thomas Jefferson."
Liberty Explorer: War of 1812 (American History),https://payhip.com/b/LGDxy,Maybee Creations,Middle School; High School,$7.77,Explore America’s second war for independence — from impressment and the burning of Washington to Fort McHenry and the Treaty of Ghent. Liberty Explorer War of 1812 Discovery Map.
Liberty Explorer: War on Terror (World History),https://payhip.com/b/xSJYo,Maybee Creations,Middle School; High School,$7.77,"Walk the defining conflict of our era — from September 11 through Afghanistan, Iraq, and the long fight against global terrorism. Liberty Explorer War on Terror Discovery Map."
Liberty Explorer: World War I (World History),https://payhip.com/b/1tmwd,Maybee Creations,Middle School; High School,$7.77,"Journey through the Great War — trenches, alliances, breakthroughs, and the events that reshaped the twentieth century. Liberty Explorer World War I Discovery Map."
Liberty Explorer: World War II — European Theater (World History),https://payhip.com/b/4xbse,Maybee Creations,Middle School; High School,$7.77,"Trace the sweep of the war in Europe — from the Battle of Britain and North Africa through D-Day, the Rhine, Berlin, and V-E Day. Liberty Explorer WWII European Theater Map."
Liberty Explorer: World War II — Pacific Theater (World History),https://payhip.com/b/Z3yho,Maybee Creations,Middle School; High School,$7.77,"Cross the Pacific from Pearl Harbor through Midway, Guadalcanal, Leyte Gulf, Iwo Jima, Okinawa, and Japan’s surrender. Liberty Explorer WWII Pacific Theater Map."
