title,website_url,source,grades_or_ages,prices_mentioned,description
101 Great American Poems,https://www.mfwbooks.com/item/18305/,My Father's World,Grade 11,$4.00,101 Great American Poems
1850 to Modern Times Package,https://www.mfwbooks.com/item/95501/,My Father's World,"Grade 1, Grade 10, Grade 11, Grade 12, Grade 2, Grade 3, Grade 6, Grade 9, Grades 2-6, Grades 4-8, Grades 7-12, Grades 9-12, Grades K-3, Kindergarten, Preschool, Grades 6-10",$456.93-$537.56,1850 to Modern Times Package
1850 to Modern Times Teacher's Manual,https://www.mfwbooks.com/item/95502/,My Father's World,Grades 6-10,$144.45,1850 to Modern Times Teacher's Manual
2nd - 3rd Grade Supplement for 1850 to Modern Times,https://www.mfwbooks.com/item/15980/,My Father's World,"Grades 6-10, Grade 3",$68.30,2nd - 3rd Grade Supplement for 1850 to Modern Times
2nd - 3rd Grade Supplement for Exploration to 1850,https://www.mfwbooks.com/item/14980/,My Father's World,"Grades 5-9, Grade 3",$87.23,2nd - 3rd Grade Supplement for Exploration to 1850
7th - 8th Grade Supplement for Exploring Countries and Cultures,https://www.mfwbooks.com/item/11882/,My Father's World,"Grades 2-8, Grade 8",$109.90-$111.90,7th - 8th Grade Supplement for Exploring Countries and Cultures
A Big Treasury of Little Animals,https://www.mfwbooks.com/item/00502/,My Father's World,Preschool,$19.83,A Big Treasury of Little Animals
A Letter to Mrs. Roosevelt,https://www.mfwbooks.com/item/15308/,My Father's World,,$7.99,A Letter to Mrs. Roosevelt
A Tale of Two Cities,https://www.mfwbooks.com/item/17306/,My Father's World,Grade 10,$8.99,A Tale of Two Cities
A Tree Is Nice,https://www.mfwbooks.com/item/00332/,My Father's World,Kindergarten,$9.99,A Tree Is Nice
A World of Art,https://www.mfwbooks.com/item/11651/,My Father's World,,$17.87,A World of Art
A World of Music,https://www.mfwbooks.com/item/11611/,My Father's World,,$14.81,A World of Music
A Young Person's Guide to Knowing God,https://www.mfwbooks.com/item/15800/,My Father's World,,$10.99,A Young Person's Guide to Knowing God
a-z lowercase magnetic letters,https://www.mfwbooks.com/item/00117/,My Father's World,Kindergarten,$11.99,a-z lowercase magnetic letters
Across Five Aprils,https://www.mfwbooks.com/item/15304/,My Father's World,,$8.99,Across Five Aprils
Acrylic Paint Set,https://www.mfwbooks.com/item/02654/,My Father's World,Grade 2,$13.82,Acrylic Paint Set
"Advanced Mathematics, Daily Lesson Plans for Saxon 2nd Ed.",https://www.mfwbooks.com/item/26304/,My Father's World,"Grade 12, Grades 7-12",$19.97,"Advanced Mathematics, Daily Lesson Plans for Saxon 2nd Ed."
Adventures in U.S. History Package,https://www.mfwbooks.com/item/92201/,My Father's World,"Grade 2, Grade 3, Grade 6, Grades K-3, Preschool",$417.58-$491.27,Adventures in U.S. History Package
Adventures in U.S. History Teacher's Manual,https://www.mfwbooks.com/item/92202/,My Father's World,Grade 2,$144.45,Adventures in U.S. History Teacher's Manual
Aesop's Fables for Children,https://www.mfwbooks.com/item/12300/,My Father's World,,$14.99,Aesop's Fables for Children
Algebra 1 Package,https://www.mfwbooks.com/item/26180/,My Father's World,"Grade 12, Grades 7-12",$254.67-$388.84,Algebra 1 Package
"Algebra 1/2, Daily Lesson Plans for Saxon 3rd Ed.",https://www.mfwbooks.com/item/26004/,My Father's World,"Grade 12, Grades 7-12",$19.97,"Algebra 1/2, Daily Lesson Plans for Saxon 3rd Ed."
"Algebra 2, Daily Lesson Plans for Saxon 3rd Ed.",https://www.mfwbooks.com/item/26204/,My Father's World,"Grade 12, Grades 7-12",$19.97,"Algebra 2, Daily Lesson Plans for Saxon 3rd Ed."
All Aboard the Animal Train Package,https://www.mfwbooks.com/item/91051/,My Father's World,"Grade 1, Grade 6, Grades K-3, Preschool",$317.40-$373.41,All Aboard the Animal Train Package
All Aboard the Animal Train Preschool Student Sheets,https://www.mfwbooks.com/item/91054/,My Father's World,Preschool,$52.45,All Aboard the Animal Train Preschool Student Sheets
All Aboard the Animal Train Preschool Teacher's Manual,https://www.mfwbooks.com/item/91053/,My Father's World,Preschool,$144.45,All Aboard the Animal Train Preschool Teacher's Manual
Almost Home,https://www.mfwbooks.com/item/14301/,My Father's World,,$8.99,Almost Home
Amazing Animal Alphabet,https://www.mfwbooks.com/item/00318/,My Father's World,Kindergarten,$7.99,Amazing Animal Alphabet
America's Favorite Patriotic Songs (ONLINE),https://www.mfwbooks.com/item/15705/,My Father's World,,,America's Favorite Patriotic Songs (ONLINE)
American History - a visual encyclopedia,https://www.mfwbooks.com/item/15708/,My Father's World,,$29.99,American History - a visual encyclopedia
American Literature Supplement,https://www.mfwbooks.com/item/18312/,My Father's World,Grade 11,$39.97,American Literature Supplement
American Pioneers and Patriots,https://www.mfwbooks.com/item/02701/,My Father's World,Grade 2,$25.20,American Pioneers and Patriots
"Amos Fortune, Free Man",https://www.mfwbooks.com/item/14300/,My Father's World,,$8.99,"Amos Fortune, Free Man"
Amy Carmichael,https://www.mfwbooks.com/item/11803/,My Father's World,,$11.99,Amy Carmichael
Anatomy - Advanced Biology Package,https://www.mfwbooks.com/item/50085/,My Father's World,Grades 7-12,$91.00-$113.00,Anatomy - Advanced Biology Package
Ancient Egypt,https://www.mfwbooks.com/item/12702/,My Father's World,,$8.95,Ancient Egypt
Ancient History and Literature Daily Lesson Plans,https://www.mfwbooks.com/item/96102/,My Father's World,Grade 9,$124.45,Ancient History and Literature Daily Lesson Plans
Ancient History and Literature High School Package,https://www.mfwbooks.com/item/96100/,My Father's World,"Grade 9, Grades 9-12",$519.46-$611.13,Ancient History and Literature High School Package
Ancient History Timeline Figures,https://www.mfwbooks.com/item/16708/,My Father's World,Grade 9,$24.97,Ancient History Timeline Figures
Ancient Literature Supplement with Grammar and Composition,https://www.mfwbooks.com/item/16300/,My Father's World,Grade 9,$39.97,Ancient Literature Supplement with Grammar and Composition
Animal Cookie Cutters (set of 6),https://www.mfwbooks.com/item/00529/,My Father's World,Preschool,$15.82-$17.94,Animal Cookie Cutters (set of 6)
Animal Farm,https://www.mfwbooks.com/item/17312/,My Father's World,Grade 10,$12.00,Animal Farm
Animal Tales,https://www.mfwbooks.com/item/00524/,My Father's World,Preschool,$19.81,Animal Tales
Ann Judson: A Missionary Life for Burma,https://www.mfwbooks.com/item/18807/,My Father's World,Grade 11,$16.99,Ann Judson: A Missionary Life for Burma
Anne of Green Gables,https://www.mfwbooks.com/item/30066/,My Father's World,,$12.50,Anne of Green Gables
Annie and Snowball and the Cozy Nest,https://www.mfwbooks.com/item/00305/,My Father's World,Kindergarten,$5.99,Annie and Snowball and the Cozy Nest
Answer Key for U.S. History to 1877 (BJU 5th edition),https://www.mfwbooks.com/item/18805/,My Father's World,Grade 11,$14.97,Answer Key for U.S. History to 1877 (BJU 5th edition)
Answer Key Language Lessons for Today,https://www.mfwbooks.com/item/30028/,My Father's World,,$14.95,Answer Key Language Lessons for Today
Applications of Grammar Answer Key,https://www.mfwbooks.com/item/30013/,My Father's World,,$9.93-$11.75,Applications of Grammar Answer Key
Applications of Grammar Book 1 Set,https://www.mfwbooks.com/item/30083/,My Father's World,,$27.86-$32.50,Applications of Grammar Book 1 Set
Applications of Grammar Workbook,https://www.mfwbooks.com/item/30014/,My Father's World,,$17.93-$20.75,Applications of Grammar Workbook
Assumptions That Affect Our Lives,https://www.mfwbooks.com/item/18800/,My Father's World,Grade 11,$20.93,Assumptions That Affect Our Lives
Augustus Caesar's World,https://www.mfwbooks.com/item/13701/,My Father's World,,$21.95,Augustus Caesar's World
Baker Illustrated Guide to the Bible,https://www.mfwbooks.com/item/16809/,My Father's World,Grade 9,$21.97,Baker Illustrated Guide to the Bible
Beowulf,https://www.mfwbooks.com/item/17302/,My Father's World,Grade 10,$15.95,Beowulf
Berean Biology Daily Lesson Plans,https://www.mfwbooks.com/item/50060/,My Father's World,Grades 7-12,$15.00,Berean Biology Daily Lesson Plans
Berean Chemistry Daily Lesson Plans,https://www.mfwbooks.com/item/50026/,My Father's World,Grades 7-12,$15.00,Berean Chemistry Daily Lesson Plans
Berean Earth Science Daily Lesson Plans,https://www.mfwbooks.com/item/50057/,My Father's World,Grades 7-12,$15.00,Berean Earth Science Daily Lesson Plans
Berean Physics Daily Lesson Plans,https://www.mfwbooks.com/item/50038/,My Father's World,Grades 7-12,$15.00,Berean Physics Daily Lesson Plans
Bible Notebook for Learning God's Story,https://www.mfwbooks.com/item/92107/,My Father's World,Grade 1,$24.97,Bible Notebook for Learning God's Story
Bible Reader for Learning God's Story,https://www.mfwbooks.com/item/92105/,My Father's World,Grade 1,$24.97,Bible Reader for Learning God's Story
Big Book of Things to Spot,https://www.mfwbooks.com/item/71805/,My Father's World,Preschool,$14.99,Big Book of Things to Spot
Big Thoughts for Little People,https://www.mfwbooks.com/item/71134/,My Father's World,Preschool,$14.99,Big Thoughts for Little People
Biology Package,https://www.mfwbooks.com/item/50089/,My Father's World,Grades 7-12,$79.00-$94.00,Biology Package
"Birds, Nests, and Eggs",https://www.mfwbooks.com/item/02503/,My Father's World,Grade 2,$7.95,"Birds, Nests, and Eggs"
Bound for Oregon,https://www.mfwbooks.com/item/14302/,My Father's World,,$7.99,Bound for Oregon
British Literature,https://www.mfwbooks.com/item/17315/,My Father's World,Grade 10,$23.99,British Literature
British Literature Teacher's Guide,https://www.mfwbooks.com/item/17316/,My Father's World,Grade 10,$11.93,British Literature Teacher's Guide
Bruchko,https://www.mfwbooks.com/item/11807/,My Father's World,,$14.99,Bruchko
Building a City On a Hill,https://www.mfwbooks.com/item/14705/,My Father's World,,$44.87,Building a City On a Hill
Bulfinch's Greek and Roman Mythology: The Age of Fable,https://www.mfwbooks.com/item/16306/,My Father's World,Grade 9,$8.00,Bulfinch's Greek and Roman Mythology: The Age of Fable
Canada Coloring Book,https://www.mfwbooks.com/item/02707/,My Father's World,,$6.95,Canada Coloring Book
Celebrating Biblical Feasts,https://www.mfwbooks.com/item/12801/,My Father's World,,$17.99,Celebrating Biblical Feasts
Chemistry Package,https://www.mfwbooks.com/item/50086/,My Father's World,Grades 7-12,$79.00-$94.00,Chemistry Package
Children's Atlas of God's World,https://www.mfwbooks.com/item/11748/,My Father's World,,$24.99,Children's Atlas of God's World
Children's Dictionary: American Heritage,https://www.mfwbooks.com/item/30119/,My Father's World,,$24.99,Children's Dictionary: American Heritage
Christian Character,https://www.mfwbooks.com/item/18808/,My Father's World,Grade 11,$11.97,Christian Character
Church History in Plain Language,https://www.mfwbooks.com/item/17804/,My Father's World,Grade 10,$31.93-$39.99,Church History in Plain Language
Classroom Atlas,https://www.mfwbooks.com/item/11749/,My Father's World,,$18.00,Classroom Atlas
CLEP College Composition Exams,https://www.mfwbooks.com/item/60910/,My Father's World,,$31.93-$34.95,CLEP College Composition Exams
CLEP History of the US I,https://www.mfwbooks.com/item/60911/,My Father's World,,$30.93-$34.95,CLEP History of the US I
"Collegiate Thesaurus, Merriam-Webster's",https://www.mfwbooks.com/item/30024/,My Father's World,,$18.93-$22.95,"Collegiate Thesaurus, Merriam-Webster's"
Come to the Table,https://www.mfwbooks.com/item/11652/,My Father's World,,$17.87,Come to the Table
Common Sense Economics,https://www.mfwbooks.com/item/60206/,My Father's World,Grade 12,$28.00,Common Sense Economics
Complete Homeschool Curriculum Packages by My Father's World,https://www.mfwbooks.com/item/02652/,My Father's World,Grade 2,,Complete Homeschool Curriculum Packages by My Father's World
Complete Homeschool Curriculum Packages by My Father's World,https://www.mfwbooks.com/item/70132/,My Father's World,Grade 9,,Complete Homeschool Curriculum Packages by My Father's World
Concepts in Biology Package,https://www.mfwbooks.com/item/50091/,My Father's World,Grades 7-12,$199.96,Concepts in Biology Package
Counter Culture,https://www.mfwbooks.com/item/19807/,My Father's World,Grade 12,$17.99,Counter Culture
Courage To Run,https://www.mfwbooks.com/item/15303/,My Father's World,,$9.99,Courage To Run
Crayola Jumbo Watercolors and Brush,https://www.mfwbooks.com/item/00517/,My Father's World,Preschool,$9.83,Crayola Jumbo Watercolors and Brush
Creation to Modern Times Timeline Book,https://www.mfwbooks.com/item/15707/,My Father's World,,$32.97,Creation to Modern Times Timeline Book
Creation to the Greeks Package,https://www.mfwbooks.com/item/95201/,My Father's World,"Grade 1, Grade 10, Grade 11, Grade 12, Grade 2, Grade 3, Grade 6, Grade 9, Grades 2-6, Grades 4-8, Grades 7-12, Grades 9-12, Grades K-3, Kindergarten, Preschool",$485.63-$571.33,Creation to the Greeks Package
Creation to the Greeks Teacher's Manual,https://www.mfwbooks.com/item/95202/,My Father's World,Grades 4-8,$144.45,Creation to the Greeks Teacher's Manual
Crossroads of Character,https://www.mfwbooks.com/item/00700/,My Father's World,Preschool,$15.95,Crossroads of Character
"Cry, the Beloved Country",https://www.mfwbooks.com/item/17309/,My Father's World,Grade 10,$19.00,"Cry, the Beloved Country"
Currency Kit,https://www.mfwbooks.com/item/11762/,My Father's World,,$26.97,Currency Kit
Cursive Handwriting,https://www.mfwbooks.com/item/30030/,My Father's World,,$22.97,Cursive Handwriting
Dangerous Journey,https://www.mfwbooks.com/item/13302/,My Father's World,,$25.00,Dangerous Journey
Daniel Teen Inductive Bible Study,https://www.mfwbooks.com/item/16802/,My Father's World,Grade 9,$24.97,Daniel Teen Inductive Bible Study
Dimensions 1A One-Semester Set,https://www.mfwbooks.com/item/21800/,My Father's World,"Grade 1, Grade 6, Grades 2-6, Preschool",$51.50,Dimensions 1A One-Semester Set
Dimensions 1A Textbook,https://www.mfwbooks.com/item/20100/,My Father's World,"Grade 1, Grade 6, Grades 2-6",$14.50,Dimensions 1A Textbook
Dimensions 1A Workbook,https://www.mfwbooks.com/item/20101/,My Father's World,"Grade 1, Grade 6, Grades 2-6",$14.50,Dimensions 1A Workbook
Dimensions 1B One-Semester Set,https://www.mfwbooks.com/item/21801/,My Father's World,"Grade 1, Grade 6, Grades 2-6, Preschool",$51.50,Dimensions 1B One-Semester Set
Dimensions 1B Textbook,https://www.mfwbooks.com/item/20105/,My Father's World,"Grade 1, Grade 6, Grades 2-6",$14.50,Dimensions 1B Textbook
Dimensions 1B Workbook,https://www.mfwbooks.com/item/20106/,My Father's World,"Grade 1, Grade 6, Grades 2-6",$14.50,Dimensions 1B Workbook
Dimensions 2A One-Semester Set,https://www.mfwbooks.com/item/21802/,My Father's World,"Grade 6, Grades 2-6",$51.50,Dimensions 2A One-Semester Set
Dimensions 2A Textbook,https://www.mfwbooks.com/item/20110/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 2A Textbook
Dimensions 2A Workbook,https://www.mfwbooks.com/item/20111/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 2A Workbook
Dimensions 2B One-Semester Set,https://www.mfwbooks.com/item/21803/,My Father's World,"Grade 6, Grades 2-6",$51.50,Dimensions 2B One-Semester Set
Dimensions 2B Textbook,https://www.mfwbooks.com/item/20115/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 2B Textbook
Dimensions 2B Workbook,https://www.mfwbooks.com/item/20116/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 2B Workbook
Dimensions 3A One-Semester Set,https://www.mfwbooks.com/item/21804/,My Father's World,"Grade 6, Grades 2-6",$51.50,Dimensions 3A One-Semester Set
Dimensions 3A Textbook,https://www.mfwbooks.com/item/20120/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 3A Textbook
Dimensions 3A Workbook,https://www.mfwbooks.com/item/20121/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 3A Workbook
Dimensions 3B One-Semester Set,https://www.mfwbooks.com/item/21805/,My Father's World,"Grade 6, Grades 2-6",$51.50,Dimensions 3B One-Semester Set
Dimensions 3B Textbook,https://www.mfwbooks.com/item/20125/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 3B Textbook
Dimensions 3B Workbook,https://www.mfwbooks.com/item/20126/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 3B Workbook
Dimensions 4A One-Semester Set,https://www.mfwbooks.com/item/21806/,My Father's World,"Grade 6, Grades 2-6",$51.50,Dimensions 4A One-Semester Set
Dimensions 4A Textbook,https://www.mfwbooks.com/item/20131/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 4A Textbook
Dimensions 4A Workbook,https://www.mfwbooks.com/item/20132/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 4A Workbook
Dimensions 4B One-Semester Set,https://www.mfwbooks.com/item/21807/,My Father's World,"Grade 6, Grades 2-6",$51.50,Dimensions 4B One-Semester Set
Dimensions 4B Textbook,https://www.mfwbooks.com/item/20137/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 4B Textbook
Dimensions 4B Workbook,https://www.mfwbooks.com/item/20138/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 4B Workbook
Dimensions 5A One-Semester Set,https://www.mfwbooks.com/item/21808/,My Father's World,"Grade 6, Grades 2-6",$51.50,Dimensions 5A One-Semester Set
Dimensions 5A Textbook,https://www.mfwbooks.com/item/20143/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 5A Textbook
Dimensions 5A Workbook,https://www.mfwbooks.com/item/20144/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 5A Workbook
Dimensions 5B One-Semester Set,https://www.mfwbooks.com/item/21809/,My Father's World,"Grade 6, Grades 2-6",$51.50,Dimensions 5B One-Semester Set
Dimensions 5B Textbook,https://www.mfwbooks.com/item/20149/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 5B Textbook
Dimensions 5B Workbook,https://www.mfwbooks.com/item/20150/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 5B Workbook
Dimensions 6A Workbook,https://www.mfwbooks.com/item/20156/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 6A Workbook
Dimensions 6A/6B Full Year Set,https://www.mfwbooks.com/item/21860/,My Father's World,"Grade 6, Grades 2-6",$166.00,Dimensions 6A/6B Full Year Set
Dimensions 6B Workbook,https://www.mfwbooks.com/item/20160/,My Father's World,"Grade 6, Grades 2-6",$14.50,Dimensions 6B Workbook
Dinosaur Activity Book,https://www.mfwbooks.com/item/76127/,My Father's World,,$9.99,Dinosaur Activity Book
Dinosaurs for Little Kids,https://www.mfwbooks.com/item/00111/,My Father's World,Kindergarten,$13.99,Dinosaurs for Little Kids
Dinosaurs of Eden,https://www.mfwbooks.com/item/12501/,My Father's World,,$16.99,Dinosaurs of Eden
Discovery Shapes Set,https://www.mfwbooks.com/item/00553/,My Father's World,Preschool,$19.97,Discovery Shapes Set
Do Hard Things,https://www.mfwbooks.com/item/19301/,My Father's World,Grade 12,$19.00,Do Hard Things
Drawing Textbook,https://www.mfwbooks.com/item/03603/,My Father's World,Grade 3,$19.99,Drawing Textbook
Drawing with Children,https://www.mfwbooks.com/item/01652/,My Father's World,Grade 1,$22.00,Drawing with Children
Early American Literature,https://www.mfwbooks.com/item/18300/,My Father's World,Grade 11,$22.65,Early American Literature
Earth Science Package,https://www.mfwbooks.com/item/50088/,My Father's World,Grades 7-12,$79.00-$94.00,Earth Science Package
Easy Grammar Grade 11 Ultimate Series,https://www.mfwbooks.com/item/18330/,My Father's World,Grade 11,$37.95,Easy Grammar Grade 11 Ultimate Series
