title,website_url,source,grades_or_ages,prices_mentioned,description
American History—Go Fish Game,https://themysteryofhistory.com/product/american-history-go-fish-game/,The Mystery of History,All Ages; K-12 World History,$11.99,"Make learning fun! Students 5 years and up can enjoy this classic game of “Go Fish” that incorporates vivid imagery with the knowledge of American history. Students a little older can additionally use these cards for guessing games, chronology drills, and geography skills. (Game ideas and answer key provided.)"
American History—Memory Game,https://themysteryofhistory.com/product/american-history-memory-game/,The Mystery of History,All Ages; K-12 World History,$14.99,"This American History Memory Game will teach children (primarily ages 5-10) names and images of important names and places from American history. Patterned after the vintage card game of Concentration, students try to find matching tiles. The one who finds the most matching tiles, wins! (Some students younger than 5 will enjoy this one because the thick tiles are easier to pick up than cards.) Easy, fun, and informative, this memory game is an author favorite!"
Ancient History—Go Fish Game,https://themysteryofhistory.com/product/ancient-history-go-fish-game/,The Mystery of History,All Ages; K-12 World History,$11.99,"Make learning fun! Students 5 years and up can enjoy this classic game of “Go Fish” which incorporates vivid imagery with the knowledge of ancient times. Students a little older can additionally use these cards for guessing games, chronology drills, and geography skills. (Game ideas and answer key provided.)"
Ancient History—Memory Game,https://themysteryofhistory.com/product/ancient-history-memory-game/,The Mystery of History,All Ages; K-12 World History,$14.99,"This Ancient History Memory Game will teach children (primarily ages 5-10) names and images of important names and places from ancient times. Patterned after the vintage card game of Concentration, students try to find matching tiles. The one who finds the most matching tiles, wins! (Some students younger than 5 will enjoy this one because the thick tiles are easier to pick up than cards.) Easy, fun, and informative, this memory game is an author favorite!"
Best Seller Bundle: Volume III—Renaissance History,https://themysteryofhistory.com/product/best-seller-bundle-volume-3-renaissance-history-digital/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33); Grades 6-8; Volume II (The Early Church to the Renaissance); Grades 9-11; Volume III (The Renaissance to the Age of Industry),$156.50 (was $195.90),Looking to save shopping time—and money? Consider our Volume III “Best-Seller Bundle” that offers award-winning customer favorites—for less.
Best Seller Bundle: Volume II—Medieval History,https://themysteryofhistory.com/product/best-seller-bundle-volume-2-medieval-history/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33); Grades 6-8; Volume II (The Early Church to the Renaissance),$158.50 (was $201.90),Looking to save shopping time—and money? Consider our Volume II “Best-Seller Bundle” that offers award-winning customer favorites—for less.
Best Seller Bundle: Volume IV—Modern History,https://themysteryofhistory.com/product/best-seller-bundle-volume-4-modern-history/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33); Grades 10-12; Volume IV (Wars of Independence to Modern Times),$161.50 (was $205.90),Looking to save shopping time—and money? Consider our Volume IV “Best-Seller Bundle” that offers award-winning customer favorites—for less.
Best Seller Bundle: Volume I—Ancient History,https://themysteryofhistory.com/product/best-seller-bundle-volume-1-ancient-history/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33),$157.00 (was $198.89),Looking to save shopping time—and money? Consider our Volume I “Best-Seller Bundle” that offers award-winning customer favorites—for less.
Constitution—Go Fish Game,https://themysteryofhistory.com/product/constitution-go-fish-game/,The Mystery of History,All Ages; K-12 World History,$11.99,"Make learning fun! Students 5 years and up can enjoy this classic game of “Go Fish” which incorporates vivid imagery with the knowledge of the U.S. Constitution. Students a little older can additionally use these cards for guessing games, chronology drills, and geography skills. (Game ideas and answer key provided.)"
Four-Volume Set,https://themysteryofhistory.com/product/four-volume-set/,The Mystery of History,Grades 1-5; Volume I (Creation to A.D. 33); All Ages,$306.00 (was $399.80),"If you want accurate, easy-to-read, biblical worldview history for your home, classroom, church library, or other, look no further than The Mystery of History— Four-Volume Set , spanning ancient times to modern times for all ages. Each volume includes: a digital Companion Guide —full of curriculum an exclusive gift from the author—one quarter of each audiobook! Volume I is restocked and shipping now!"
