title,website_url,source,grades_or_ages,prices_mentioned,description
106 Days of Creation Studies,https://simplycharlottemason.com/store/106-days-creation-studies/,Simply Charlotte Mason,Elementary; Grades 1–6,Free,"106 Days of Creation Studies is now out of print, though there may be some copies left on our Scratch & Dent page . Many of the resources used in the lesson plans have become difficult to find. We’re working on a new living science study to replace it, which we’ll announce on our blog and in our weekly e-mails when it’s ready. This award-winning science handbook outlines all the details of the living books, nature study, science experiments, Bible verses, and additional assignments that one family used to study creation with all their elementary children together. (Grades 1–6)"
5 Gifts of Intentional Parents video workshop,https://simplycharlottemason.com/store/5-gifts-of-intentional-parents-video-workshop/,Simply Charlotte Mason,Charlotte Mason; All Ages,$8.95,"What kind of gifts are you giving your children: survival gifts, default gifts, or intentional gifts? Explore how to be intentional with five gifts that can set your children up for success in adult life."
A Beautiful Community video course,https://simplycharlottemason.com/store/a-beautiful-community-video-course/,Simply Charlotte Mason,Charlotte Mason; All Ages,$65.95,"Building on the free Starting a CMT Group videos, this online 12-video course brings you stories, ideas, and advice from experienced group leaders as it walks you step-by-step through starting your own Charlotte Mason group. Includes the complete CMT Forms & Templates Pack (PDF download)!"
A Castle with Many Rooms: The Story of the Middle Ages,https://simplycharlottemason.com/store/castle-many-rooms/,Simply Charlotte Mason,Grades 1–12,$16.95,"A fabulous living history spine for the whole family. Narrates the story of the Middle Ages around the world from the Fall of Rome to the Renaissance, Reformation, and Scientific Revolution. (Grades 1–12)"
A Charlotte Mason Companion,https://simplycharlottemason.com/store/charlotte-mason-companion/,Simply Charlotte Mason,Charlotte Mason; All Ages,$19.95,You can realize the home school of your dreams! A Charlotte Mason Companion is one of the most trusted and referred to books in the home school world. Here are the tools to create an extraordinary learning experience. Karen Andreola’s classic work is brimming with practical how to’s and the inspiration to see them through.
A Charlotte Mason Education,https://simplycharlottemason.com/store/charlotte-mason-education/,Simply Charlotte Mason,Charlotte Mason; All Ages,$14.95,Key points of Charlotte Mason’s methods presented in a simple and straightforward way. A classic and concise homeschooling how-to manual.
A Child’s Copybook Reader,https://simplycharlottemason.com/store/a-childs-copybook-reader/,Simply Charlotte Mason,Grades 1–3; Kindergarten,Free,"This reader and copybook in one gives your student practice in reading and review by writing. Quality selections from classic children’s poetry, Aesop’s fables, the Bible, and more! A great way to help your beginning reader gain fluency and confidence! (Grades 1–3) Coming mid-2025: A new Charlotte Mason handwriting series! Starting with learning letter strokes in Kindergarten and going all the way through cursive practice, this new series will guide you and your student with short, simple-to-follow lessons. While supplies last, older Simply CM handwriting resources are available at a 20% discount. Read more about the new series →"
"A Child’s Copybook Reader, Volume 1",https://simplycharlottemason.com/store/childs-copybook-reader-volume-1/,Simply Charlotte Mason,Grades 1–3; Kindergarten,$7.16 (was $8.95),"This reader and copybook in one gives your student practice in reading and review by writing. A great way to help your beginning reader gain fluency and confidence! (Grades 1–3) Coming mid-2025: A new Charlotte Mason handwriting series! Starting with learning letter strokes in Kindergarten and going all the way through cursive practice, this new series will guide you and your student with short, simple-to-follow lessons. While supplies last, older Simply CM handwriting resources are available at a 20% discount. Read more about the new series →"
"A Child’s Copybook Reader, Volume 2",https://simplycharlottemason.com/store/childs-copybook-reader-volume-2/,Simply Charlotte Mason,Grades 1–3; Kindergarten,$7.16 (was $8.95),"This reader and copybook in one gives your student practice in reading and review by writing. A great way to help your beginning reader gain fluency and confidence! (Grades 1–3) Coming mid-2025: A new Charlotte Mason handwriting series! Starting with learning letter strokes in Kindergarten and going all the way through cursive practice, this new series will guide you and your student with short, simple-to-follow lessons. While supplies last, older Simply CM handwriting resources are available at a 20% discount. Read more about the new series →"
"A Child’s Copybook Reader, Volume 3",https://simplycharlottemason.com/store/childs-copybook-reader-volume-3/,Simply Charlotte Mason,Grades 1–3; Kindergarten,$7.16 (was $8.95),"This reader and copybook in one gives your student practice in reading and review by writing. A great way to help your beginning reader gain fluency and confidence! (Grades 1–3) Coming mid-2025: A new Charlotte Mason handwriting series! Starting with learning letter strokes in Kindergarten and going all the way through cursive practice, this new series will guide you and your student with short, simple-to-follow lessons. While supplies last, older Simply CM handwriting resources are available at a 20% discount. Read more about the new series →"
A Is for Art: A Fine Art Alphabet Book,https://simplycharlottemason.com/store/a-is-for-art-fine-art-alphabet-book/,Simply Charlotte Mason,Charlotte Mason; All Ages,$15.95,"Featuring simple yet elegant text and large, full-color works by master artists, A Is for Art is a beautiful way to introduce letters and sounds… and worthy art!"
A Lion to Guard Us,https://simplycharlottemason.com/store/a-lion-to-guard-us/,Simply Charlotte Mason,Elementary,$8.95,A great historical fiction story based on true incidents for elementary students.
A Little Book for New Historians,https://simplycharlottemason.com/store/a-little-book-for-new-historians/,Simply Charlotte Mason,High School,$14.95,"A book for high school students that lays out the necessary skills, methods, and attitudes for a proper study of history"
A Long Walk to Water,https://simplycharlottemason.com/store/a-long-walk-to-water/,Simply Charlotte Mason,Charlotte Mason; All Ages,$8.95,"The stories of two children in Sudan: one walks eight hours every day to fetch water for her family; the other walks away from his war-torn village, searching for his family and for safety."
