title,website_url,source,grades_or_ages,prices_mentioned,description
1.5 Inch Sonlight Binder,https://www.sonlight.com/products/1-half-inch-polybinder,Sonlight,Pre-K; Preschool,$8.99,"A smaller, Sonlight branded binder. 1.5"", 3-ring binder. Great for Language Arts, Preschool, Pre-K, Sonlight's Homeschool Planner, or as a working binder to hold several weeks of Instructor's Guide content."
100 Best-Loved Poems,https://www.sonlight.com/products/100-best-loved-poems,Sonlight,,$5.00,"This book on poetry includes some of the best-loved English and American verse of all time -- Rudyard Kipling's ""If,"" Henry Wadsworth Longfellow's ""The Village Blacksmith,"" John Keats' ""Ode on a Grecian Urn,"" and many other classics that ensure hours of enjoyment whether read to oneself or shared aloud with one's famil"
100 Gateway Cities,https://www.sonlight.com/products/100-gateway-cities,Sonlight,,$9.99,"Concise statistical summary of the spiritual condition of 100 of the world's largest and most spiritually needy cities. Not one of those books you are likely to pick up for the pleasure of the reading; but it will change your perspective on the world! Second Edition X Pb, illus (maps)."
101 Favorite Stories from the Bible,https://www.sonlight.com/products/101-favorite-stories-from-the-bible,Sonlight,,$14.99,"It's harder than you might guess to find a children's Bible that tells the stories accurately, respectfully, and succinctly. This one does."
104 Poems of Whimsy and Wisdom,https://www.sonlight.com/products/104-poems-of-whimsy-and-wisdom,Sonlight,,$22.00,"This delightful collection features outstanding poems in the English language: fun, thoughtful, interesting, unexpected, delightful, inspiring. Enjoy works by the superb artists Wordsworth and Whitman, Sandburg and Stevenson, Dickinson and Donne, Blake and Bronte, Yeats and Keats, and many others. Not organized chronol"
12 Grip Colored EcoPencils,https://www.sonlight.com/products/colored-pencils-with-grip,Sonlight,Pre-K; Preschool,$9.99,"Premium quality EcoPencils made from re-forested wood are highly pigmented for a richer color lay down. Colors are vibrant and blend easily. The ergonomic triangular shape with patented Soft-Grip zone ensures an easy, secure hold for fatigue-free and comfortable drawing. Leads are break-resistant and will not fall out."
12 Pastel Color Collorelli Gel Pens,https://www.sonlight.com/products/12-pastel-color-collorelli-gel-pens,Sonlight,,$3.99,"Writes smooth with quick-drying, gel ink. Includes 12 pens with durable tips for general writing & coloring. Smear-free ink flows for superior writing quality. Includes 12 colors: Yellow, orange, purple, pink, light blue, blue, coral, green, mint, white, silver, and gold."
20th Century Literature 330,https://www.sonlight.com/products/20th-century-literature-course,Sonlight,Level S; High School,$409.79,"Get high school literature books, complete lesson plans, schedule and teaching notes for the entire year. Sonlight Package includes the Level 330 20th Century Literature Parent Guide and accompanying 20th Century Literature Student Guide . This high school literature curriculum package also includes all of the 20th Cen"
20th Century Literature 330 Without Binders,https://www.sonlight.com/products/20th-century-literature-330-without-required-resources,Sonlight,Level S; High School,$345.79,"Get high school literature books, complete lesson plans, schedule and teaching notes for the entire year. Sonlight Package includes the Level 330 20th Century Literature Parent Guide and accompanying 20th Century Literature Student Guide . This high school literature curriculum package also includes all of the 20th Cen"
20th Century World History,https://www.sonlight.com/products/20th-century-world-history-level-300,Sonlight,High School,$833.48-$897.48,"Understand, engage and transform the modern world Trace the massive, sweeping changes of the last century. Guide your young scholars—you have the lesson plans, tools and materials to homeschool high school with success. Explore complex roots of political, social and cultural battles that rage today. Watch students hone"
20th Century World History 320,https://www.sonlight.com/products/20th-century-world-history-course,Sonlight,Level S; High School,$551.69,"Get complete lesson plans, schedule and teaching notes for the entire year. This Modern History Package includes the Level 320 20th Century World History Parent Guide and accompanying 20th Century World History Student Guide . This Modern World History Curriculum Package also includes all of the 20th Century World Hist"
26 Fairmount Avenue,https://www.sonlight.com/products/26-fairmount-avenue,Sonlight,,$6.99,A Newbery Honor book ... an entertaining and charming story about the childhood experiences of author Tomie dePaola.
"3"" Binder",https://www.sonlight.com/products/3inch-binder,Sonlight,Level S,$23.00,"Organize all your homeschool papers in one sturdy and convenient binder. Add tabs that match your Sonlight Instructor's Guides ( sold separately here ) so you'll always know where to find each week's schedule, notes and study guides. Simply pull this out and teach each day, then close it up and put it away when you're "
"3"" Binder with Tabs",https://www.sonlight.com/products/3inch-binder-with-tabs,Sonlight,Level S; High School,$32.00,"Organize all your homeschool papers in one sturdy and convenient binder. With tabs that match your Sonlight ® History, Language Arts, and Science Instructor's Guides, you'll always know where to find each week's schedule, notes and study guides. High School All-Subjects Packages include two binders . Simply pull this o"
50 States Unit Study,https://www.sonlight.com/products/50-states-unit-study,Sonlight,4Th Grade; Grades 3-6,$46.00,"Get 20% off this new unit study during the Summer Elective Sale, June 6-13, 2022!* Notebook your way through your state's history with this unit study! Most U.S. states require homeschoolers to complete a study of their state’s history in or around 4th grade. Now you have the option to meet that requirement in true Son"
50 States Unit Study (Instructor's Guide Only),https://www.sonlight.com/products/50-states-unit-study-guide,Sonlight,4Th Grade,$16.00,"Most U.S. states require homeschoolers to complete a study of their state’s history in or around 4th grade. Now you have the option to meet that requirement in true Sonlight style with our brand-new 50 States Unit Study! This is the 36-week, 3-hole punched Instructor's Guide only . This guide schedules reading and acti"
630 Update,https://www.sonlight.com/products/630u-update-2024,Sonlight,,Free,630 Correction
7 Men Who Rule the World from the Grave,https://www.sonlight.com/products/seven-men-who-rule-the-world-from-the-grave,Sonlight,,$17.99,"Though their bodies lie cold and dormant, the grave cannot contain the influence these seven men have had on today's world. They continue to rule because they have altered the thinking of society. They generated philosophies that have been ardently grasped by masses of people but are erroneous and anti-scriptural. Toda"
A Beautiful Lie,https://www.sonlight.com/products/a-beautiful-lie,Sonlight,,$14.00,"How can a lie be beautiful? Set in India during Partition (when Pakistan became a separate nation), 13-year-old Bilal is dealing with the impending death of his father. He wants his father to die in peace, without knowing about the upheaval all around. An engaging story in a vivid setting at a unique time."
A Big Ball of String,https://www.sonlight.com/products/a-big-ball-of-string,Sonlight,,$10.99,Imagine all the amazing things you could do if only you had a huge ball of string! A Big Ball of String by Marion Holland is a wonderful rhyming story that shows how a boy sick in bed can still find ways to do fun things — with something as simple as string!
A Big Quiet House,https://www.sonlight.com/products/a-big-quiet-house,Sonlight,,$8.95,"With a tiny, cluttered house, giggling children, and a snoring wife, one man can't get a good night's sleep. ""If only,"" he thinks, ""I had a big quiet house!"" He throws off his covers and decides to visit the wise old woman at the edge of the village. Surely she can help him solve his problem and she does, but not witho"
A Child's Anthology of Poetry,https://www.sonlight.com/products/a-childs-anthology-of-poetry,Sonlight,,$22.99,"Don't underestimate your children's ear for poetry. Well over two hundred great works in one rich volume—from Blake, Dickinson, and Wordsworth to Keats, Frost, and the exquisitely translated haiku of Kobayashi Issa. Let your voice shine as you read this anthology of poetry aloud together. Melodic. Hb."
A Child's Book of Art,https://www.sonlight.com/products/a-childs-book-of-art,Sonlight,,$19.99,"Mostly famous, but some not-so-famous, works of art arranged in thematic patterns for young children. From medieval to modern, Western and non-Western pieces. Gorgeous and fun. ""A book to grow up with."" Super oversize; full-color."
A Child's History of the World,https://www.sonlight.com/products/a-childs-history-of-the-world,Sonlight,2Nd Grade,$40.00,"Required Resource for History / Bible / Literature C. (Included in B, and W. If you purchase History / Bible / Literature C and have not used B, or W, you will need to purchase this book separately.) This is a famous classic by the headmaster of the Calvert School of Baltimore. Hillyer presents a delightful narrative h"
A Child's Introduction to the Orchestra,https://www.sonlight.com/products/the-story-of-the-orchestra,Sonlight,Elementary,$21.99,"Stellar introduction to the various instruments, famous composers, and well-known music of the orchestra. Includes access to 37 downloadable segments of music, most of which highlight a different instrument or well-known theme. Elementary school and up. Delightful! Full-color hardback book. Includes instructions on acc"
A Christmas Carol,https://www.sonlight.com/products/a-christmas-carol-230-22,Sonlight,,$5.99,"The classic story of Ebenezer Scrooge's transformation from a miserable man who hates to one who shares in Tiny Tim's joyful exclamation, ""God bless us every one."" A story the author, Charles Dickens, enjoyed reading every Christmas Eve. Pb. (Includes notes and additional stories.)"
A Christmas Carol Picture Book,https://www.sonlight.com/products/a-christmas-carol-picture-book,Sonlight,,$18.99,"Get 30% off this book with your purchase of a Sonlight Advent Unit Study . Offer available while supplies last through October 13, 2023.* --> Even the youngest readers can enjoy Charles Dickens’s classic Christmas tale in this beautifully illustrated picture-book version of the holiday favorite, simple to read but with"
A Divine Comedy of Dante Alighieri: Inferno,https://www.sonlight.com/products/a-divine-comedy-of-dante-alighieri-inferno,Sonlight,,$7.95,"Perhaps the most stirring masterpiece from the Middle Ages, Dante Alighieri's The Divine Comedy was an astonishing achievement that places the author among the ranks of the great epic poets of the classical world. It is fitting, then, that Virgil serves as the autobiographical narrator's mentor and guide through Hell a"
A Fly Went By,https://www.sonlight.com/products/a-fly-went-by,Sonlight,Elementary,$9.99,"A boy watches a fly flee from a frog, but the frog isn't chasing the fly; rather, the frog flees from the cat... and so it goes. Only when the boy finds out what causes all the flight does peace return. A Fly Went By is an early elementary reading book that features rollicking rhymes and bright illustrations."
A Girl Named Disaster,https://www.sonlight.com/products/a-girl-named-disaster,Sonlight,,$9.99,"Farmer. Newbery Honor. After running away to escape an unwanted marriage, Nhamo must find her inner courage to ensure her survival of the dangerous adventure ahead."
A Grain of Rice,https://www.sonlight.com/products/a-grain-of-rice,Sonlight,Kindergarten,$7.99,A humble farmer wants to marry the Emperor's daughter . . . and succeeds because of his wisdom. Delightful! China comes to life in your Sonlight reading as you enjoy this tale with your children. This story also beautifully illustrates the mathematical concept of doubling and exponential growth in a way that even child
A History of US - Complete Paperback Set,https://www.sonlight.com/products/a-history-of-us-complete-paperback-set,Sonlight,Elementary,$178.99,"""A History of Us"" by Joy Hakim is the story of the United States told through well-written, vivid, short biographies and hundreds of period illustrations, political cartoons, etchings and photographs. Though the language is easily understandable when read to children in the elementary grades, the attention to detail an"
A Letter to Mrs. Roosevelt,https://www.sonlight.com/products/a-letter-to-mrs-roosevelt,Sonlight,,$7.99,"When the bank forecloses on her family's home during the Great Depression, 11-year-old Margo Bandini writes to Eleanor Roosevelt for help. Fascinating plot twists and historical detail hold your attention. Heartwarming story of community cohesion and determination to do good. Powerful. Pb."
A Lion to Guard Us,https://www.sonlight.com/products/a-lion-to-guard-us,Sonlight,,$9.99,"Award-winning author tells a true story about three children left alone in London in 1690 who make their way to the Virginia colony. Engrossing! Pb, illus."
A Llama in the Family,https://www.sonlight.com/products/a-llama-in-the-family,Sonlight,,$10.00,"Adam has had his heart set on getting a mountain bike. When his mother buys a llama to start a Vermont Trekking company instead, Adam discovers that his dreams may be too small. Heartwarming, humorous, and positive."
A Long Walk to Water,https://www.sonlight.com/products/a-long-walk-to-water,Sonlight,,$9.99,"Nya walks eight hours every day to fetch water for her family. Salva walks away from his war-torn village. He is a ""lost boy"" refugee, destined to cover Africa on foot, searching for his family and safety. As their stories of Sudan converge, Salva decides to return to his homeland and help his people, because even in a"
A Long Way from Chicago,https://www.sonlight.com/products/a-long-way-from-chicago,Sonlight,,$8.99,"Set in pre-Word War II America, this charming collection of short stories recounts the visits of a brother and sister to their eccentric grandmother in a small town in rural Illinois. A Long Way from Chicago by Richard Peck was a National Book Award finalist and Newbery Honor Book."
A Murder for Her Majesty,https://www.sonlight.com/products/a-murder-for-her-majesty,Sonlight,,$9.99,"Alice, after witnessing her father's murder, flees and takes refuge with the choirboys of a large cathedral. Full of intrigue. A great story set in the Elizabethan era."
A Night Divided,https://www.sonlight.com/products/a-night-divided,Sonlight,,$8.99,"Set during the time period of the rise of the Berlin Wall, the main character finds her family suddenly divided. She, her mother and brother, live on the eastern side, controlled by the Soviets. Her father and middle brother are unable to return home. A wonderfully crafted historical novel that is absorbing and deeply "
A Parcel of Patterns,https://www.sonlight.com/products/a-parcel-of-patterns,Sonlight,,$10.99,The Plague comes to town via a parcel very innocently bought. I love how this author writes. Pb.
A Passage to India,https://www.sonlight.com/products/a-passage-to-india,Sonlight,,$13.99,"One of the most lyrical writers of the 20th Century, this EM Forster novel highlights the cultural differences between British colonials and their Indian counterparts. Can an Indian and a Brit be friends? Haunting. Pb."
A Proud Taste for Scarlet and Miniver,https://www.sonlight.com/products/a-proud-taste-for-scarlet-and-miniver,Sonlight,,$8.99,"The story of Eleanor of Aquitaine waiting in heaven for her husband, King Henry II, to join her. She meets up with some old friends who reminisce about her amazing life in the Middle Ages when she was the wife of two kings and the mother of two others. Pb."
A Question of Yams,https://www.sonlight.com/products/a-question-of-yams,Sonlight,,$10.00,"Kuri's father plants their yams in the name of Jesus Christ, though the Head Men of their village insist that they should be planted with reverence for the spirits. Will Kuri's family be punished? Is Jesus stronger than the spirits? Great story from Papua New Guinea. X Pb, illus."
A Rat's Tale,https://www.sonlight.com/products/a-rats-tale,Sonlight,,$17.99,"Although young Montague Mad-Rat lives in—or rather, under—New York City, he know very few rats besides his mother, who makes hats, his father, who builds mud castles, and his globe-trotting Aunt Elizabeth. But Montague's life takes an abrupt turn for the eventful the stormy day he meets Isabel Moberly-Rat on his way ho"
A Reason for Handwriting,https://www.sonlight.com/products/a-reason-for-handwriting,Sonlight,,$23.95-$67.89,"Consumable workbook. A Reason for Writing , titled ""Words of Promise,"" continues with manuscript handwriting lessons and practice, focusing on verses from Psalms and Proverbs. X Pb, color illus."
A Reason for Handwriting 1,https://www.sonlight.com/products/a-reason-for-handwriting-1,Sonlight,,$61.89,"Continues with manuscript handwriting lessons and practice, focusing on verses from Psalms and Proverbs. A Reason for Handwriting is a complete handwriting curriculum with daily practice focused on verses from Scripture, as presented in the Living Bible paraphrase. Students learn the traditional ""ball-and-stick"" style "
A Reason for Handwriting 2,https://www.sonlight.com/products/a-reason-for-handwriting-2,Sonlight,,$61.89,"Continues instruction and practice in manuscript print, then moves in mid-year to cursive handwriting. Practice focuses on passages from the Gospels. A Reason for Handwriting is a complete handwriting curriculum with daily practice focused on verses from Scripture, as presented in the Living Bible paraphrase. Students "
A Reason for Handwriting 3,https://www.sonlight.com/products/a-reason-for-handwriting-3,Sonlight,,$63.40,"Completes the transition to cursive handwriting. Practice drills focus on verses from the New Testament epistles. A Reason for Handwriting is a complete handwriting curriculum with daily practice focused on verses from Scripture, as presented in the Living Bible paraphrase. Students learn the traditional ""ball-and-stic"
A Reason for Handwriting 4,https://www.sonlight.com/products/a-reason-for-handwriting-4,Sonlight,,$63.40,"Continues cursive practice. Focuses on verses from the Gospels. A Reason for Handwriting is a complete handwriting curriculum with daily practice focused on verses from Scripture, as presented in the Living Bible paraphrase. Students learn the traditional ""ball-and-stick"" style of print and a standard cursive hand. By "
A Reason for Handwriting 5,https://www.sonlight.com/products/a-reason-for-handwriting-5,Sonlight,,$56.90,"Continues to refine students' cursive hand. Focuses on passages from the Psalms. A Reason for Handwriting is a complete handwriting curriculum with daily practice focused on verses from Scripture, as presented in the Living Bible paraphrase. Students learn the traditional ""ball-and-stick"" style of print and a standard "
A Reason for Handwriting 6,https://www.sonlight.com/products/a-reason-for-handwriting-6,Sonlight,,$56.90,"Continues to refine students' cursive hand. Focuses on passages from Proverbs. A Reason for Handwriting is a complete handwriting curriculum with daily practice focused on verses from Scripture, as presented in the Living Bible paraphrase. By providing students with fancy border sheets on which to do their work (border"
A Reason for Handwriting Cursive C,https://www.sonlight.com/products/a-reason-for-handwriting-cursive-c,Sonlight,,$23.95,"Consumable workbook. A Reason for Writing , titled ""Words to Live By,"" completes the transition to cursive handwriting. Practice drills focus on verses from the New Testament epistles. X Pb, color illus."
A Reason for Handwriting Cursive D,https://www.sonlight.com/products/a-reason-for-handwriting-cursive-d,Sonlight,,$23.95,"Consumable. A Reason for Writing , titled ""Words of Love,"" continues cursive practice. Focuses on verses from the Gospels. X Pb, 144 pp."
A Reason for Handwriting Cursive E,https://www.sonlight.com/products/a-reason-for-handwriting-cursive-e,Sonlight,,$23.95,"Consumable. A Reason for Writing , titled ""Words of Praise,"" continues to refine students' cursive hand. Focuses on passages from the Psalms. X Pb, Color illus."
A Reason for Handwriting Cursive F,https://www.sonlight.com/products/a-reason-for-handwriting-cursive-f,Sonlight,,$23.95,"Consumable. A Reason for Writing for sixth grade continues to refine students' cursive hand. A Reason for Writing for sixth grade, titled ""Words of Wisdom,"" continues to refine students' cursive hand. Focuses on passages from Proverbs. X Pb, color illus."
A Reason for Handwriting Instruction Guidebook,https://www.sonlight.com/products/a-reason-for-handwriting-instruction-guidebook,Sonlight,Pre-K; Kindergarten; Level S; Level T,$32.95,"Recommended Resource for the A Reason for Handwriting program. A great help to teach your children how to form their letters using the A Reason for Handwriting curriculum — both manuscript and cursive. Released in the summer of 2025, the new Teacher Guidebook will include lesson plans for Manuscript Levels A and B, Tra"
A Reason for Handwriting K,https://www.sonlight.com/products/a-reason-for-handwriting-k,Sonlight,K,$67.89,"Teaches students how to write manuscript forms--both upper- and lower-case--of all 26 letters in the English alphabet. A Reason for Handwriting is a complete handwriting curriculum with daily practice focused on verses from Scripture, as presented in the Living Bible paraphrase. Students learn the traditional ""ball-and"
