title,website_url,source,grades_or_ages,prices_mentioned,description
The Old Schoolhouse Store,https://www.theoldschoolhousestore.com,The Old Schoolhouse Store,Grades PreK-12,Contact for pricing,Digital and print homeschool curriculum from The Old Schoolhouse.
Winter at the Gates: Faith and Providence during the Siege of Boston,https://theoldschoolhouse.com/product/siege-of-boston/,The Old Schoolhouse Store,,$19.00,"Limited time offer: Use coupon code WINTER1776 for 100% off. Makes a great gift! Grade: Family Length: 20 Stories Winter at the Gates offers twenty historically verified stories drawn directly from journals, letters, and original sources of 1775–1776. Rather than dramatizing battles, these short readings illuminate the"
Low Carb & Homeschooling,https://theoldschoolhouse.com/product/low-carb-homeschooling/,The Old Schoolhouse Store,,$29.00,"Low Carb & Homeschooling is your go-to guide for tasty Keto-friendly meals the whole family can enjoy. With more than 50 recipes—from dressings and appetizers to main dishes, one-pot meals, sides, and desserts—this packet makes eating low carb simple, flexible, and satisfying. Enjoy delicious low carb meals without the"
Ten Biblical Prayers for Your Homeschool Journey,https://theoldschoolhouse.com/product/ten-biblical-prayers-for-your-homeschool-journey/,The Old Schoolhouse Store,,$0.00,"Start your school year with truth, peace, and purpose from God’s Word."
Exploring God’s World with Second Grade Science,https://theoldschoolhouse.com/product/exploring-gods-world-with-second-grade-science/,The Old Schoolhouse Store,,$79.00,Grade: 2 Length: 36 weeks What are the planets like? How do the oceans work? What makes up a living thing? Exploring God’s World with Second Grade Science helps answer some of the myriad of questions students ask. Satisfy their curiosity with the text-based course filled with fun lessons and activities! To view a sampl
Busy Binder Travel Pack,https://theoldschoolhouse.com/product/busy-binder-travel-pack/,The Old Schoolhouse Store,,$12.00,"Keep little hands busy and learning on the go with the Busy Binder Travel Pack —a customizable, mess-free kit perfect for homeschooling families. Filled with screen-free, hands-on car trip activities, it’s ideal for road trips, flights, or hotel downtime, using dollar store supplies and printable resources you likely a"
Introduction to Architecture,https://theoldschoolhouse.com/product/introduction-to-architecture/,The Old Schoolhouse Store,,$0.00,"Grades: 6-12 Length: 37 weeks Try It Free: Full Introduction to Architecture Curriculum What is the tallest building in the world? What is the science behind castles and bridges? Through thirty-seven lessons, Introduction to Architecture answers these questions and covers topics such as components of architecture, buil"
Allergy Free & Homeschooling: Allergy-Friendly Recipes from the Schoolhouse Kitchen,https://theoldschoolhouse.com/product/allergy-free-homeschooling/,The Old Schoolhouse Store,,$29.00,"Allergy Free & Homeschooling is your go-to guide for cooking delicious, allergen-free meals the whole family will love. With over 20 family-friendly recipes and a practical encyclopedia of substitutions for common allergens, it makes mealtime simple and flexible. Say goodbye to stress and hello to safe, satisfying food"
Recipes for the Holidays,https://theoldschoolhouse.com/product/recipes-for-the-holidays/,The Old Schoolhouse Store,,$19.00,"Create lasting memories around the table with Recipes for the Holidays, a collection of 20 delicious dishes perfect for celebrating with family and friends. Inside, you’ll find 2 comforting bread recipes, 3 soul-warming soups, 7 flavorful main dishes, and 8 irresistible desserts to sweeten the season. From cozy classic"
Crafting Fiction and Discovering Poetic Elements (2-for-1 package!),https://theoldschoolhouse.com/product/crafting-fiction-and-discovering-poetic-elements/,The Old Schoolhouse Store,,$49.00,Grades: 5-7 Length: 15 weeks Do you want to equip your middle school student with the skills to craft compelling stories and confidently explore poetry? Crafting Fiction and Discovering Poetic Elements are two engaging courses now available together in one package. Crafting Fiction is a seven-week course that guides st
The Art of Literature: Famous Short Stories,https://theoldschoolhouse.com/product/the-art-of-literature-famous-short-stories/,The Old Schoolhouse Store,,$79.00,"Grades: 9-12 Length: 24 weeks What makes literature an art form? Just as artists use various media to prompt thought and evoke emotion, writers use words to paint mental pictures for readers to imagine and reflect upon. Through twenty-four stand-alone units, students learn to recognize the themes of famous short storie"
Discovering Art History,https://theoldschoolhouse.com/product/discovering-art-history/,The Old Schoolhouse Store,,$29.00,"Grades: 4-5 Length: 9 weeks Would your elementary students like to deepen their understanding of historical art styles? Discovering Art History is a nine-week course for fourth and fifth grade students in which they learn to group artwork by style, subject, and artist, as well as explore various careers in the field of"
Healthy Eating for Families,https://theoldschoolhouse.com/product/healthy-eating-for-families/,The Old Schoolhouse Store,,$29.00,"Grades: Family Length: 12 weeks Did you know that even foods labeled as “natural” or “healthy” can hide allergens, added sugars, or artificial ingredients? Healthy Eating for Families offers a comprehensive guide to nutrition, helping families understand the building blocks of a balanced diet, manage food allergies, de"
Story Skills for Reading Comprehension,https://theoldschoolhouse.com/product/story-skills-for-reading-comprehension/,The Old Schoolhouse Store,,$79.00,"Grades: 2–4 Length: 36 weeks How are story skills like a Model T Ford? Once you’ve taken a story—or a Model T—apart, you can put it back together “without any parts left over.” Story Skills for Reading Comprehension will take your student through multiple stories, examining the parts which make it interesting. Students"
Botany: Plant Science and Field Studies,https://theoldschoolhouse.com/product/botany-plant-science-and-field-studies/,The Old Schoolhouse Store,,$29.00,"Grades: 7–10 Length: 9 weeks How did the plant “cell” get its name? What well-known Christmas plant is really a parasite? Our Botany: Plant Science and Field Studies curriculum takes seventh through tenth grade students on a tour through the plant world to learn about roots and shoots, aquatic plants, conservation, pla"
"Coffee, Chaos, & Curriculum t-shirt (white logo)",https://theoldschoolhouse.com/product/coffee-chaos-curriculum-t-shirt-white-logo/,The Old Schoolhouse Store,,$20.00,"Whether you’re tackling lessons or taking a much-needed coffee break, this tee keeps you looking and feeling fabulous."
"Coffee, Chaos, & Curriculum t-shirt (black logo)",https://theoldschoolhouse.com/product/coffee-chaos-curriculum-t-shirt-black-logo/,The Old Schoolhouse Store,,$20.00,"Whether you’re sipping your morning coffee, navigating homeschool chaos, or teaching the next lesson, this shirt has got you covered"
