title,website_url,source,grades_or_ages,prices_mentioned,description
Veritas Press Are Funny Bones Humerus?,https://veritaspress.com/mini-course-descriptions,Veritas Press,Grades 4-12,Contact for pricing,Veritas Press mini-course: Are Funny Bones Humerus?. A mini-Course in Anatomy.
Veritas Press Breve and Immortal,https://veritaspress.com/mini-course-descriptions,Veritas Press,Grades 4-12,Contact for pricing,Veritas Press mini-course: Breve and Immortal. A mini-Course in Latin.
"Veritas Press Castles, Knights, and Kings",https://veritaspress.com/mini-course-descriptions,Veritas Press,Grades 4-12,Contact for pricing,"Veritas Press mini-course: Castles, Knights, and Kings. A mini-Course in Chess."
Veritas Press Complete Grade Level Package,https://veritaspress.com/selfpaced,Veritas Press,Grades K-12,Contact for pricing,Veritas Press classical homeschool complete grade level package.
"Veritas Press Dante, Luther, and Bach",https://veritaspress.com/mini-course-descriptions,Veritas Press,Grades 4-12,Contact for pricing,"Veritas Press mini-course: Dante, Luther, and Bach. A mini-Course in Omnibus."
Veritas Press Grade 1,https://veritaspress.com/online-catalog,Veritas Press,Grade 1,Contact for pricing,Veritas Press classical homeschool grade 1.
Veritas Press Grade 10,https://veritaspress.com/online-catalog,Veritas Press,Grade 10,Contact for pricing,Veritas Press classical homeschool grade 10.
Veritas Press Grade 11,https://veritaspress.com/online-catalog,Veritas Press,Grade 11,Contact for pricing,Veritas Press classical homeschool grade 11.
Veritas Press Grade 12,https://veritaspress.com/online-catalog,Veritas Press,Grade 12,Contact for pricing,Veritas Press classical homeschool grade 12.
Veritas Press Grade 2,https://veritaspress.com/online-catalog,Veritas Press,Grade 2,Contact for pricing,Veritas Press classical homeschool grade 2.
Veritas Press Grade 3,https://veritaspress.com/online-catalog,Veritas Press,Grade 3,Contact for pricing,Veritas Press classical homeschool grade 3.
Veritas Press Grade 4,https://veritaspress.com/online-catalog,Veritas Press,Grade 4,Contact for pricing,Veritas Press classical homeschool grade 4.
Veritas Press Grade 5,https://veritaspress.com/online-catalog,Veritas Press,Grade 5,Contact for pricing,Veritas Press classical homeschool grade 5.
Veritas Press Grade 6,https://veritaspress.com/online-catalog,Veritas Press,Grade 6,Contact for pricing,Veritas Press classical homeschool grade 6.
Veritas Press Grade 7,https://veritaspress.com/online-catalog,Veritas Press,Grade 7,Contact for pricing,Veritas Press classical homeschool grade 7.
Veritas Press Grade 8,https://veritaspress.com/online-catalog,Veritas Press,Grade 8,Contact for pricing,Veritas Press classical homeschool grade 8.
Veritas Press Grade 9,https://veritaspress.com/online-catalog,Veritas Press,Grade 9,Contact for pricing,Veritas Press classical homeschool grade 9.
