title,website_url,source,grades_or_ages,prices_mentioned,description
1-inch Hole Punch,https://welltrainedmind.com/p/1-inch-hole-punch/,Well-Trained Mind,Grades K-12,$150.00,"Whether on their own or as accompaniments to Story of the World, historically accurate, fully articulatable cut-out figures from our Figures in Motion series will delight, entertain, and educate your children. You’ll need a 1-inch long hole punch that produces a 1/8-inch hole to make these figures, though. Look no furt"
100-Count Mini Brads,https://welltrainedmind.com/p/100-count-mini-brads/,Well-Trained Mind,Grades K-12,$150.00,One package of 100 high quality Mini Brads to use to assemble the figures in our book. We recommend purchasing an extra package of Mini Brads to use with the 96-page Famous Figures titles to complete all 20 figures.
1776: Champions Of Independence Downloadable MP3,https://welltrainedmind.com/p/1776/,Well-Trained Mind,Grades K-12,$150.00,"Using the participants’ own words, Jim Weiss brings to life the ideas, battles, and adventures of the men and women who created a free nation in this downloadable MP3."
"20,000 Leagues Under The Sea Companion Reader",https://welltrainedmind.com/p/20000-leagues-under-the-sea-companion-reader/,Well-Trained Mind,Grades K-12,$150.00,"Dive into adventure with our heroes as they battle giant squid, navigate dangerous oceans, and discover fascinating creatures and fabulous treasures. Read along with the audio companion, or perform the audio/radio drama that’s included."
600-Count Mini Brads,https://welltrainedmind.com/p/600-count-mini-brads/,Well-Trained Mind,Grades K-12,$150.00,"600-count mini brads in a variety of color options – perfect for the Figures in Motion History bundle (coming soon!), and recommended if you purchase two or more books of figures. Mini-brads connect the characters together at the joints, creating historically accurate, articulatable figures. Add a 1-inch hole punch (cr"
A Christmas Carol And Other Favorites,https://welltrainedmind.com/p/a-christmas-carol-and-other-favorites/,Well-Trained Mind,Grades K-12,$150.00,"A great way to bring the family together this holiday season, Jim Weiss’ abridged and adapted audio collection features the classic tale of miserly Scrooge and his ghostly visitors, along with “The Gift of the Magi” and “Dick Spindler’s Family Christmas.”"
A Christmas Carol And Other Favorites - Scratch & Dent,https://welltrainedmind.com/p/a-christmas-carol-and-other-favorites-scratch-dent/,Well-Trained Mind,Grades K-12,$150.00,"A great way to bring the family together this holiday season, Jim Weiss’ abridged and adapted audio collection features the classic tale of miserly Scrooge and his ghostly visitors, along with “The Gift of the Magi” and “Dick Spindler’s Family Christmas.”"
A Collection Of Just So Stories,https://welltrainedmind.com/p/collection-just-stories/,Well-Trained Mind,Grades K-12,$150.00,How did camels get a hump? Why do elephants have a trunk? Listeners will laugh out loud as Jim Weiss’s menagerie of voices brings these abridged and adapted stories to life.
A Plan For Teaching Writing: Focus On The Elementary Grades,https://welltrainedmind.com/p/a-plan-for-teaching-writing-focus-on-the-elementary-grades-mp3/,Well-Trained Mind,K,$150.00,"A plan for producing good writers at home, focusing on the elementary (grammar-stage) years, expanding on the principles presented in A Plan for Teaching Writing: K-12. One of Susan Wise Bauer’s most popular and most highly praised audio lectures; a must for understanding how the writing process actually works."
A Plan For Teaching Writing: Focus On The High School Years,https://welltrainedmind.com/p/a-plan-for-teaching-writing-focus-on-the-high-school-years-mp3/,Well-Trained Mind,Grades K-12,$150.00,"This seminar covers all of the types of writing that high school students should learn before entering the freshman year of college: response papers, summaries, and critical essays across the curriculum."
A Plan For Teaching Writing: Focus On The Middle Grades,https://welltrainedmind.com/p/a-plan-for-teaching-writing-focus-on-the-middle-grades-mp3/,Well-Trained Mind,Grades K-12,$150.00,"This audio workshop offers very specific guidance in how to teach middle grade (logic-stage) students the skills of constructing an argument, outlining and writing from an outline. An essential guide to preparing students for high school writing."
"A Plan For Teaching Writing: Grades K-12, Audio Workshop (Downloadable MP3)",https://welltrainedmind.com/p/a-plan-for-teaching-writing-grades-k-12-mp3/,Well-Trained Mind,K,$150.00,Listen to Susan Wise Bauer’s overall plan for producing good writers at home. This workshop explains how to guide your student through a simple progression that will develop both writing and thinking skills in a systematic manner.
A Tale Of Two Cities,https://welltrainedmind.com/p/a-tale-of-two-cities/,Well-Trained Mind,Grades K-12,$150.00,"Life-and-death adventure, a moving personal story, and the hope and terrors of the French Revolution – set in Paris and London, Charles’ Dickens famous novel is retold by storyteller Jim Weiss."
A Tale Of Two Cities - Scratch & Dent,https://welltrainedmind.com/p/a-tale-of-two-cities-scratch-dent/,Well-Trained Mind,Grades K-12,$150.00,"Life-and-death adventure, a moving personal story, and the hope and terrors of the French Revolution – set in Paris and London, Charles’ Dickens famous novel is retold by storyteller Jim Weiss."
A Treasury Of Wisdom: Stories Of Hope And Inspiration,https://welltrainedmind.com/p/treasury-wisdom-stories-hope-inspiration/,Well-Trained Mind,Grades K-12,$150.00,"Timeless wisdom drawn from a wide variety of cultures and eras offers insight, inspiration, and hope to listeners of all ages. Adapted and narrated by Jim Weiss."
Abraham Lincoln And The Heart Of America,https://welltrainedmind.com/p/abraham-lincoln-and-the-heart-of-america/,Well-Trained Mind,Grades K-12,$150.00,"Listen to the story of Lincoln’s life as he moves from poverty to president, from victory to tragedy. Includes the entire Gettysburg Address, plus vivid descriptions of Lee, Grant, and more."
Addition Facts That Stick,https://welltrainedmind.com/p/addition-facts-stick/,Well-Trained Mind,Grades K-12,$15.00-$150.00,"Six weeks to addition facts mastery, in just fifteen minutes a day! Clever strategies and fun games make this book engaging for the student, and clear, easy-to-use lesson plans make it quick and easy for the teacher. Facts mastery helps stop math frustration in its tracks."
"Addition Facts That Stick, Student Pages (Downloadable PDF)",https://welltrainedmind.com/p/addition-facts-that-stick-student-pages-downloadable-pdf/,Well-Trained Mind,Grades K-12,$150.00,Simplify your life with a printable PDF of the consumable Practice Pages! Addition Facts That Stick already contains one set and is a required resource for using this PDF.
Aesop's Fables,https://welltrainedmind.com/p/aesops-fables/,Well-Trained Mind,Grades K-12,$150.00,"With humor and heart, storyteller Jim Weiss brings ancient stories to a new generation of listeners."
American Tall Tales Audiobook,https://welltrainedmind.com/p/american-tall-tales/,Well-Trained Mind,Grades K-12,$150.00,"Ride across Texas on a mountain lion with Pecos Bill, work up a giant appetite with the mighty lumberjack Paul Bunyan, spread happiness with Johnny Appleseed, and confront the Fastest Draw in the West!"
American Tall Tales Companion Reader,https://welltrainedmind.com/p/american-tall-tales-companion-reader/,Well-Trained Mind,Grades K-12,$150.00,"Ride across Texas on a mountain lion with Pecos Bill, work up a giant appetite with the mighty lumberjack Paul Bunyan, spread happiness with Johnny Appleseed, and confront the Fastest Draw in the West! Read these wild tales word-for-word with the audio companion, then act them out with the included dramatic versions."
Animal Tales,https://welltrainedmind.com/p/animal-tales/,Well-Trained Mind,Grades K-12,$150.00,"A wonderful introduction to classic stories, delightfully adapted for young children by famed storyteller Jim Weiss. Selections from Aesop’s Fables, plus lively tales from Grimm, Chaucer, and others."
Arabian Nights,https://welltrainedmind.com/p/arabian-nights/,Well-Trained Mind,Grades K-12,$150.00,"A wish-granting genie, talking animals, the Forty Thieves – listeners will be transported to the magical world of the Arabian Nights in this selection of stories adapted and abridged by Jim Weiss."
Astronomy For The Logic Stage Student Guide,https://welltrainedmind.com/p/astronomy-logic-stage-student-guide/,Well-Trained Mind,Grades K-12,$150.00,"This book is used in a course for our online school, the Well-Trained Mind Academy. Astronomy for the Logic Stage leads the middle school student through a study of the planets, stars, and more by digging deeper into what was studied during the elementary years."
Best Loved Stories In Song And Dance,https://welltrainedmind.com/p/best-loved-stories-song-dance/,Well-Trained Mind,Grades K-12,$150.00,"Enchanting favorite tales adapted and narrated for children by storyteller Jim Weiss, plus delightful songs to dance to and sing along with."
Bible Stories: Great Men And Women From Noah Through Solomon,https://welltrainedmind.com/p/bible-stories/,Well-Trained Mind,Grades K-12,$150.00,"Adapted and narrated by Jim Weiss, these ancient tales still have the power to fascinate the modern listener. From the bravery of David facing Goliath to the wisdom of Solomon, this dramatic telling will become a family favorite."
Burning Out: Why It Happens And What To Do About It,https://welltrainedmind.com/p/burning-out-why-it-happens-and-what-to-do-about-it-mp3/,Well-Trained Mind,Grades K-12,$150.00,"Drawn from years of personal experience with effective home education, this workshop from Susan Wise Bauer helps you navigate homeschool burnout."
"Carry On, Mr. Bowditch",https://welltrainedmind.com/p/carry-on-mr-bowditch/,Well-Trained Mind,Grades K-12,$150.00,"The unabridged true story of Nat Bowditch, whose tenacity and passion for learning led him from poverty to a life of success and adventures at sea."
"Carry On, Mr. Bowditch - Scratch & Dent",https://welltrainedmind.com/p/carry-on-mr-bowditch-scratch-dent/,Well-Trained Mind,Grades K-12,$150.00,"The unabridged true story of Nat Bowditch, whose tenacity and passion for learning led him from poverty to a life of success and adventures at sea."
Celtic Treasures,https://welltrainedmind.com/p/celtic-treasures/,Well-Trained Mind,Grades K-12,$150.00,"Meet the bards, warriors, and enchanted beings of the ancient Celts. Fighting desperate battles, wooing beautiful princesses, searching for the land of eternal youth – all enhanced with traditional music performed by Paul Machlis."
Celtic Treasures - Scratch & Dent,https://welltrainedmind.com/p/celtic-treasures-scratch-dent/,Well-Trained Mind,Grades K-12,$150.00,"Meet the bards, warriors, and enchanted beings of the ancient Celts. Fighting desperate battles, wooing beautiful princesses, searching for the land of eternal youth – all enhanced with traditional music performed by Paul Machlis."
Coloring The Story Of The World,https://welltrainedmind.com/p/coloring-the-story-of-the-world/,Well-Trained Mind,Grades K-12,$150.00,Susan Wise Bauer’s narrative history series has sold over 1.5 million copies and is a staple of homes and schools worldwide. Coloring the Story of the World gives children a new way to experience the thrilling drama of human history.
Coloring The Story Of The World - Scratch & Dent,https://welltrainedmind.com/p/coloring-the-story-of-the-world-scratch-dent/,Well-Trained Mind,Grades K-12,$150.00,Susan Wise Bauer’s narrative history series has sold over 1.5 million copies and is a staple of homes and schools worldwide. Coloring the Story of the World gives children a new way to experience the thrilling drama of human history.
Constellations And Their Myths: The Stories Behind Our Stars,https://welltrainedmind.com/p/constellations/,Well-Trained Mind,Grades K-12,$150.00,"Storyteller Jim Weiss shares the myths and legends behind the most famous Constellations: Orion, Taurus, and others."
Courage And A Clear Mind,https://welltrainedmind.com/p/courage-clear-mind/,Well-Trained Mind,Grades K-12,$150.00,"The courage of the 300 Spartans, the trick of the Trojan horse, the first Olympics – the whole family will enjoy listening to these accounts from the history and culture of ancient Greece."
Dale's Tales,https://welltrainedmind.com/p/dales-tales/,Well-Trained Mind,Grades K-12,$150.00,"In Dale’s Tales, Dale Guy Madison takes young listeners on a journey through a series of three African-American stories and folktales."
Dinosaurs On The Move,https://welltrainedmind.com/p/dinosaurs/,Well-Trained Mind,Grades K-12,$150.00,"Make articulated puppets of 9 dinosaurs and one flying reptile! Tyrannosaurus rex, Allosaurus, Triceratops, Stegosaurus and others are looking for their next dinosaur battle. Cut out the dinosaur body parts. Then put them together with a hole punch and mini brads to make a puppet that moves. Move their jaws, clash thei"
