title,website_url,source,grades_or_ages,prices_mentioned,description
WriteShop Junior Book D Time-Saver Pack (ebook),https://store.demmelearning.com/products/ws-book-d-time-saver-pack-ebook,WriteShop,,$15.00,"Develop your student’s love of writing through their elementary school years with WriteShop Junior! This stress-free approach to learning gives you the tools to tailor every lesson to your student’s pace and learning preferences. From multisensory experiences to flexible schedules and practical instructor tips, WriteSh"
WriteShop Fold-N-Go Grammar Pack Level 1 (ebook),https://store.demmelearning.com/products/ws-fold-n-go-grammar-pack-level-1-ebook,WriteShop,,$19.00,"Develop your student’s love of writing through their elementary school years with WriteShop Junior! This stress-free approach to learning gives you the tools to tailor every lesson to your student’s pace and learning preferences. From multisensory experiences to flexible schedules and practical instructor tips, WriteSh"
WriteShop Junior Book D Student Worksheet Pack (ebook),https://store.demmelearning.com/products/ws-book-d-student-worksheet-pack-ebook,WriteShop,,$28.00,"Develop your student’s love of writing through their elementary school years with WriteShop Junior! This stress-free approach to learning gives you the tools to tailor every lesson to your student’s pace and learning preferences. From multisensory experiences to flexible schedules and practical instructor tips, WriteSh"
WriteShop Fold-N-Go Grammar Pack Level 2 (ebook),https://store.demmelearning.com/products/ws-fold-n-go-grammar-pack-level-2-ebook,WriteShop,,$19.00,"Develop your student’s love of writing through their elementary school years with WriteShop Junior! This stress-free approach to learning gives you the tools to tailor every lesson to your student’s pace and learning preferences. From multisensory experiences to flexible schedules and practical instructor tips, WriteSh"
WriteShop Junior Book E Student Worksheet Pack (ebook),https://store.demmelearning.com/products/ws-book-e-student-worksheet-pack-ebook,WriteShop,,$28.00,"Develop your student’s love of writing through their elementary school years with WriteShop Junior! This stress-free approach to learning gives you the tools to tailor every lesson to your student’s pace and learning preferences. From multisensory experiences to flexible schedules and practical instructor tips, WriteSh"
WriteShop Junior Book E Time-Saver Pack (ebook),https://store.demmelearning.com/products/ws-book-e-time-saver-pack-ebook,WriteShop,,$11.00,"Develop your student’s love of writing through their elementary school years with WriteShop Junior! This stress-free approach to learning gives you the tools to tailor every lesson to your student’s pace and learning preferences. From multisensory experiences to flexible schedules and practical instructor tips, WriteSh"
WriteShop Fold-N-Go Grammar Pack Level 3 (ebook),https://store.demmelearning.com/products/writeshop-fold-n-go-grammar-pack-level-3-ebook,WriteShop,,$19.00,"Fold-N-Go Grammar Level 3 provides simple rules, examples, and practice exercises that make learning or reviewing grammar engaging. Topics covered include figures of speech, point of view, contractions, and apostrophes. 10 Fold-N-Go Grammar Guides 20 Fold-N-Go Bookmarks for quick review Assembly instructions Answer key"
WriteShop Junior Book F Student Worksheet Pack (ebook),https://store.demmelearning.com/products/ws-book-f-student-worksheet-pack-ebook,WriteShop,,$30.00,"This downloadable Book F Student Worksheet Pack includes: 89 activity pages Pre-writing activities, Skill Builders, journal writing prompts, brainstorming worksheets, reading log forms, self-editing checklists, and Junior Writing Skills Evaluation Charts Word banks, games, and graphic organizers Note: This is a digital"
WriteShop Junior Book F Time-Saver Pack (ebook),https://store.demmelearning.com/products/ws-book-f-time-saver-pack-ebook,WriteShop,,$12.00,"Instead of creating and assembling your own game cards, spinners, and other tools to teach creative writing, the Junior Book F Time-Saver Pack includes 25 ready-made props such as: Get Ready for Adventure! Cards to choose elements for an adventure story 5 Senses Spin-off to help students add sensory details to their wr"
WriteShop Junior Writer's Notebook 1 (ebook),https://store.demmelearning.com/products/ws-junior-writers-notebook-1-ebook,WriteShop,,$4.00,"This downloadable Junior Writer's Notebook 1 includes 12 printable worksheets to help students plan and write. Each worksheet helps guide the student to develop stories more fully, add important details, or prepare interesting reports. Note: This is a digital downloadable product only. You will receive a link to downlo"
